,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
26,S Dhawan,N Pradeep,MK Pandey,,4,0,4,22,19,14,1,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
27,S Dhawan,N Pradeep,MK Pandey,,4,0,4,26,23,15,2,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
28,S Dhawan,N Pradeep,MK Pandey,,1,0,1,27,24,16,3,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
29,MK Pandey,N Pradeep,S Dhawan,{'wides': 1},0,1,1,28,0,6,4,wides,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
30,MK Pandey,N Pradeep,S Dhawan,,1,0,1,29,1,7,5,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
31,S Dhawan,N Pradeep,MK Pandey,{'wides': 1},0,1,1,30,24,17,6,wides,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
32,S Dhawan,N Pradeep,MK Pandey,,1,0,1,31,25,18,7,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
33,MK Pandey,N Pradeep,S Dhawan,,4,0,4,35,5,8,8,-,0,,,5,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
34,S Dhawan,A Dananjaya,MK Pandey,,1,0,1,36,26,19,1,-,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
35,MK Pandey,A Dananjaya,S Dhawan,,0,0,0,36,5,9,2,-,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
36,MK Pandey,A Dananjaya,S Dhawan,,1,0,1,37,6,10,3,-,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
37,S Dhawan,A Dananjaya,MK Pandey,{'legbyes': 1},0,1,1,38,26,20,4,legbyes,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
38,MK Pandey,A Dananjaya,S Dhawan,,1,0,1,39,7,11,5,-,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
39,S Dhawan,A Dananjaya,MK Pandey,,1,0,1,40,27,21,6,-,0,,,6,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
40,S Dhawan,NLTC Perera,MK Pandey,,1,0,1,41,28,22,1,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
41,MK Pandey,NLTC Perera,S Dhawan,,4,0,4,45,11,12,2,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
42,MK Pandey,NLTC Perera,S Dhawan,,0,0,0,45,11,13,3,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
43,MK Pandey,NLTC Perera,S Dhawan,,1,0,1,46,12,14,4,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
44,S Dhawan,NLTC Perera,MK Pandey,,1,0,1,47,29,23,5,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
45,MK Pandey,NLTC Perera,S Dhawan,,1,0,1,48,13,15,6,-,0,,,7,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
46,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,49,14,16,1,-,0,,,8,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
47,S Dhawan,BMAJ Mendis,MK Pandey,{'legbyes': 1},0,1,1,50,29,24,2,legbyes,0,,,8,"{'by': 'Sri Lanka', 'batter': 'S Dhawan', 'decision': 'struck down'}",field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
48,MK Pandey,BMAJ Mendis,S Dhawan,,6,0,6,56,20,17,3,-,0,,,8,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
49,MK Pandey,BMAJ Mendis,S Dhawan,,0,0,0,56,20,18,4,-,0,,,8,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
50,MK Pandey,BMAJ Mendis,S Dhawan,,0,0,0,56,20,19,5,-,0,,,8,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
51,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,57,21,20,6,-,0,,,8,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
52,MK Pandey,N Pradeep,S Dhawan,,1,0,1,58,22,21,1,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
53,S Dhawan,N Pradeep,MK Pandey,,6,0,6,64,35,25,2,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
54,S Dhawan,N Pradeep,MK Pandey,,6,0,6,70,41,26,3,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
55,S Dhawan,N Pradeep,MK Pandey,,1,0,1,71,42,27,4,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
56,MK Pandey,N Pradeep,S Dhawan,,0,0,0,71,22,22,5,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
57,MK Pandey,N Pradeep,S Dhawan,,0,0,0,71,22,23,6,-,0,,,9,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
58,S Dhawan,BMAJ Mendis,MK Pandey,,1,0,1,72,43,28,1,-,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
59,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,73,23,24,2,-,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
60,S Dhawan,BMAJ Mendis,MK Pandey,{'wides': 2},0,2,2,75,43,29,3,wides,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
61,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,76,24,25,4,-,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
62,S Dhawan,BMAJ Mendis,MK Pandey,,2,0,2,78,45,30,5,-,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
63,S Dhawan,BMAJ Mendis,MK Pandey,{'legbyes': 1},0,1,1,79,45,31,6,legbyes,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
64,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,80,25,26,7,-,0,,,10,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
65,MK Pandey,A Dananjaya,S Dhawan,,2,0,2,82,27,27,1,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
66,MK Pandey,A Dananjaya,S Dhawan,,1,0,1,83,28,28,2,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
67,S Dhawan,A Dananjaya,MK Pandey,,1,0,1,84,46,32,3,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
68,MK Pandey,A Dananjaya,S Dhawan,,1,0,1,85,29,29,4,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
69,S Dhawan,A Dananjaya,MK Pandey,,4,0,4,89,50,33,5,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
70,S Dhawan,A Dananjaya,MK Pandey,,1,0,1,90,51,34,6,-,0,,,11,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
71,S Dhawan,NLTC Perera,MK Pandey,,4,0,4,94,55,35,1,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
72,S Dhawan,NLTC Perera,MK Pandey,,1,0,1,95,56,36,2,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
73,MK Pandey,NLTC Perera,S Dhawan,,4,0,4,99,33,30,3,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
74,MK Pandey,NLTC Perera,S Dhawan,,0,0,0,99,33,31,4,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
75,MK Pandey,NLTC Perera,S Dhawan,,0,0,0,99,33,32,5,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
76,MK Pandey,NLTC Perera,S Dhawan,,1,0,1,100,34,33,6,-,0,,,12,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
77,MK Pandey,BMAJ Mendis,S Dhawan,,1,0,1,101,35,34,1,-,0,,,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
78,S Dhawan,BMAJ Mendis,MK Pandey,,1,0,1,102,57,37,2,-,0,,,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
79,MK Pandey,BMAJ Mendis,S Dhawan,,2,0,2,104,37,35,3,-,0,,,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
80,MK Pandey,BMAJ Mendis,S Dhawan,,0,0,0,104,37,36,4,-,caught,MK Pandey,MD Gunathilaka,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
81,S Dhawan,BMAJ Mendis,RR Pant,,1,0,1,105,58,38,5,-,0,,,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
82,RR Pant,BMAJ Mendis,S Dhawan,,0,0,0,105,0,1,6,-,0,,,13,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
83,S Dhawan,MD Gunathilaka,RR Pant,,1,0,1,106,59,39,1,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
84,RR Pant,MD Gunathilaka,S Dhawan,,0,0,0,106,0,2,2,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
85,RR Pant,MD Gunathilaka,S Dhawan,,1,0,1,107,1,3,3,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
86,S Dhawan,MD Gunathilaka,RR Pant,,1,0,1,108,60,40,4,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
87,RR Pant,MD Gunathilaka,S Dhawan,,0,0,0,108,1,4,5,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
88,RR Pant,MD Gunathilaka,S Dhawan,,1,0,1,109,2,5,6,-,0,,,14,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
89,RR Pant,A Dananjaya,S Dhawan,,1,0,1,110,3,6,1,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
90,S Dhawan,A Dananjaya,RR Pant,,6,0,6,116,66,41,2,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
91,S Dhawan,A Dananjaya,RR Pant,,1,0,1,117,67,42,3,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
92,RR Pant,A Dananjaya,S Dhawan,,0,0,0,117,3,7,4,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
93,RR Pant,A Dananjaya,S Dhawan,,6,0,6,123,9,8,5,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
94,RR Pant,A Dananjaya,S Dhawan,,1,0,1,124,10,9,6,-,0,,,15,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
95,RR Pant,MD Gunathilaka,S Dhawan,{'byes': 1},0,1,1,125,10,10,1,byes,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
96,S Dhawan,MD Gunathilaka,RR Pant,,1,0,1,126,68,43,2,-,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
97,RR Pant,MD Gunathilaka,S Dhawan,,1,0,1,127,11,11,3,-,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
98,S Dhawan,MD Gunathilaka,RR Pant,,6,0,6,133,74,44,4,-,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
99,S Dhawan,MD Gunathilaka,RR Pant,,0,0,0,133,74,45,5,-,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
100,S Dhawan,MD Gunathilaka,RR Pant,,1,0,1,134,75,46,6,-,0,,,16,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
101,S Dhawan,PVD Chameera,RR Pant,,6,0,6,140,81,47,1,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
102,S Dhawan,PVD Chameera,RR Pant,,1,0,1,141,82,48,2,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
103,RR Pant,PVD Chameera,S Dhawan,,1,0,1,142,12,12,3,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
104,S Dhawan,PVD Chameera,RR Pant,,1,0,1,143,83,49,4,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
105,RR Pant,PVD Chameera,S Dhawan,,1,0,1,144,13,13,5,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
106,S Dhawan,PVD Chameera,RR Pant,,6,0,6,150,89,50,6,-,0,,,17,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
107,RR Pant,MD Gunathilaka,S Dhawan,,0,0,0,150,13,14,1,-,0,,,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
108,RR Pant,MD Gunathilaka,S Dhawan,,1,0,1,151,14,15,2,-,0,,,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
109,S Dhawan,MD Gunathilaka,RR Pant,,1,0,1,152,90,51,3,-,0,,,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
110,RR Pant,MD Gunathilaka,S Dhawan,,0,0,0,152,14,16,4,-,0,,,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
111,RR Pant,MD Gunathilaka,S Dhawan,,1,0,1,153,15,17,5,-,0,,,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
112,S Dhawan,MD Gunathilaka,RR Pant,,0,0,0,153,90,52,6,-,caught,S Dhawan,NLTC Perera,18,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
113,RR Pant,NLTC Perera,KD Karthik,,1,0,1,154,16,18,1,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
114,KD Karthik,NLTC Perera,RR Pant,,1,0,1,155,1,1,2,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
115,RR Pant,NLTC Perera,KD Karthik,,1,0,1,156,17,19,3,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
116,KD Karthik,NLTC Perera,RR Pant,,2,0,2,158,3,2,4,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
117,KD Karthik,NLTC Perera,RR Pant,,1,0,1,159,4,3,5,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
118,RR Pant,NLTC Perera,KD Karthik,,1,0,1,160,18,20,6,-,0,,,19,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
119,RR Pant,PVD Chameera,KD Karthik,,1,0,1,161,19,21,1,-,0,,,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
120,KD Karthik,PVD Chameera,RR Pant,,4,0,4,165,8,4,2,-,0,,,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
121,KD Karthik,PVD Chameera,RR Pant,,4,0,4,169,12,5,3,-,0,,,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
122,KD Karthik,PVD Chameera,RR Pant,,1,0,1,170,13,6,4,-,0,,,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
123,RR Pant,PVD Chameera,KD Karthik,,4,0,4,174,23,22,5,-,0,,,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
124,RR Pant,PVD Chameera,KD Karthik,,0,0,0,174,23,23,6,-,caught,RR Pant,N Pradeep,20,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
