,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
81,Shoaib Malik,CH Morris,Asif Ali,1,0,1,113,12,9,5,0,,,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
82,Asif Ali,CH Morris,Shoaib Malik,0,0,0,113,13,8,6,caught,Asif Ali,DA Miller,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
83,Shoaib Malik,T Shamsi,Imad Wasim,1,0,1,114,13,10,1,0,,,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
84,Imad Wasim,T Shamsi,Shoaib Malik,4,0,4,118,4,1,2,0,,,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
85,Imad Wasim,T Shamsi,Shoaib Malik,0,0,0,118,4,2,3,caught,Imad Wasim,DA Miller,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
86,Faheem Ashraf,T Shamsi,Shoaib Malik,0,0,0,118,0,1,4,0,,,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
87,Faheem Ashraf,T Shamsi,Shoaib Malik,0,0,0,118,0,2,5,0,,,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
88,Faheem Ashraf,T Shamsi,Shoaib Malik,0,0,0,118,0,3,6,0,,,14,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
89,Shoaib Malik,CH Morris,Faheem Ashraf,2,0,2,120,15,11,1,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
90,Shoaib Malik,CH Morris,Faheem Ashraf,1,0,1,121,16,12,2,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
91,Faheem Ashraf,CH Morris,Shoaib Malik,1,0,1,122,1,4,3,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
92,Shoaib Malik,CH Morris,Faheem Ashraf,1,0,1,123,17,13,4,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
93,Faheem Ashraf,CH Morris,Shoaib Malik,0,2,2,125,1,5,5,0,,,15,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
94,Shoaib Malik,CH Morris,Faheem Ashraf,1,0,1,126,18,14,6,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
95,Faheem Ashraf,CH Morris,Shoaib Malik,6,0,6,132,7,6,7,0,,,15,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
96,Shoaib Malik,T Shamsi,Faheem Ashraf,0,0,0,132,18,15,1,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
97,Shoaib Malik,T Shamsi,Faheem Ashraf,2,0,2,134,20,16,2,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
98,Shoaib Malik,T Shamsi,Faheem Ashraf,6,0,6,140,26,17,3,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
99,Shoaib Malik,T Shamsi,Faheem Ashraf,2,0,2,142,28,18,4,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
100,Shoaib Malik,T Shamsi,Faheem Ashraf,1,0,1,143,29,19,5,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
101,Faheem Ashraf,T Shamsi,Shoaib Malik,1,0,1,144,8,7,6,0,,,16,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
102,Faheem Ashraf,AL Phehlukwayo,Shoaib Malik,0,0,0,144,8,8,1,caught,Faheem Ashraf,H Klaasen,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
103,Mohammad Rizwan,AL Phehlukwayo,Shoaib Malik,1,0,1,145,1,1,2,0,,,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
104,Shoaib Malik,AL Phehlukwayo,Mohammad Rizwan,1,0,1,146,30,20,3,0,,,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
105,Mohammad Rizwan,AL Phehlukwayo,Shoaib Malik,1,0,1,147,2,2,4,0,,,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
106,Shoaib Malik,AL Phehlukwayo,Mohammad Rizwan,4,0,4,151,34,21,5,0,,,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
107,Shoaib Malik,AL Phehlukwayo,Mohammad Rizwan,1,0,1,152,35,22,6,run out,Mohammad Rizwan,,17,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
108,Hasan Ali,BE Hendricks,Shoaib Malik,1,0,1,153,1,1,1,0,,,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
109,Shoaib Malik,BE Hendricks,Hasan Ali,1,0,1,154,36,23,2,0,,,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
110,Hasan Ali,BE Hendricks,Shoaib Malik,6,0,6,160,7,2,3,0,,,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
111,Hasan Ali,BE Hendricks,Shoaib Malik,2,0,2,162,9,3,4,0,,,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
112,Hasan Ali,BE Hendricks,Shoaib Malik,2,0,2,164,11,4,5,0,,,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
113,Hasan Ali,BE Hendricks,Shoaib Malik,0,0,0,164,11,5,6,caught,Hasan Ali,DA Miller,18,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
114,Shoaib Malik,CJ Dala,Shadab Khan,2,0,2,166,38,24,1,0,,,19,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
115,Shoaib Malik,CJ Dala,Shadab Khan,0,0,0,166,38,25,2,0,,,19,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
116,Shoaib Malik,CJ Dala,Shadab Khan,4,0,4,170,42,26,3,0,,,19,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
117,Shoaib Malik,CJ Dala,Shadab Khan,2,0,2,172,44,27,4,0,,,19,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
118,Shoaib Malik,CJ Dala,Shadab Khan,4,0,4,176,48,28,5,0,,,19,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
119,Shoaib Malik,CJ Dala,Shadab Khan,0,1,1,177,48,29,6,0,,,19,legbyes,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
120,Shoaib Malik,CH Morris,Shadab Khan,1,0,1,178,49,30,1,0,,,20,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
121,Shadab Khan,CH Morris,Shoaib Malik,0,1,1,179,0,1,2,0,,,20,byes,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
122,Shoaib Malik,CH Morris,Shadab Khan,0,0,0,179,49,31,3,caught,Shoaib Malik,DA Miller,20,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
123,Shadab Khan,CH Morris,Usman Shinwari,4,0,4,183,4,2,4,0,,,20,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
124,Shadab Khan,CH Morris,Usman Shinwari,2,0,2,185,6,3,5,0,,,20,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
125,Shadab Khan,CH Morris,Usman Shinwari,1,0,1,186,7,4,6,0,,,20,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
