,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
97,AU Rashid,KA Pollard,CJ Jordan,1,0,1,84,,8,9,7,5,0,,,15,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
98,CJ Jordan,KA Pollard,AU Rashid,0,0,0,84,,28,21,7,6,0,,,15,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
99,AU Rashid,FA Allen,CJ Jordan,1,0,1,85,,9,10,7,1,0,,,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
100,CJ Jordan,FA Allen,AU Rashid,0,0,0,85,,28,22,7,2,0,,,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
101,CJ Jordan,FA Allen,AU Rashid,0,0,0,85,,28,23,8,3,caught,CJ Jordan,SS Cottrell,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
102,AU Rashid,FA Allen,S Mahmood,1,0,1,86,,10,11,8,4,0,,,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
103,S Mahmood,FA Allen,AU Rashid,0,0,0,86,,0,1,8,5,0,,,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
104,S Mahmood,FA Allen,AU Rashid,1,0,1,87,,1,2,8,6,0,,,16,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
105,S Mahmood,KA Pollard,AU Rashid,0,0,0,87,,1,3,8,1,0,,,17,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
106,S Mahmood,KA Pollard,AU Rashid,2,0,2,89,,3,4,8,2,0,,,17,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
107,S Mahmood,KA Pollard,AU Rashid,0,0,0,89,,3,5,8,3,0,,,17,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
108,S Mahmood,KA Pollard,AU Rashid,1,0,1,90,,4,6,8,4,0,,,17,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
109,AU Rashid,KA Pollard,S Mahmood,4,0,4,94,,14,12,8,5,0,,,17,,-,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-22,West Indies,England,West Indies,False,103
