,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
76,N Pooran,YS Chahal,BA King,1,0,1,111,54,46,35,1,2,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
77,BA King,YS Chahal,N Pooran,6,0,6,117,48,54,38,1,3,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
78,BA King,YS Chahal,N Pooran,0,0,0,117,48,54,39,1,4,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
79,BA King,YS Chahal,N Pooran,1,0,1,118,47,55,40,1,5,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
80,N Pooran,YS Chahal,BA King,1,0,1,119,46,47,36,1,6,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
81,N Pooran,Tilak Varma,BA King,0,0,0,119,46,47,37,1,1,14,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
82,N Pooran,Tilak Varma,BA King,0,0,0,119,46,47,38,2,2,14,caught,N Pooran,HH Pandya,-,"{'by': 'India', 'umpire': 'N Duguid', 'batter': 'N Pooran', 'decision': 'upheld', 'type': 'wicket'}",bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
83,SD Hope,Tilak Varma,BA King,2,0,2,121,44,2,1,2,3,14,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
84,SD Hope,Tilak Varma,BA King,1,0,1,122,43,3,2,2,4,14,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
85,BA King,Tilak Varma,SD Hope,0,0,0,122,43,55,41,2,5,14,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
86,BA King,Tilak Varma,SD Hope,2,0,2,124,41,57,42,2,6,14,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
87,SD Hope,AR Patel,BA King,0,0,0,124,41,3,3,2,1,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
88,SD Hope,AR Patel,BA King,2,0,2,126,39,5,4,2,2,15,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
