,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
24,FH Allen,Nasum Ahmed,R Ravindra,4,0,4,42,51,32,18,0,1,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
25,FH Allen,Nasum Ahmed,R Ravindra,1,0,1,43,50,33,19,0,2,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
26,R Ravindra,Nasum Ahmed,FH Allen,1,0,1,44,49,11,8,0,3,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
27,FH Allen,Nasum Ahmed,R Ravindra,1,0,1,45,48,34,20,0,4,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
28,R Ravindra,Nasum Ahmed,FH Allen,2,0,2,47,46,13,9,0,5,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
29,R Ravindra,Nasum Ahmed,FH Allen,0,0,0,47,46,13,10,0,6,5,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
30,FH Allen,Shoriful Islam,R Ravindra,6,0,6,53,40,40,21,0,1,6,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
31,FH Allen,Shoriful Islam,R Ravindra,1,0,1,54,39,41,22,0,2,6,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
32,R Ravindra,Shoriful Islam,FH Allen,4,0,4,58,35,17,11,0,3,6,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
33,R Ravindra,Shoriful Islam,FH Allen,0,0,0,58,35,17,12,1,4,6,,caught,R Ravindra,Mushfiqur Rahim,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
34,FH Allen,Shoriful Islam,TWM Latham,0,0,0,58,35,41,23,1,5,6,"{'by': 'New Zealand', 'umpire': 'Tanvir Ahmed', 'batter': 'FH Allen', 'decision': 'upheld'}",0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
35,FH Allen,Shoriful Islam,TWM Latham,0,0,0,58,35,41,24,2,6,6,,bowled,FH Allen,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
36,TWM Latham,Mahmudullah,WA Young,4,0,4,62,31,4,1,2,1,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
37,TWM Latham,Mahmudullah,WA Young,0,0,0,62,31,4,2,2,2,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
38,TWM Latham,Mahmudullah,WA Young,0,0,0,62,31,4,3,2,3,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
39,TWM Latham,Mahmudullah,WA Young,1,0,1,63,30,5,4,2,4,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
40,WA Young,Mahmudullah,TWM Latham,0,0,0,63,30,0,1,2,5,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
41,WA Young,Mahmudullah,TWM Latham,0,0,0,63,30,0,2,2,6,7,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
42,TWM Latham,Soumya Sarkar,WA Young,0,0,0,63,30,5,5,2,1,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
43,TWM Latham,Soumya Sarkar,WA Young,1,0,1,64,29,6,6,2,2,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
44,WA Young,Soumya Sarkar,TWM Latham,1,0,1,65,28,1,3,2,3,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
45,TWM Latham,Soumya Sarkar,WA Young,1,0,1,66,27,7,7,2,4,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
46,WA Young,Soumya Sarkar,TWM Latham,1,0,1,67,26,2,4,2,5,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
47,TWM Latham,Soumya Sarkar,WA Young,0,0,0,67,26,7,8,2,6,8,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
48,WA Young,Afif Hossain,TWM Latham,0,0,0,67,26,2,5,2,1,9,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
49,WA Young,Afif Hossain,TWM Latham,4,0,4,71,22,6,6,2,2,9,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
50,WA Young,Afif Hossain,TWM Latham,0,0,0,71,22,6,7,2,3,9,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
51,WA Young,Afif Hossain,TWM Latham,0,0,0,71,22,6,8,3,4,9,,caught,WA Young,Nurul Hasan,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
52,C de Grandhomme,Afif Hossain,TWM Latham,0,0,0,71,22,0,1,3,5,9,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
53,C de Grandhomme,Afif Hossain,TWM Latham,0,0,0,71,22,0,2,3,6,9,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
54,TWM Latham,Soumya Sarkar,C de Grandhomme,1,0,1,72,21,8,9,3,1,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
55,C de Grandhomme,Soumya Sarkar,TWM Latham,1,0,1,73,20,1,3,3,2,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
56,TWM Latham,Soumya Sarkar,C de Grandhomme,1,0,1,74,19,9,10,3,3,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
57,C de Grandhomme,Soumya Sarkar,TWM Latham,6,0,6,80,13,7,4,3,4,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
58,C de Grandhomme,Soumya Sarkar,TWM Latham,1,0,1,81,12,8,5,3,5,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
59,TWM Latham,Soumya Sarkar,C de Grandhomme,0,0,0,81,12,9,11,3,6,10,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
60,C de Grandhomme,Nasum Ahmed,TWM Latham,1,0,1,82,11,9,6,3,1,11,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
61,TWM Latham,Nasum Ahmed,C de Grandhomme,1,0,1,83,10,10,12,3,2,11,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
62,C de Grandhomme,Nasum Ahmed,TWM Latham,0,0,0,83,10,9,7,3,3,11,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
63,C de Grandhomme,Nasum Ahmed,TWM Latham,0,0,0,83,10,9,8,4,4,11,,caught,C de Grandhomme,Shamim Hossain,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
64,TWM Latham,Nasum Ahmed,HM Nicholls,1,0,1,84,9,11,13,4,5,11,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
65,HM Nicholls,Nasum Ahmed,TWM Latham,1,0,1,85,8,1,1,4,6,11,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
66,HM Nicholls,Shamim Hossain,TWM Latham,1,0,1,86,7,2,2,4,1,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
67,TWM Latham,Shamim Hossain,HM Nicholls,1,0,1,87,6,12,14,4,2,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
68,HM Nicholls,Shamim Hossain,TWM Latham,1,0,1,88,5,3,3,4,3,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
69,TWM Latham,Shamim Hossain,HM Nicholls,0,0,0,88,5,12,15,4,4,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
70,TWM Latham,Shamim Hossain,HM Nicholls,0,0,0,88,5,12,16,4,5,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
71,TWM Latham,Shamim Hossain,HM Nicholls,1,0,1,89,4,13,17,4,6,12,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
72,TWM Latham,Afif Hossain,HM Nicholls,1,0,1,90,3,14,18,4,1,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
73,HM Nicholls,Afif Hossain,TWM Latham,0,0,0,90,3,3,4,4,2,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
74,HM Nicholls,Afif Hossain,TWM Latham,0,0,0,90,3,3,5,4,3,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
75,HM Nicholls,Afif Hossain,TWM Latham,0,0,0,90,3,3,6,4,4,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
76,HM Nicholls,Afif Hossain,TWM Latham,1,0,1,91,2,4,7,4,5,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
77,TWM Latham,Afif Hossain,HM Nicholls,1,0,1,92,1,15,19,4,6,13,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
78,TWM Latham,Mahmudullah,HM Nicholls,1,0,1,93,0,16,20,4,1,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
79,HM Nicholls,Mahmudullah,TWM Latham,0,0,0,93,0,4,8,4,2,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
80,HM Nicholls,Mahmudullah,TWM Latham,0,0,0,93,0,4,9,4,3,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
81,HM Nicholls,Mahmudullah,TWM Latham,0,0,0,93,0,4,10,4,4,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
82,HM Nicholls,Mahmudullah,TWM Latham,1,0,1,94,-1,5,11,4,5,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
83,TWM Latham,Mahmudullah,HM Nicholls,2,0,2,96,-3,18,21,4,6,14,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
84,HM Nicholls,Afif Hossain,TWM Latham,4,0,4,100,-7,9,12,4,1,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
85,HM Nicholls,Afif Hossain,TWM Latham,2,0,2,102,-9,11,13,4,2,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
86,HM Nicholls,Afif Hossain,TWM Latham,1,0,1,103,-10,12,14,4,3,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
87,TWM Latham,Afif Hossain,HM Nicholls,1,0,1,104,-11,19,22,4,4,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
88,HM Nicholls,Afif Hossain,TWM Latham,1,0,1,105,-12,13,15,4,5,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
89,TWM Latham,Afif Hossain,HM Nicholls,2,0,2,107,-14,21,23,4,6,15,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
90,HM Nicholls,Mahmudullah,TWM Latham,4,0,4,111,-18,17,16,4,1,16,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
91,HM Nicholls,Mahmudullah,TWM Latham,1,0,1,112,-19,18,17,4,2,16,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
92,TWM Latham,Mahmudullah,HM Nicholls,1,0,1,113,-20,22,24,4,3,16,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
93,HM Nicholls,Mahmudullah,TWM Latham,0,1,1,114,-21,18,18,4,4,16,,0,,,legbyes,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
94,TWM Latham,Mahmudullah,HM Nicholls,1,0,1,115,-22,23,25,4,5,16,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
95,HM Nicholls,Mahmudullah,TWM Latham,1,0,1,116,-23,19,19,4,6,16,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
96,HM Nicholls,Taskin Ahmed,TWM Latham,1,0,1,117,-24,20,20,4,1,17,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
97,TWM Latham,Taskin Ahmed,HM Nicholls,1,0,1,118,-25,24,26,4,2,17,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
98,HM Nicholls,Taskin Ahmed,TWM Latham,0,0,0,118,-25,20,21,5,3,17,,caught,HM Nicholls,Nurul Hasan,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
99,CE McConchie,Taskin Ahmed,TWM Latham,4,0,4,122,-29,4,1,5,4,17,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
100,CE McConchie,Taskin Ahmed,TWM Latham,1,0,1,123,-30,5,2,5,5,17,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
101,TWM Latham,Taskin Ahmed,CE McConchie,2,0,2,125,-32,26,27,5,6,17,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
102,CE McConchie,Shoriful Islam,TWM Latham,0,0,0,125,-32,5,3,5,1,18,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
103,CE McConchie,Shoriful Islam,TWM Latham,4,0,4,129,-36,9,4,5,2,18,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
104,CE McConchie,Shoriful Islam,TWM Latham,0,0,0,129,-36,9,5,5,3,18,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
105,CE McConchie,Shoriful Islam,TWM Latham,1,0,1,130,-37,10,6,5,4,18,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
