,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
39,GD Phillips,AU Rashid,TL Seifert,0,0,0,44,22,16,2,-,7,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
40,GD Phillips,AU Rashid,TL Seifert,0,0,0,44,22,17,3,-,7,caught,GD Phillips,HC Brook,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
41,MS Chapman,AU Rashid,TL Seifert,1,0,1,45,1,1,4,-,7,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
42,TL Seifert,AU Rashid,MS Chapman,1,0,1,46,15,14,5,-,7,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
43,MS Chapman,AU Rashid,TL Seifert,1,0,1,47,2,2,6,-,7,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
44,MS Chapman,MM Ali,TL Seifert,1,0,1,48,3,3,1,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
45,TL Seifert,MM Ali,MS Chapman,0,0,0,48,15,15,2,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
46,TL Seifert,MM Ali,MS Chapman,2,0,2,50,17,16,3,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
47,TL Seifert,MM Ali,MS Chapman,1,0,1,51,18,17,4,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
48,MS Chapman,MM Ali,TL Seifert,1,0,1,52,4,4,5,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
49,TL Seifert,MM Ali,MS Chapman,4,0,4,56,22,18,6,-,8,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
50,MS Chapman,LS Livingstone,TL Seifert,6,0,6,62,10,5,1,-,9,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
51,MS Chapman,LS Livingstone,TL Seifert,4,0,4,66,14,6,2,-,9,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
52,MS Chapman,LS Livingstone,TL Seifert,1,0,1,67,15,7,3,-,9,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
53,TL Seifert,LS Livingstone,MS Chapman,4,0,4,71,26,19,4,-,9,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
54,TL Seifert,LS Livingstone,MS Chapman,1,0,1,72,27,20,5,-,9,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
55,MS Chapman,LS Livingstone,TL Seifert,0,0,0,72,15,8,6,-,9,caught,MS Chapman,HC Brook,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
56,TL Seifert,BA Carse,DJ Mitchell,1,0,1,73,28,21,1,-,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
57,DJ Mitchell,BA Carse,TL Seifert,0,1,1,74,0,1,2,wides,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
58,DJ Mitchell,BA Carse,TL Seifert,0,0,0,74,0,2,3,-,10,caught,DJ Mitchell,JC Buttler,"{'by': 'England', 'umpire': 'MJ Saggers', 'batter': 'DJ Mitchell', 'decision': 'upheld', 'type': 'wicket'}",bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
59,MJ Santner,BA Carse,TL Seifert,0,0,0,74,0,1,4,-,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
60,MJ Santner,BA Carse,TL Seifert,1,0,1,75,1,2,5,-,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
61,TL Seifert,BA Carse,MJ Santner,0,0,0,75,28,22,6,-,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
62,TL Seifert,BA Carse,MJ Santner,2,0,2,77,30,23,7,-,10,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
63,MJ Santner,AU Rashid,TL Seifert,0,0,0,77,1,3,1,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
64,MJ Santner,AU Rashid,TL Seifert,0,0,0,77,1,4,2,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
65,MJ Santner,AU Rashid,TL Seifert,1,0,1,78,2,5,3,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
66,TL Seifert,AU Rashid,MJ Santner,0,0,0,78,30,24,4,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
67,TL Seifert,AU Rashid,MJ Santner,1,0,1,79,31,25,5,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
68,MJ Santner,AU Rashid,TL Seifert,4,0,4,83,6,6,6,-,11,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
69,TL Seifert,WG Jacks,MJ Santner,1,0,1,84,32,26,1,-,12,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
70,MJ Santner,WG Jacks,TL Seifert,1,0,1,85,7,7,2,-,12,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
71,TL Seifert,WG Jacks,MJ Santner,1,0,1,86,33,27,3,-,12,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
72,MJ Santner,WG Jacks,TL Seifert,1,0,1,87,8,8,4,-,12,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
73,TL Seifert,WG Jacks,MJ Santner,1,0,1,88,34,28,5,-,12,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
74,MJ Santner,WG Jacks,TL Seifert,0,0,0,88,8,9,6,-,12,bowled,MJ Santner,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
75,TL Seifert,AU Rashid,AF Milne,3,0,3,91,37,29,1,-,13,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
76,AF Milne,AU Rashid,TL Seifert,1,0,1,92,1,1,2,-,13,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
77,TL Seifert,AU Rashid,AF Milne,1,0,1,93,38,30,3,-,13,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
78,AF Milne,AU Rashid,TL Seifert,1,0,1,94,2,2,4,-,13,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
79,TL Seifert,AU Rashid,AF Milne,1,0,1,95,39,31,5,-,13,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
80,AF Milne,AU Rashid,TL Seifert,0,0,0,95,2,3,6,-,13,caught,AF Milne,MM Ali,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
81,TL Seifert,AAP Atkinson,IS Sodhi,0,0,0,95,39,32,1,-,14,caught,TL Seifert,JC Buttler,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
82,TG Southee,AAP Atkinson,IS Sodhi,2,0,2,97,2,1,2,-,14,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
83,TG Southee,AAP Atkinson,IS Sodhi,6,0,6,103,8,2,3,-,14,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
84,TG Southee,AAP Atkinson,IS Sodhi,0,0,0,103,8,3,4,-,14,lbw,TG Southee,,"{'by': 'New Zealand', 'umpire': 'MJ Saggers', 'batter': 'TG Southee', 'decision': 'struck down', 'type': 'wicket'}",bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
85,LH Ferguson,AAP Atkinson,IS Sodhi,0,0,0,103,0,1,5,-,14,bowled,LH Ferguson,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
