,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
19,CH Gayle,RP Meredith,LMP Simmons,0,0,0,25,116,19,10,1,2,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
20,CH Gayle,RP Meredith,LMP Simmons,0,0,0,25,116,19,11,1,3,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
21,CH Gayle,RP Meredith,LMP Simmons,1,0,1,26,115,20,12,1,4,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
22,LMP Simmons,RP Meredith,CH Gayle,4,0,4,30,111,5,8,1,5,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
23,LMP Simmons,RP Meredith,CH Gayle,4,0,4,34,107,9,9,1,6,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
24,CH Gayle,JR Hazlewood,LMP Simmons,1,0,1,35,106,21,13,1,1,0,,,4,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
25,LMP Simmons,JR Hazlewood,CH Gayle,1,0,1,36,105,10,10,1,2,0,,,4,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
26,CH Gayle,JR Hazlewood,LMP Simmons,0,1,1,37,104,21,14,1,3,0,,,4,,legbyes,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
27,LMP Simmons,JR Hazlewood,CH Gayle,4,0,4,41,100,14,11,1,4,0,,,4,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
28,LMP Simmons,JR Hazlewood,CH Gayle,1,0,1,42,99,15,12,1,5,0,,,4,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
29,CH Gayle,JR Hazlewood,LMP Simmons,0,0,0,42,99,21,15,1,6,0,,,4,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
30,LMP Simmons,RP Meredith,CH Gayle,0,0,0,42,99,15,13,2,1,caught,LMP Simmons,MA Starc,5,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
31,N Pooran,RP Meredith,CH Gayle,4,0,4,46,95,4,1,2,2,0,,,5,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
32,N Pooran,RP Meredith,CH Gayle,0,0,0,46,95,4,2,2,3,0,,,5,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
33,N Pooran,RP Meredith,CH Gayle,0,2,2,48,93,4,3,2,4,0,,,5,,legbyes,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
34,N Pooran,RP Meredith,CH Gayle,0,0,0,48,93,4,4,2,5,0,,,5,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
35,N Pooran,RP Meredith,CH Gayle,0,1,1,49,92,4,5,2,6,0,,,5,,wides,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
36,N Pooran,RP Meredith,CH Gayle,0,0,0,49,92,4,6,2,7,0,,,5,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
37,CH Gayle,A Zampa,N Pooran,0,0,0,49,92,21,16,2,1,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
38,CH Gayle,A Zampa,N Pooran,0,0,0,49,92,21,17,2,2,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
39,CH Gayle,A Zampa,N Pooran,1,0,1,50,91,22,18,2,3,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
40,N Pooran,A Zampa,CH Gayle,1,0,1,51,90,5,7,2,4,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
41,CH Gayle,A Zampa,N Pooran,1,0,1,52,89,23,19,2,5,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
42,N Pooran,A Zampa,CH Gayle,1,0,1,53,88,6,8,2,6,0,,,6,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
43,N Pooran,MR Marsh,CH Gayle,6,0,6,59,82,12,9,2,1,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
44,N Pooran,MR Marsh,CH Gayle,0,0,0,59,82,12,10,2,2,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
45,N Pooran,MR Marsh,CH Gayle,1,0,1,60,81,13,11,2,3,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
46,CH Gayle,MR Marsh,N Pooran,1,0,1,61,80,24,20,2,4,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
47,N Pooran,MR Marsh,CH Gayle,0,0,0,61,80,13,12,2,5,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
48,N Pooran,MR Marsh,CH Gayle,0,0,0,61,80,13,13,2,6,0,,,7,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
49,CH Gayle,A Zampa,N Pooran,6,0,6,67,74,30,21,2,1,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
50,CH Gayle,A Zampa,N Pooran,1,0,1,68,73,31,22,2,2,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
51,N Pooran,A Zampa,CH Gayle,0,0,0,68,73,13,14,2,3,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
52,N Pooran,A Zampa,CH Gayle,0,0,0,68,73,13,15,2,4,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
53,N Pooran,A Zampa,CH Gayle,0,1,1,69,72,13,16,2,5,0,,,8,,wides,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
54,N Pooran,A Zampa,CH Gayle,0,0,0,69,72,13,17,2,6,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
55,N Pooran,A Zampa,CH Gayle,0,0,0,69,72,13,18,2,7,0,,,8,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
56,CH Gayle,MA Starc,N Pooran,0,1,1,70,71,31,23,2,1,0,,,9,,wides,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
57,CH Gayle,MA Starc,N Pooran,0,0,0,70,71,31,24,2,2,0,,,9,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
58,CH Gayle,MA Starc,N Pooran,0,0,0,70,71,31,25,2,3,0,,,9,"{'by': 'Australia', 'umpire': 'JS Wilson', 'batter': 'CH Gayle', 'decision': 'struck down'}",-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
59,CH Gayle,MA Starc,N Pooran,0,0,0,70,71,31,26,2,4,0,,,9,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
60,CH Gayle,MA Starc,N Pooran,0,0,0,70,71,31,27,2,5,0,,,9,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
61,CH Gayle,MA Starc,N Pooran,0,0,0,70,71,31,28,2,6,0,,,9,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
62,CH Gayle,MA Starc,N Pooran,1,0,1,71,70,32,29,2,7,0,,,9,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
63,CH Gayle,A Zampa,N Pooran,4,0,4,75,66,36,30,2,1,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
64,CH Gayle,A Zampa,N Pooran,0,0,0,75,66,36,31,2,2,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
65,CH Gayle,A Zampa,N Pooran,6,0,6,81,60,42,32,2,3,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
66,CH Gayle,A Zampa,N Pooran,6,0,6,87,54,48,33,2,4,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
67,CH Gayle,A Zampa,N Pooran,6,0,6,93,48,54,34,2,5,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
68,CH Gayle,A Zampa,N Pooran,0,0,0,93,48,54,35,2,6,0,,,10,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
69,N Pooran,RP Meredith,CH Gayle,1,0,1,94,47,14,19,2,1,0,,,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
70,CH Gayle,RP Meredith,N Pooran,1,0,1,95,46,55,36,2,2,0,,,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
71,N Pooran,RP Meredith,CH Gayle,0,1,1,96,45,14,20,2,3,0,,,11,,wides,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
72,N Pooran,RP Meredith,CH Gayle,1,0,1,97,44,15,21,2,4,0,,,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
73,CH Gayle,RP Meredith,N Pooran,6,0,6,103,38,61,37,2,5,0,,,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
74,CH Gayle,RP Meredith,N Pooran,6,0,6,109,32,67,38,2,6,0,,,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
75,CH Gayle,RP Meredith,N Pooran,0,0,0,109,32,67,39,3,7,caught,CH Gayle,MS Wade,11,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
76,N Pooran,JR Hazlewood,DJ Bravo,0,0,0,109,32,15,22,3,1,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
77,N Pooran,JR Hazlewood,DJ Bravo,2,0,2,111,30,17,23,3,2,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
78,N Pooran,JR Hazlewood,DJ Bravo,1,0,1,112,29,18,24,3,3,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
79,DJ Bravo,JR Hazlewood,N Pooran,0,0,0,112,29,0,1,3,4,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
80,DJ Bravo,JR Hazlewood,N Pooran,0,0,0,112,29,0,2,3,5,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
81,DJ Bravo,JR Hazlewood,N Pooran,4,0,4,116,25,4,3,3,6,0,,,12,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
82,N Pooran,MA Starc,DJ Bravo,1,0,1,117,24,19,25,3,1,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
83,DJ Bravo,MA Starc,N Pooran,2,0,2,119,22,6,4,3,2,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
84,DJ Bravo,MA Starc,N Pooran,0,0,0,119,22,6,5,3,3,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
85,DJ Bravo,MA Starc,N Pooran,1,0,1,120,21,7,6,3,4,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
86,N Pooran,MA Starc,DJ Bravo,0,0,0,120,21,19,26,3,5,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
87,N Pooran,MA Starc,DJ Bravo,4,0,4,124,17,23,27,3,6,0,,,13,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
88,DJ Bravo,RP Meredith,N Pooran,0,0,0,124,17,7,7,4,1,caught,DJ Bravo,A Zampa,14,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
89,N Pooran,RP Meredith,AD Russell,1,0,1,125,16,24,28,4,2,0,,,14,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
90,AD Russell,RP Meredith,N Pooran,6,1,7,132,9,6,1,4,3,0,,,14,,noballs,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
91,AD Russell,RP Meredith,N Pooran,1,0,1,133,8,7,2,4,4,0,,,14,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
92,N Pooran,RP Meredith,AD Russell,0,1,1,134,7,24,29,4,5,0,,,14,,wides,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
93,N Pooran,RP Meredith,AD Russell,4,0,4,138,3,28,30,4,6,0,,,14,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
94,N Pooran,RP Meredith,AD Russell,4,0,4,142,-1,32,31,4,7,0,,,14,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
