,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
72,CR Ervine,PWH de Silva,BJ Bennett,0,0,0,88,52,42,3,12,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
73,CR Ervine,PWH de Silva,BJ Bennett,0,1,1,89,52,43,4,12,{'legbyes': 1},,legbyes,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
74,BJ Bennett,PWH de Silva,CR Ervine,2,0,2,91,21,17,5,12,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
75,BJ Bennett,PWH de Silva,CR Ervine,4,0,4,95,25,18,6,12,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
76,CR Ervine,M Theekshana,BJ Bennett,1,0,1,96,53,44,1,13,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
77,BJ Bennett,M Theekshana,CR Ervine,0,0,0,96,25,19,2,13,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
78,BJ Bennett,M Theekshana,CR Ervine,0,0,0,96,25,20,3,13,,,-,bowled,BJ Bennett,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
79,Sikandar Raza,M Theekshana,CR Ervine,0,0,0,96,0,1,4,13,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
80,Sikandar Raza,M Theekshana,CR Ervine,4,0,4,100,4,2,5,13,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
81,Sikandar Raza,M Theekshana,CR Ervine,0,0,0,100,4,3,6,13,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
82,CR Ervine,PVD Chameera,Sikandar Raza,1,0,1,101,54,45,1,14,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
83,Sikandar Raza,PVD Chameera,CR Ervine,4,0,4,105,8,4,2,14,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
84,Sikandar Raza,PVD Chameera,CR Ervine,0,0,0,105,8,5,3,14,,,-,caught,Sikandar Raza,S Samarawickrama,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
85,SC Williams,PVD Chameera,CR Ervine,1,0,1,106,1,1,4,14,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
86,CR Ervine,PVD Chameera,SC Williams,1,0,1,107,55,46,5,14,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
87,SC Williams,PVD Chameera,CR Ervine,0,0,0,107,1,2,6,14,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
88,CR Ervine,M Theekshana,SC Williams,4,0,4,111,59,47,1,15,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
89,CR Ervine,M Theekshana,SC Williams,1,0,1,112,60,48,2,15,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
90,SC Williams,M Theekshana,CR Ervine,0,0,0,112,1,3,3,15,,,-,bowled,SC Williams,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
91,RP Burl,M Theekshana,CR Ervine,0,1,1,113,0,1,4,15,{'noballs': 1},,noballs,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
92,RP Burl,M Theekshana,CR Ervine,1,0,1,114,1,2,5,15,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
93,CR Ervine,M Theekshana,RP Burl,0,0,0,114,60,49,6,15,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
94,CR Ervine,M Theekshana,RP Burl,0,0,0,114,60,50,7,15,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
95,RP Burl,D Madushanka,CR Ervine,0,0,0,114,1,3,1,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
96,RP Burl,D Madushanka,CR Ervine,0,0,0,114,1,4,2,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
97,RP Burl,D Madushanka,CR Ervine,0,1,1,115,1,5,3,16,{'wides': 1},,wides,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
98,RP Burl,D Madushanka,CR Ervine,4,0,4,119,5,6,4,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
99,RP Burl,D Madushanka,CR Ervine,1,0,1,120,6,7,5,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
100,CR Ervine,D Madushanka,RP Burl,0,0,0,120,60,51,6,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
101,CR Ervine,D Madushanka,RP Burl,1,0,1,121,61,52,7,16,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
102,CR Ervine,PWH de Silva,RP Burl,2,0,2,123,63,53,1,17,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
103,CR Ervine,PWH de Silva,RP Burl,6,0,6,129,69,54,2,17,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
104,CR Ervine,PWH de Silva,RP Burl,1,0,1,130,70,55,3,17,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
105,RP Burl,PWH de Silva,CR Ervine,1,0,1,131,7,8,4,17,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
106,CR Ervine,PWH de Silva,RP Burl,0,0,0,131,70,56,5,17,,,-,caught,CR Ervine,M Theekshana,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
107,LM Jongwe,PWH de Silva,RP Burl,1,0,1,132,1,1,6,17,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
108,LM Jongwe,PVD Chameera,RP Burl,4,0,4,136,5,2,1,18,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
109,LM Jongwe,PVD Chameera,RP Burl,1,0,1,137,6,3,2,18,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
