,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
26,S Samarawickrama,Fazalhaq Farooqi,DM de Silva,0,0,0,36,,0,1,2,-,2.0,0,,,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
27,S Samarawickrama,Fazalhaq Farooqi,DM de Silva,1,0,1,37,,1,2,2,-,3.0,0,,,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
28,DM de Silva,Fazalhaq Farooqi,S Samarawickrama,0,0,0,37,,18,14,2,-,4.0,0,,,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
29,DM de Silva,Fazalhaq Farooqi,S Samarawickrama,6,0,6,43,,24,15,2,-,5.0,0,,,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
30,DM de Silva,Fazalhaq Farooqi,S Samarawickrama,0,0,0,43,,24,16,2,-,6.0,0,,,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
31,S Samarawickrama,Naveen-ul-Haq,DM de Silva,4,0,4,47,,5,3,2,-,1.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
32,S Samarawickrama,Naveen-ul-Haq,DM de Silva,0,0,0,47,,5,4,2,-,2.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
33,S Samarawickrama,Naveen-ul-Haq,DM de Silva,1,0,1,48,,6,5,2,-,3.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
34,DM de Silva,Naveen-ul-Haq,S Samarawickrama,0,0,0,48,,24,17,3,-,4.0,caught,DM de Silva,Noor Ahmad,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
35,KIC Asalanka,Naveen-ul-Haq,S Samarawickrama,0,1,1,49,,0,0,3,wides,4.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
36,KIC Asalanka,Naveen-ul-Haq,S Samarawickrama,1,0,1,50,,1,1,3,-,5.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
37,S Samarawickrama,Naveen-ul-Haq,KIC Asalanka,1,0,1,51,,7,6,3,-,6.0,0,,,5,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Left hand Bat,Right arm Medium
38,S Samarawickrama,Azmatullah Omarzai,KIC Asalanka,0,1,1,52,,7,7,3,legbyes,1.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Left hand Bat,Right arm Medium
39,KIC Asalanka,Azmatullah Omarzai,S Samarawickrama,1,0,1,53,,2,2,3,-,2.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
40,S Samarawickrama,Azmatullah Omarzai,KIC Asalanka,0,1,1,54,,7,8,3,legbyes,3.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Left hand Bat,Right arm Medium
41,KIC Asalanka,Azmatullah Omarzai,S Samarawickrama,0,0,0,54,,2,3,3,-,4.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
42,KIC Asalanka,Azmatullah Omarzai,S Samarawickrama,0,0,0,54,,2,4,3,-,5.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
43,KIC Asalanka,Azmatullah Omarzai,S Samarawickrama,1,0,1,55,,3,5,3,-,6.0,0,,,6,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Right arm Medium
44,KIC Asalanka,Noor Ahmad,S Samarawickrama,0,0,0,55,,3,6,3,-,1.0,0,,,7,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Left arm Wrist spin
45,KIC Asalanka,Noor Ahmad,S Samarawickrama,0,0,0,55,,3,7,4,-,2.0,caught,KIC Asalanka,Rahmanullah Gurbaz,7,"{'by': 'Afghanistan', 'umpire': 'RR Wimalasiri', 'batter': 'KIC Asalanka', 'decision': 'upheld', 'type': 'wicket'}",field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Left hand Bat,Right hand Bat,Left arm Wrist spin
46,PWH de Silva,Noor Ahmad,S Samarawickrama,0,0,0,55,,0,1,4,-,3.0,0,,,7,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
47,PWH de Silva,Noor Ahmad,S Samarawickrama,4,0,4,59,,4,2,4,-,4.0,0,,,7,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
48,PWH de Silva,Noor Ahmad,S Samarawickrama,4,0,4,63,,8,3,4,-,5.0,0,,,7,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
49,PWH de Silva,Noor Ahmad,S Samarawickrama,0,0,0,63,,8,4,4,-,6.0,0,,,7,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
50,S Samarawickrama,Azmatullah Omarzai,PWH de Silva,1,0,1,64,,8,9,4,-,1.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
51,PWH de Silva,Azmatullah Omarzai,S Samarawickrama,2,0,2,66,,10,5,4,-,2.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
52,PWH de Silva,Azmatullah Omarzai,S Samarawickrama,4,0,4,70,,14,6,4,-,3.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
53,PWH de Silva,Azmatullah Omarzai,S Samarawickrama,2,0,2,72,,16,7,4,-,4.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
54,PWH de Silva,Azmatullah Omarzai,S Samarawickrama,1,0,1,73,,17,8,4,-,5.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
55,S Samarawickrama,Azmatullah Omarzai,PWH de Silva,4,0,4,77,,12,10,4,-,6.0,0,,,8,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
56,PWH de Silva,Qais Ahmad,S Samarawickrama,1,0,1,78,,18,9,4,-,1.0,0,,,9,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
