,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
19,Soumya Sarkar,Washington Sundar,Mohammad Naim,1,0,1,17,131,4,6,1,1,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
20,Mohammad Naim,Washington Sundar,Soumya Sarkar,2,0,2,19,129,7,11,1,2,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
21,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,19,129,7,12,1,3,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
22,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,19,129,7,13,1,4,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
23,Mohammad Naim,Washington Sundar,Soumya Sarkar,1,0,1,20,128,8,14,1,5,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
24,Soumya Sarkar,Washington Sundar,Mohammad Naim,0,0,0,20,128,4,7,1,6,-,0,,,4,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
25,Mohammad Naim,DL Chahar,Soumya Sarkar,6,0,6,26,122,14,15,1,1,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
26,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,26,122,14,16,1,2,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
27,Mohammad Naim,DL Chahar,Soumya Sarkar,2,0,2,28,120,16,17,1,3,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
28,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,28,120,16,18,1,4,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
29,Mohammad Naim,DL Chahar,Soumya Sarkar,4,0,4,32,116,20,19,1,5,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
30,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,32,116,20,20,1,6,-,0,,,5,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
31,Soumya Sarkar,Washington Sundar,Mohammad Naim,6,0,6,38,110,10,8,1,1,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
32,Soumya Sarkar,Washington Sundar,Mohammad Naim,1,0,1,39,109,11,9,1,2,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
33,Mohammad Naim,Washington Sundar,Soumya Sarkar,1,0,1,40,108,21,21,1,3,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
34,Soumya Sarkar,Washington Sundar,Mohammad Naim,1,0,1,41,107,12,10,1,4,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
35,Mohammad Naim,Washington Sundar,Soumya Sarkar,4,0,4,45,103,25,22,1,5,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
36,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,45,103,25,23,1,6,-,0,,,6,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
37,Soumya Sarkar,KK Ahmed,Mohammad Naim,4,0,4,49,99,16,11,1,1,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
38,Soumya Sarkar,KK Ahmed,Mohammad Naim,0,0,0,49,99,16,12,1,2,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
39,Soumya Sarkar,KK Ahmed,Mohammad Naim,0,0,0,49,99,16,13,1,3,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
40,Soumya Sarkar,KK Ahmed,Mohammad Naim,0,1,1,50,98,16,14,1,4,wides,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
41,Soumya Sarkar,KK Ahmed,Mohammad Naim,1,0,1,51,97,17,15,1,5,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
42,Mohammad Naim,KK Ahmed,Soumya Sarkar,1,0,1,52,96,26,24,1,6,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
43,Soumya Sarkar,KK Ahmed,Mohammad Naim,1,0,1,53,95,18,16,1,7,-,0,,,7,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
44,Soumya Sarkar,YS Chahal,Mohammad Naim,1,0,1,54,94,19,17,1,1,-,0,,,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
45,Mohammad Naim,YS Chahal,Soumya Sarkar,0,0,0,54,94,26,25,1,2,-,0,,,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
46,Mohammad Naim,YS Chahal,Soumya Sarkar,0,0,0,54,94,26,26,1,3,-,0,,,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
47,Mohammad Naim,YS Chahal,Soumya Sarkar,0,0,0,54,94,26,27,1,4,-,0,,,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
48,Mohammad Naim,YS Chahal,Soumya Sarkar,0,0,0,54,94,26,28,2,5,-,caught,Mohammad Naim,S Dhawan,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
49,Soumya Sarkar,YS Chahal,Mushfiqur Rahim,0,0,0,54,94,19,18,2,6,-,0,,,8,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
50,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,55,93,1,1,2,1,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
51,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,1,0,1,56,92,20,19,2,2,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
52,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,0,0,56,92,1,2,2,3,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
53,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,4,0,4,60,88,5,3,2,4,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
54,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,0,0,60,88,5,4,2,5,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
55,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,61,87,6,5,2,6,-,0,,,9,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
56,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,0,0,0,61,87,6,6,2,1,-,0,,,10,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
57,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,0,0,0,61,87,6,7,2,2,-,0,,,10,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
58,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,0,0,0,61,87,6,8,2,3,-,0,,,10,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
59,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,0,0,0,61,87,6,9,2,4,-,0,,,10,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
60,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,1,0,1,62,86,7,10,2,5,-,0,,,10,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
61,Soumya Sarkar,YS Chahal,Mushfiqur Rahim,0,0,0,62,86,20,20,2,6,-,0,,,10,"{'by': 'India', 'umpire': 'CK Nandan', 'batter': 'Soumya Sarkar', 'decision': 'struck down'}",field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
62,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,0,0,62,86,7,11,2,1,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
63,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,63,85,8,12,2,2,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
64,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,1,0,1,64,84,21,21,2,3,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
65,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,4,0,4,68,80,12,13,2,4,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
66,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,0,0,68,80,12,14,2,5,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
67,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,69,79,13,15,2,6,-,0,,,11,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
68,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,4,0,4,73,75,17,16,2,1,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
69,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,1,0,1,74,74,18,17,2,2,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
70,Soumya Sarkar,YS Chahal,Mushfiqur Rahim,1,0,1,75,73,22,22,2,3,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
71,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,2,0,2,77,71,20,18,2,4,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
72,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,0,0,0,77,71,20,19,2,5,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
73,Mushfiqur Rahim,YS Chahal,Soumya Sarkar,1,0,1,78,70,21,20,2,6,-,0,,,12,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
74,Mushfiqur Rahim,Washington Sundar,Soumya Sarkar,1,0,1,79,69,22,21,2,1,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
75,Soumya Sarkar,Washington Sundar,Mushfiqur Rahim,0,0,0,79,69,22,23,2,2,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
76,Soumya Sarkar,Washington Sundar,Mushfiqur Rahim,1,0,1,80,68,23,24,2,3,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
77,Mushfiqur Rahim,Washington Sundar,Soumya Sarkar,1,0,1,81,67,23,22,2,4,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
78,Soumya Sarkar,Washington Sundar,Mushfiqur Rahim,0,0,0,81,67,23,25,2,5,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
79,Soumya Sarkar,Washington Sundar,Mushfiqur Rahim,1,0,1,82,66,24,26,2,6,-,0,,,13,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
80,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,2,0,2,84,64,26,27,2,1,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
81,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,1,0,1,85,63,27,28,2,2,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
82,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,86,62,24,23,2,3,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
83,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,6,0,6,92,56,33,29,2,4,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
84,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,1,0,1,93,55,34,30,2,5,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
85,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,94,54,25,24,2,6,-,0,,,14,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
86,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,1,0,1,95,53,26,25,2,1,-,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
87,Soumya Sarkar,KK Ahmed,Mushfiqur Rahim,0,1,1,96,52,34,31,2,2,legbyes,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
88,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,0,0,0,96,52,26,26,2,3,-,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
89,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,1,0,1,97,51,27,27,2,4,-,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
90,Soumya Sarkar,KK Ahmed,Mushfiqur Rahim,0,1,1,98,50,34,32,2,5,legbyes,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
91,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,1,0,1,99,49,28,28,2,6,-,0,,,15,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
92,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,100,48,29,29,2,1,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
93,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,1,0,1,101,47,35,33,2,2,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
94,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,0,0,101,47,29,30,2,3,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
95,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,0,1,1,102,46,29,31,2,4,wides,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
96,Mushfiqur Rahim,KH Pandya,Soumya Sarkar,1,0,1,103,45,30,32,2,5,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
97,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,2,0,2,105,43,37,34,2,6,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
98,Soumya Sarkar,KH Pandya,Mushfiqur Rahim,0,0,0,105,43,37,35,2,7,-,0,,,16,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
99,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,6,0,6,111,37,36,33,2,1,-,0,,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
100,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,0,0,0,111,37,36,34,2,2,-,0,,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
101,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,0,0,0,111,37,36,35,2,3,-,0,,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
102,Mushfiqur Rahim,KK Ahmed,Soumya Sarkar,1,0,1,112,36,37,36,2,4,-,0,,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
103,Soumya Sarkar,KK Ahmed,Mushfiqur Rahim,2,0,2,114,34,39,36,2,5,-,0,,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
104,Soumya Sarkar,KK Ahmed,Mushfiqur Rahim,0,0,0,114,34,39,37,3,6,-,bowled,Soumya Sarkar,,17,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
105,Mushfiqur Rahim,YS Chahal,Mahmudullah,1,0,1,115,33,38,37,3,1,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
106,Mahmudullah,YS Chahal,Mushfiqur Rahim,1,0,1,116,32,1,1,3,2,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
107,Mushfiqur Rahim,YS Chahal,Mahmudullah,4,0,4,120,28,42,38,3,3,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
108,Mushfiqur Rahim,YS Chahal,Mahmudullah,1,0,1,121,27,43,39,3,4,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
109,Mahmudullah,YS Chahal,Mushfiqur Rahim,2,0,2,123,25,3,2,3,5,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
110,Mahmudullah,YS Chahal,Mushfiqur Rahim,4,0,4,127,21,7,3,3,6,-,0,,,18,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
111,Mushfiqur Rahim,KK Ahmed,Mahmudullah,1,0,1,128,20,44,40,3,1,-,0,,,19,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
112,Mahmudullah,KK Ahmed,Mushfiqur Rahim,0,1,1,129,19,7,4,3,2,legbyes,0,,,19,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
113,Mushfiqur Rahim,KK Ahmed,Mahmudullah,4,0,4,133,15,48,41,3,3,-,0,,,19,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
114,Mushfiqur Rahim,KK Ahmed,Mahmudullah,4,0,4,137,11,52,42,3,4,-,0,,,19,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
