,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
52,DJ Mitchell,C Campher,GD Phillips,4,0,4,74,8,5,5,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
53,DJ Mitchell,C Campher,GD Phillips,1,0,1,75,9,6,6,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
54,DJ Mitchell,GH Dockrell,GD Phillips,0,1,1,76,9,7,1,legbyes,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
55,GD Phillips,GH Dockrell,DJ Mitchell,0,1,1,77,17,17,2,wides,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
56,GD Phillips,GH Dockrell,DJ Mitchell,2,0,2,79,19,18,3,-,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
57,GD Phillips,GH Dockrell,DJ Mitchell,1,0,1,80,20,19,4,-,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
58,DJ Mitchell,GH Dockrell,GD Phillips,1,0,1,81,10,8,5,-,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
59,GD Phillips,GH Dockrell,DJ Mitchell,1,0,1,82,21,20,6,-,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
60,DJ Mitchell,GH Dockrell,GD Phillips,1,0,1,83,11,9,7,-,10,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
61,DJ Mitchell,J Little,GD Phillips,0,0,0,83,11,10,1,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
62,DJ Mitchell,J Little,GD Phillips,1,0,1,84,12,11,2,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
63,GD Phillips,J Little,DJ Mitchell,0,0,0,84,21,21,3,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
64,GD Phillips,J Little,DJ Mitchell,1,0,1,85,22,22,4,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
65,DJ Mitchell,J Little,GD Phillips,1,0,1,86,13,12,5,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
66,GD Phillips,J Little,DJ Mitchell,1,0,1,87,23,23,6,-,11,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
67,GD Phillips,GJ Delany,DJ Mitchell,3,0,3,90,26,24,1,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
68,DJ Mitchell,GJ Delany,GD Phillips,1,0,1,91,14,13,2,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
69,GD Phillips,GJ Delany,DJ Mitchell,2,0,2,93,28,25,3,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
70,GD Phillips,GJ Delany,DJ Mitchell,1,0,1,94,29,26,4,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
71,DJ Mitchell,GJ Delany,GD Phillips,1,0,1,95,15,14,5,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
72,GD Phillips,GJ Delany,DJ Mitchell,1,0,1,96,30,27,6,-,12,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
73,GD Phillips,CA Young,DJ Mitchell,1,0,1,97,31,28,1,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
74,DJ Mitchell,CA Young,GD Phillips,4,0,4,101,19,15,2,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
75,DJ Mitchell,CA Young,GD Phillips,1,0,1,102,20,16,3,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
76,GD Phillips,CA Young,DJ Mitchell,1,0,1,103,32,29,4,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
77,DJ Mitchell,CA Young,GD Phillips,0,0,0,103,20,17,5,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
78,DJ Mitchell,CA Young,GD Phillips,2,0,2,105,22,18,6,-,13,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
79,GD Phillips,BJ McCarthy,DJ Mitchell,1,0,1,106,33,30,1,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
80,DJ Mitchell,BJ McCarthy,GD Phillips,1,0,1,107,23,19,2,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
81,GD Phillips,BJ McCarthy,DJ Mitchell,2,0,2,109,35,31,3,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
82,GD Phillips,BJ McCarthy,DJ Mitchell,1,0,1,110,36,32,4,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
83,DJ Mitchell,BJ McCarthy,GD Phillips,0,0,0,110,23,20,5,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
84,DJ Mitchell,BJ McCarthy,GD Phillips,0,1,1,111,23,21,6,wides,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
85,DJ Mitchell,BJ McCarthy,GD Phillips,1,0,1,112,24,22,7,-,14,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
86,DJ Mitchell,C Campher,GD Phillips,0,1,1,113,24,23,1,wides,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
87,DJ Mitchell,C Campher,GD Phillips,6,0,6,119,30,24,2,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
88,DJ Mitchell,C Campher,GD Phillips,4,0,4,123,34,25,3,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
89,DJ Mitchell,C Campher,GD Phillips,1,0,1,124,35,26,4,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
90,GD Phillips,C Campher,DJ Mitchell,1,0,1,125,37,33,5,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
91,DJ Mitchell,C Campher,GD Phillips,1,0,1,126,36,27,6,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
92,GD Phillips,C Campher,DJ Mitchell,6,0,6,132,43,34,7,-,15,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
93,DJ Mitchell,MR Adair,GD Phillips,1,0,1,133,37,28,1,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
94,GD Phillips,MR Adair,DJ Mitchell,1,0,1,134,44,35,2,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
95,DJ Mitchell,MR Adair,GD Phillips,4,0,4,138,41,29,3,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
96,DJ Mitchell,MR Adair,GD Phillips,1,0,1,139,42,30,4,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
97,GD Phillips,MR Adair,DJ Mitchell,1,0,1,140,45,36,5,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
98,DJ Mitchell,MR Adair,GD Phillips,1,0,1,141,43,31,6,-,16,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
99,DJ Mitchell,J Little,GD Phillips,4,0,4,145,47,32,1,-,17,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
100,DJ Mitchell,J Little,GD Phillips,1,0,1,146,48,33,2,-,17,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
101,GD Phillips,J Little,DJ Mitchell,1,0,1,147,46,37,3,-,17,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
102,DJ Mitchell,J Little,GD Phillips,0,0,0,147,48,34,4,-,17,caught and bowled,DJ Mitchell,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
103,GD Phillips,J Little,JDS Neesham,1,0,1,148,47,38,5,-,17,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
104,JDS Neesham,J Little,GD Phillips,2,0,2,150,2,1,6,-,17,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
105,GD Phillips,CA Young,JDS Neesham,2,0,2,152,49,39,1,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
106,GD Phillips,CA Young,JDS Neesham,2,0,2,154,51,40,2,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
107,GD Phillips,CA Young,JDS Neesham,0,0,0,154,51,41,3,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
108,GD Phillips,CA Young,JDS Neesham,2,0,2,156,53,42,4,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
109,GD Phillips,CA Young,JDS Neesham,1,0,1,157,54,43,5,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
110,JDS Neesham,CA Young,GD Phillips,6,0,6,163,8,2,6,-,18,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
111,GD Phillips,J Little,JDS Neesham,1,0,1,164,55,44,1,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
112,JDS Neesham,J Little,GD Phillips,4,0,4,168,12,3,2,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
113,JDS Neesham,J Little,GD Phillips,1,0,1,169,13,4,3,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
114,GD Phillips,J Little,JDS Neesham,1,0,1,170,56,45,4,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
115,JDS Neesham,J Little,GD Phillips,4,0,4,174,17,5,5,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
116,JDS Neesham,J Little,GD Phillips,6,0,6,180,23,6,6,-,19,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
