,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
70,MM Ali,JR Hazlewood,JM Bairstow,,0,0,0,77,80,1,4,3,2,-,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
71,MM Ali,JR Hazlewood,JM Bairstow,,1,0,1,78,79,2,5,3,3,-,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
72,JM Bairstow,JR Hazlewood,MM Ali,,0,1,1,79,78,46,39,3,4,legbyes,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
73,MM Ali,JR Hazlewood,JM Bairstow,,4,0,4,83,74,6,6,3,5,-,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
74,MM Ali,JR Hazlewood,JM Bairstow,,0,0,0,83,74,6,7,3,6,-,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
75,JM Bairstow,A Zampa,MM Ali,,0,0,0,83,74,46,40,3,1,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
76,JM Bairstow,A Zampa,MM Ali,,1,0,1,84,73,47,41,3,2,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
77,MM Ali,A Zampa,JM Bairstow,,1,0,1,85,72,7,8,3,3,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
78,JM Bairstow,A Zampa,MM Ali,,6,0,6,91,66,53,42,3,4,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
79,JM Bairstow,A Zampa,MM Ali,,1,0,1,92,65,54,43,3,5,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
80,MM Ali,A Zampa,JM Bairstow,,0,0,0,92,65,7,9,3,6,-,13,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
81,JM Bairstow,AC Agar,MM Ali,,1,0,1,93,64,55,44,3,1,-,14,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
82,MM Ali,AC Agar,JM Bairstow,,0,1,1,94,63,7,10,3,2,legbyes,14,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
83,JM Bairstow,AC Agar,MM Ali,,0,0,0,94,63,55,45,4,3,-,14,caught and bowled,JM Bairstow,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
84,MM Ali,AC Agar,JL Denly,,0,0,0,94,63,7,11,4,4,-,14,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
85,MM Ali,AC Agar,JL Denly,,0,0,0,94,63,7,12,4,5,-,14,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
86,MM Ali,AC Agar,JL Denly,,4,0,4,98,59,11,13,4,6,-,14,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
87,JL Denly,A Zampa,MM Ali,,0,0,0,98,59,0,1,4,1,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
88,JL Denly,A Zampa,MM Ali,,1,0,1,99,58,1,2,4,2,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
89,MM Ali,A Zampa,JL Denly,,6,0,6,105,52,17,14,4,3,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
90,MM Ali,A Zampa,JL Denly,,1,0,1,106,51,18,15,4,4,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
91,JL Denly,A Zampa,MM Ali,,0,0,0,106,51,1,3,4,5,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
92,JL Denly,A Zampa,MM Ali,,4,0,4,110,47,5,4,4,6,-,15,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
93,MM Ali,AC Agar,JL Denly,,1,0,1,111,46,19,16,4,1,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
94,JL Denly,AC Agar,MM Ali,,1,0,1,112,45,6,5,4,2,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
95,MM Ali,AC Agar,JL Denly,,1,0,1,113,44,20,17,4,3,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
96,JL Denly,AC Agar,MM Ali,,0,0,0,113,44,6,6,4,4,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
97,JL Denly,AC Agar,MM Ali,,1,0,1,114,43,7,7,4,5,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
98,MM Ali,AC Agar,JL Denly,,2,0,2,116,41,22,18,4,6,-,16,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
99,JL Denly,MA Starc,MM Ali,,1,0,1,117,40,8,8,4,1,-,17,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
100,MM Ali,MA Starc,JL Denly,,0,0,0,117,40,22,19,4,2,-,17,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
101,MM Ali,MA Starc,JL Denly,,1,0,1,118,39,23,20,4,3,-,17,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
102,JL Denly,MA Starc,MM Ali,,1,0,1,119,38,9,9,4,4,-,17,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
103,MM Ali,MA Starc,JL Denly,,0,0,0,119,38,23,21,5,5,-,17,caught,MM Ali,SPD Smith,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
104,JL Denly,MA Starc,CJ Jordan,,1,0,1,120,37,10,10,5,6,-,17,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
105,JL Denly,KW Richardson,CJ Jordan,,2,0,2,122,35,12,11,5,1,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
106,JL Denly,KW Richardson,CJ Jordan,,4,0,4,126,31,16,12,5,2,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
107,JL Denly,KW Richardson,CJ Jordan,,4,0,4,130,27,20,13,5,3,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
108,JL Denly,KW Richardson,CJ Jordan,,4,0,4,134,23,24,14,5,4,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
109,JL Denly,KW Richardson,CJ Jordan,,1,0,1,135,22,25,15,5,5,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
110,CJ Jordan,KW Richardson,JL Denly,,1,0,1,136,21,1,1,5,6,-,18,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
111,CJ Jordan,MA Starc,JL Denly,,0,0,0,136,21,1,2,5,1,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
112,CJ Jordan,MA Starc,JL Denly,,1,0,1,137,20,2,3,5,2,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
113,JL Denly,MA Starc,CJ Jordan,,1,0,1,138,19,26,16,5,3,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
114,CJ Jordan,MA Starc,JL Denly,,1,0,1,139,18,3,4,5,4,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
115,JL Denly,MA Starc,CJ Jordan,,1,0,1,140,17,27,17,5,5,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
116,CJ Jordan,MA Starc,JL Denly,,1,0,1,141,16,4,5,5,6,-,19,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
117,CJ Jordan,KW Richardson,JL Denly,,0,0,0,141,16,4,6,6,1,-,20,caught,CJ Jordan,SPD Smith,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
118,JL Denly,KW Richardson,TK Curran,,1,0,1,142,15,28,18,6,2,-,20,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
119,TK Curran,KW Richardson,JL Denly,,1,0,1,143,14,1,1,6,3,-,20,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
120,JL Denly,KW Richardson,TK Curran,,1,0,1,144,13,29,19,6,4,-,20,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
121,TK Curran,KW Richardson,JL Denly,,0,0,0,144,13,1,2,6,5,-,20,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
122,TK Curran,KW Richardson,JL Denly,,1,0,1,145,12,2,3,6,6,-,20,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
