,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
48,C Munro,YS Chahal,KS Williamson,0,0,0,63,,22,22,1,-,6.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
49,KS Williamson,S Dube,C Munro,1,0,1,64,,7,7,1,-,1.0,8,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
50,C Munro,S Dube,KS Williamson,0,0,0,64,,22,23,1,-,2.0,8,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
51,C Munro,S Dube,KS Williamson,4,0,4,68,,26,24,1,-,3.0,8,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
52,C Munro,S Dube,KS Williamson,0,0,0,68,,26,25,2,-,4.0,8,caught,C Munro,V Kohli,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
53,C de Grandhomme,S Dube,KS Williamson,0,0,0,68,,0,1,2,-,5.0,8,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Medium
54,C de Grandhomme,S Dube,KS Williamson,1,0,1,69,,1,2,2,-,6.0,8,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Medium
55,C de Grandhomme,JJ Bumrah,KS Williamson,1,0,1,70,,2,3,2,-,1.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
56,KS Williamson,JJ Bumrah,C de Grandhomme,0,0,0,70,,7,8,2,-,2.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
57,KS Williamson,JJ Bumrah,C de Grandhomme,0,0,0,70,,7,9,2,-,3.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
58,KS Williamson,JJ Bumrah,C de Grandhomme,1,0,1,71,,8,10,2,-,4.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
59,C de Grandhomme,JJ Bumrah,KS Williamson,1,0,1,72,,3,4,2,-,5.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
60,KS Williamson,JJ Bumrah,C de Grandhomme,1,0,1,73,,9,11,2,-,6.0,9,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
61,KS Williamson,RA Jadeja,C de Grandhomme,1,0,1,74,,10,12,2,-,1.0,10,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
62,C de Grandhomme,RA Jadeja,KS Williamson,0,0,0,74,,3,5,3,-,2.0,10,caught and bowled,C de Grandhomme,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
63,LRPL Taylor,RA Jadeja,KS Williamson,0,0,0,74,,0,1,3,-,3.0,10,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
64,LRPL Taylor,RA Jadeja,KS Williamson,0,0,0,74,,0,2,3,-,4.0,10,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
65,LRPL Taylor,RA Jadeja,KS Williamson,1,0,1,75,,1,3,3,-,5.0,10,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
66,KS Williamson,RA Jadeja,LRPL Taylor,1,0,1,76,,11,13,3,-,6.0,10,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Left arm Orthodox
67,KS Williamson,Mohammed Shami,LRPL Taylor,0,0,0,76,,11,14,3,-,1.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
68,KS Williamson,Mohammed Shami,LRPL Taylor,0,0,0,76,,11,15,3,-,2.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
69,KS Williamson,Mohammed Shami,LRPL Taylor,0,0,0,76,,11,16,3,-,3.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
70,KS Williamson,Mohammed Shami,LRPL Taylor,1,0,1,77,,12,17,3,-,4.0,11,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Right hand Bat,Right arm Fast
