,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
19,WA Young,Shakib Al Hasan,R Ravindra,4,0,4,21,4,6,2,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
20,WA Young,Shakib Al Hasan,R Ravindra,0,0,0,21,4,7,3,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
21,WA Young,Shakib Al Hasan,R Ravindra,0,0,0,21,4,8,4,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
22,WA Young,Shakib Al Hasan,R Ravindra,4,0,4,25,8,9,5,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
23,WA Young,Shakib Al Hasan,R Ravindra,0,0,0,25,8,10,6,4,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
24,R Ravindra,Mahedi Hasan,WA Young,3,0,3,28,5,5,1,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
25,WA Young,Mahedi Hasan,R Ravindra,2,0,2,30,10,11,2,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
26,WA Young,Mahedi Hasan,R Ravindra,1,0,1,31,11,12,3,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
27,R Ravindra,Mahedi Hasan,WA Young,4,0,4,35,9,6,4,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
28,R Ravindra,Mahedi Hasan,WA Young,0,0,0,35,9,7,5,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
29,R Ravindra,Mahedi Hasan,WA Young,0,0,0,35,9,8,6,5,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
30,WA Young,Nasum Ahmed,R Ravindra,1,0,1,36,12,13,1,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
31,R Ravindra,Nasum Ahmed,WA Young,1,0,1,37,10,9,2,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
32,WA Young,Nasum Ahmed,R Ravindra,0,0,0,37,12,14,3,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
33,WA Young,Nasum Ahmed,R Ravindra,1,0,1,38,13,15,4,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
34,R Ravindra,Nasum Ahmed,WA Young,1,0,1,39,11,10,5,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
35,WA Young,Nasum Ahmed,R Ravindra,1,0,1,40,14,16,6,6,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
36,WA Young,Mohammad Saifuddin,R Ravindra,2,0,2,42,16,17,1,7,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
37,WA Young,Mohammad Saifuddin,R Ravindra,0,0,0,42,16,18,2,7,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
38,WA Young,Mohammad Saifuddin,R Ravindra,4,0,4,46,20,19,3,7,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
39,WA Young,Mohammad Saifuddin,R Ravindra,0,0,0,46,20,20,4,7,lbw,WA Young,,"{'by': 'New Zealand', 'umpire': 'Masudur Rahman', 'batter': 'WA Young', 'decision': 'struck down'}",-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
40,C de Grandhomme,Mohammad Saifuddin,R Ravindra,0,0,0,46,0,1,5,7,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
41,C de Grandhomme,Mohammad Saifuddin,R Ravindra,0,0,0,46,0,2,6,7,lbw,C de Grandhomme,,"{'by': 'New Zealand', 'umpire': 'Masudur Rahman', 'batter': 'C de Grandhomme', 'decision': 'struck down', 'umpires_call': True}",-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
42,R Ravindra,Mahmudullah,TWM Latham,1,0,1,47,12,11,1,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
43,TWM Latham,Mahmudullah,R Ravindra,0,0,0,47,0,1,2,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
44,TWM Latham,Mahmudullah,R Ravindra,0,0,0,47,0,2,3,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
45,TWM Latham,Mahmudullah,R Ravindra,1,0,1,48,1,3,4,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
46,R Ravindra,Mahmudullah,TWM Latham,0,0,0,48,12,12,5,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
47,R Ravindra,Mahmudullah,TWM Latham,1,0,1,49,13,13,6,8,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
48,R Ravindra,Mahedi Hasan,TWM Latham,0,0,0,49,13,14,1,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
49,R Ravindra,Mahedi Hasan,TWM Latham,0,0,0,49,13,15,2,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
50,R Ravindra,Mahedi Hasan,TWM Latham,0,0,0,49,13,16,3,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
51,R Ravindra,Mahedi Hasan,TWM Latham,2,0,2,51,15,17,4,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
52,R Ravindra,Mahedi Hasan,TWM Latham,1,0,1,52,16,18,5,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
53,TWM Latham,Mahedi Hasan,R Ravindra,1,0,1,53,2,4,6,9,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
54,TWM Latham,Mahmudullah,R Ravindra,1,0,1,54,3,5,1,10,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
55,R Ravindra,Mahmudullah,TWM Latham,4,0,4,58,20,19,2,10,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
56,R Ravindra,Mahmudullah,TWM Latham,0,0,0,58,20,20,3,10,bowled,R Ravindra,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
57,HM Nicholls,Mahmudullah,TWM Latham,0,0,0,58,0,1,4,10,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
58,HM Nicholls,Mahmudullah,TWM Latham,1,0,1,59,1,2,5,10,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
59,TWM Latham,Mahmudullah,HM Nicholls,1,0,1,60,4,6,6,10,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
60,TWM Latham,Mahedi Hasan,HM Nicholls,1,0,1,61,5,7,1,11,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
61,HM Nicholls,Mahedi Hasan,TWM Latham,0,0,0,61,1,3,2,11,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
62,HM Nicholls,Mahedi Hasan,TWM Latham,1,0,1,62,2,4,3,11,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
63,TWM Latham,Mahedi Hasan,HM Nicholls,0,0,0,62,5,8,4,11,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
64,TWM Latham,Mahedi Hasan,HM Nicholls,0,0,0,62,5,9,5,11,caught and bowled,TWM Latham,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
65,TA Blundell,Mahedi Hasan,HM Nicholls,0,0,0,62,0,1,6,11,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
66,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,63,3,5,1,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
67,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,64,1,2,2,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
68,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,65,4,6,3,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
69,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,66,2,3,4,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
70,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,67,5,7,5,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
71,TA Blundell,Shakib Al Hasan,HM Nicholls,0,0,0,67,2,4,6,12,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
72,HM Nicholls,Mohammad Saifuddin,TA Blundell,1,0,1,68,6,8,1,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
73,TA Blundell,Mohammad Saifuddin,HM Nicholls,0,0,0,68,2,5,2,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
74,TA Blundell,Mohammad Saifuddin,HM Nicholls,2,0,2,70,4,6,3,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
75,TA Blundell,Mohammad Saifuddin,HM Nicholls,1,0,1,71,5,7,4,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
76,HM Nicholls,Mohammad Saifuddin,TA Blundell,1,0,1,72,7,9,5,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
77,TA Blundell,Mohammad Saifuddin,HM Nicholls,1,0,1,73,6,8,6,13,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
78,TA Blundell,Shakib Al Hasan,HM Nicholls,0,0,0,73,6,9,1,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
79,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,74,7,10,2,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
80,HM Nicholls,Shakib Al Hasan,TA Blundell,0,0,0,74,7,10,3,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
81,HM Nicholls,Shakib Al Hasan,TA Blundell,2,0,2,76,9,11,4,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
82,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,77,10,12,5,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
83,TA Blundell,Shakib Al Hasan,HM Nicholls,0,0,0,77,7,11,6,14,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
84,HM Nicholls,Mustafizur Rahman,TA Blundell,1,0,1,78,11,13,1,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
85,TA Blundell,Mustafizur Rahman,HM Nicholls,0,0,0,78,7,12,2,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
86,TA Blundell,Mustafizur Rahman,HM Nicholls,0,0,0,78,7,13,3,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
87,TA Blundell,Mustafizur Rahman,HM Nicholls,1,0,1,79,8,14,4,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
88,HM Nicholls,Mustafizur Rahman,TA Blundell,0,1,1,80,11,14,5,15,0,,,,wides,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
89,HM Nicholls,Mustafizur Rahman,TA Blundell,1,0,1,81,12,15,6,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
90,TA Blundell,Mustafizur Rahman,HM Nicholls,1,0,1,82,9,15,7,15,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
91,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,83,10,16,1,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
92,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,84,13,16,2,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
93,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,85,11,17,3,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
94,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,86,14,17,4,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
95,TA Blundell,Shakib Al Hasan,HM Nicholls,1,0,1,87,12,18,5,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
96,HM Nicholls,Shakib Al Hasan,TA Blundell,1,0,1,88,15,18,6,16,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
97,HM Nicholls,Mohammad Saifuddin,TA Blundell,0,0,0,88,15,19,1,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
98,HM Nicholls,Mohammad Saifuddin,TA Blundell,2,0,2,90,17,20,2,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
99,HM Nicholls,Mohammad Saifuddin,TA Blundell,0,0,0,90,17,21,3,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
100,HM Nicholls,Mohammad Saifuddin,TA Blundell,1,0,1,91,18,22,4,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
101,TA Blundell,Mohammad Saifuddin,HM Nicholls,0,0,0,91,12,19,5,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
102,TA Blundell,Mohammad Saifuddin,HM Nicholls,4,0,4,95,16,20,6,17,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
103,HM Nicholls,Mustafizur Rahman,TA Blundell,1,0,1,96,19,23,1,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
104,TA Blundell,Mustafizur Rahman,HM Nicholls,1,0,1,97,17,21,2,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
105,HM Nicholls,Mustafizur Rahman,TA Blundell,4,0,4,101,23,24,3,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
106,HM Nicholls,Mustafizur Rahman,TA Blundell,2,0,2,103,25,25,4,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
107,HM Nicholls,Mustafizur Rahman,TA Blundell,4,0,4,107,29,26,5,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
108,HM Nicholls,Mustafizur Rahman,TA Blundell,1,0,1,108,30,27,6,18,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
109,HM Nicholls,Mohammad Saifuddin,TA Blundell,1,0,1,109,31,28,1,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
110,TA Blundell,Mohammad Saifuddin,HM Nicholls,0,0,0,109,17,22,2,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
111,TA Blundell,Mohammad Saifuddin,HM Nicholls,4,0,4,113,21,23,3,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
112,TA Blundell,Mohammad Saifuddin,HM Nicholls,0,1,1,114,21,24,4,19,0,,,,wides,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
113,TA Blundell,Mohammad Saifuddin,HM Nicholls,2,0,2,116,23,25,5,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
114,TA Blundell,Mohammad Saifuddin,HM Nicholls,0,0,0,116,23,26,6,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
115,TA Blundell,Mohammad Saifuddin,HM Nicholls,1,0,1,117,24,27,7,19,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
116,TA Blundell,Mustafizur Rahman,HM Nicholls,4,0,4,121,28,28,1,20,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
117,TA Blundell,Mustafizur Rahman,HM Nicholls,1,0,1,122,29,29,2,20,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
118,HM Nicholls,Mustafizur Rahman,TA Blundell,4,0,4,126,35,29,3,20,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
119,HM Nicholls,Mustafizur Rahman,TA Blundell,1,0,1,127,36,30,4,20,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
120,TA Blundell,Mustafizur Rahman,HM Nicholls,0,0,0,127,29,30,5,20,0,,,"{'by': 'New Zealand', 'umpire': 'Sharfuddoula', 'batter': 'TA Blundell', 'decision': 'upheld'}",-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
121,TA Blundell,Mustafizur Rahman,HM Nicholls,1,0,1,128,30,31,6,20,0,,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021-09-05,New Zealand,Bangladesh
