,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
12,DJ Malan,Mohammad Nawaz,PD Salt,1,0,1,14,10,6,1,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
13,PD Salt,Mohammad Nawaz,DJ Malan,1,0,1,15,3,5,2,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
14,DJ Malan,Mohammad Nawaz,PD Salt,0,0,0,15,10,7,3,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
15,DJ Malan,Mohammad Nawaz,PD Salt,0,0,0,15,10,8,4,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
16,DJ Malan,Mohammad Nawaz,PD Salt,4,0,4,19,14,9,5,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
17,DJ Malan,Mohammad Nawaz,PD Salt,0,0,0,19,14,10,6,0,,,3,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
18,PD Salt,Haris Rauf,DJ Malan,0,0,0,19,3,6,1,caught,PD Salt,Khushdil Shah,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
19,BM Duckett,Haris Rauf,DJ Malan,4,0,4,23,4,1,2,0,,,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
20,BM Duckett,Haris Rauf,DJ Malan,0,0,0,23,4,2,3,0,,,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
21,BM Duckett,Haris Rauf,DJ Malan,0,0,0,23,4,3,4,0,,,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
22,BM Duckett,Haris Rauf,DJ Malan,4,0,4,27,8,4,5,0,,,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
23,BM Duckett,Haris Rauf,DJ Malan,2,0,2,29,10,5,6,0,,,4,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
24,DJ Malan,Mohammad Wasim,BM Duckett,0,0,0,29,14,11,1,0,,,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
25,DJ Malan,Mohammad Wasim,BM Duckett,0,0,0,29,14,12,2,0,,,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
26,DJ Malan,Mohammad Wasim,BM Duckett,0,0,0,29,14,13,3,0,,,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
27,DJ Malan,Mohammad Wasim,BM Duckett,0,0,0,29,14,14,4,0,,,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
28,DJ Malan,Mohammad Wasim,BM Duckett,1,0,1,30,15,15,5,0,,,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
29,BM Duckett,Mohammad Wasim,DJ Malan,0,1,1,31,10,6,6,0,,,5,{'wides': 1},wides,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
30,BM Duckett,Mohammad Wasim,DJ Malan,0,0,0,31,10,7,7,caught,BM Duckett,Shan Masood,5,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
31,DJ Malan,Haris Rauf,HC Brook,0,0,0,31,15,16,1,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
32,DJ Malan,Haris Rauf,HC Brook,0,0,0,31,15,17,2,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
33,DJ Malan,Haris Rauf,HC Brook,2,0,2,33,17,18,3,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
34,DJ Malan,Haris Rauf,HC Brook,0,0,0,33,17,19,4,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
35,DJ Malan,Haris Rauf,HC Brook,4,0,4,37,21,20,5,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
36,DJ Malan,Haris Rauf,HC Brook,0,1,1,38,21,21,6,0,,,6,{'wides': 1},wides,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
37,DJ Malan,Haris Rauf,HC Brook,4,0,4,42,25,22,7,0,,,6,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
38,HC Brook,Shadab Khan,DJ Malan,1,0,1,43,1,1,1,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
39,DJ Malan,Shadab Khan,HC Brook,0,0,0,43,25,23,2,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
40,DJ Malan,Shadab Khan,HC Brook,1,0,1,44,26,24,3,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
41,HC Brook,Shadab Khan,DJ Malan,0,0,0,44,1,2,4,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
42,HC Brook,Shadab Khan,DJ Malan,0,0,0,44,1,3,5,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
43,HC Brook,Shadab Khan,DJ Malan,1,0,1,45,2,4,6,0,,,7,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
44,HC Brook,Iftikhar Ahmed,DJ Malan,1,0,1,46,3,5,1,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
45,DJ Malan,Iftikhar Ahmed,HC Brook,0,0,0,46,26,25,2,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
46,DJ Malan,Iftikhar Ahmed,HC Brook,0,0,0,46,26,26,3,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
47,DJ Malan,Iftikhar Ahmed,HC Brook,0,0,0,46,26,27,4,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
48,DJ Malan,Iftikhar Ahmed,HC Brook,1,0,1,47,27,28,5,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
49,HC Brook,Iftikhar Ahmed,DJ Malan,0,0,0,47,3,6,6,0,,,8,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
50,DJ Malan,Shadab Khan,HC Brook,4,0,4,51,31,29,1,0,,,9,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
51,DJ Malan,Shadab Khan,HC Brook,1,0,1,52,32,30,2,0,,,9,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
52,HC Brook,Shadab Khan,DJ Malan,0,0,0,52,3,7,3,0,,,9,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
53,HC Brook,Shadab Khan,DJ Malan,1,0,1,53,4,8,4,0,,,9,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
54,DJ Malan,Shadab Khan,HC Brook,1,0,1,54,33,31,5,0,,,9,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
55,HC Brook,Shadab Khan,DJ Malan,0,0,0,54,4,9,6,lbw,HC Brook,,9,,-,"{'by': 'Pakistan', 'umpire': 'Aleem Dar', 'batter': 'HC Brook', 'decision': 'upheld'}",field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
56,DJ Malan,Iftikhar Ahmed,MM Ali,1,0,1,55,34,32,1,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
57,MM Ali,Iftikhar Ahmed,DJ Malan,0,0,0,55,0,1,2,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
58,MM Ali,Iftikhar Ahmed,DJ Malan,1,0,1,56,1,2,3,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
59,DJ Malan,Iftikhar Ahmed,MM Ali,1,0,1,57,35,33,4,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
60,MM Ali,Iftikhar Ahmed,DJ Malan,1,0,1,58,2,3,5,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
61,DJ Malan,Iftikhar Ahmed,MM Ali,0,0,0,58,35,34,6,0,,,10,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
62,MM Ali,Shadab Khan,DJ Malan,0,0,0,58,2,4,1,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
63,MM Ali,Shadab Khan,DJ Malan,0,0,0,58,2,5,2,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
64,MM Ali,Shadab Khan,DJ Malan,1,0,1,59,3,6,3,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
65,DJ Malan,Shadab Khan,MM Ali,1,0,1,60,36,35,4,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
66,MM Ali,Shadab Khan,DJ Malan,0,0,0,60,3,7,5,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
67,MM Ali,Shadab Khan,DJ Malan,1,0,1,61,4,8,6,0,,,11,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
68,MM Ali,Iftikhar Ahmed,DJ Malan,0,0,0,61,4,9,1,0,,,12,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
69,MM Ali,Iftikhar Ahmed,DJ Malan,1,0,1,62,5,10,2,0,,,12,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
70,DJ Malan,Iftikhar Ahmed,MM Ali,0,0,0,62,36,36,3,lbw,DJ Malan,,12,,-,"{'by': 'England', 'umpire': 'Ahsan Raza', 'batter': 'DJ Malan', 'decision': 'struck down', 'umpires_call': True}",field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
71,SM Curran,Iftikhar Ahmed,MM Ali,1,0,1,63,1,1,4,0,,,12,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
72,MM Ali,Iftikhar Ahmed,SM Curran,1,0,1,64,6,11,5,0,,,12,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
73,SM Curran,Iftikhar Ahmed,MM Ali,1,0,1,65,2,2,6,0,,,12,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
74,SM Curran,Shadab Khan,MM Ali,0,0,0,65,2,3,1,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
75,SM Curran,Shadab Khan,MM Ali,5,0,5,70,7,4,2,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
76,MM Ali,Shadab Khan,SM Curran,1,0,1,71,7,12,3,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
77,SM Curran,Shadab Khan,MM Ali,1,0,1,72,8,5,4,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
78,MM Ali,Shadab Khan,SM Curran,1,0,1,73,8,13,5,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
79,SM Curran,Shadab Khan,MM Ali,4,0,4,77,12,6,6,0,,,13,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
80,MM Ali,Iftikhar Ahmed,SM Curran,1,0,1,78,9,14,1,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
81,SM Curran,Iftikhar Ahmed,MM Ali,1,0,1,79,13,7,2,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
82,MM Ali,Iftikhar Ahmed,SM Curran,1,0,1,80,10,15,3,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
83,SM Curran,Iftikhar Ahmed,MM Ali,1,0,1,81,14,8,4,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
84,MM Ali,Iftikhar Ahmed,SM Curran,1,0,1,82,11,16,5,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
85,SM Curran,Iftikhar Ahmed,MM Ali,1,0,1,83,15,9,6,0,,,14,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
86,SM Curran,Aamer Jamal,MM Ali,2,0,2,85,17,10,1,0,,,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
87,SM Curran,Aamer Jamal,MM Ali,0,0,0,85,17,11,2,caught,SM Curran,Mohammad Wasim,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
88,MM Ali,Aamer Jamal,CR Woakes,1,0,1,86,12,17,3,0,,,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
89,CR Woakes,Aamer Jamal,MM Ali,1,0,1,87,1,1,4,0,,,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
90,MM Ali,Aamer Jamal,CR Woakes,1,0,1,88,13,18,5,0,,,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
91,CR Woakes,Aamer Jamal,MM Ali,0,0,0,88,1,2,6,0,,,15,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
92,MM Ali,Mohammad Wasim,CR Woakes,1,0,1,89,14,19,1,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
93,CR Woakes,Mohammad Wasim,MM Ali,1,0,1,90,2,3,2,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
94,MM Ali,Mohammad Wasim,CR Woakes,4,0,4,94,18,20,3,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
95,MM Ali,Mohammad Wasim,CR Woakes,1,0,1,95,19,21,4,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
96,CR Woakes,Mohammad Wasim,MM Ali,0,1,1,96,2,4,5,0,,,16,{'wides': 1},wides,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
97,CR Woakes,Mohammad Wasim,MM Ali,1,0,1,97,3,5,6,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
98,MM Ali,Mohammad Wasim,CR Woakes,0,0,0,97,19,22,7,0,,,16,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
99,CR Woakes,Haris Rauf,MM Ali,0,0,0,97,3,6,1,0,,,17,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
100,CR Woakes,Haris Rauf,MM Ali,1,0,1,98,4,7,2,0,,,17,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
101,MM Ali,Haris Rauf,CR Woakes,6,0,6,104,25,23,3,0,,,17,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
102,MM Ali,Haris Rauf,CR Woakes,0,1,1,105,25,24,4,0,,,17,{'legbyes': 1},legbyes,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
103,CR Woakes,Haris Rauf,MM Ali,1,0,1,106,5,8,5,0,,,17,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
104,MM Ali,Haris Rauf,CR Woakes,0,0,0,106,25,25,6,0,,,17,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
105,CR Woakes,Mohammad Wasim,MM Ali,1,0,1,107,6,9,1,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
106,MM Ali,Mohammad Wasim,CR Woakes,6,0,6,113,31,26,2,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
107,MM Ali,Mohammad Wasim,CR Woakes,4,0,4,117,35,27,3,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
108,MM Ali,Mohammad Wasim,CR Woakes,1,0,1,118,36,28,4,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
109,CR Woakes,Mohammad Wasim,MM Ali,0,0,0,118,6,10,5,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
110,CR Woakes,Mohammad Wasim,MM Ali,0,0,0,118,6,11,6,0,,,18,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
111,MM Ali,Haris Rauf,CR Woakes,0,0,0,118,36,29,1,0,,,19,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
112,MM Ali,Haris Rauf,CR Woakes,6,0,6,124,42,30,2,0,,,19,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
113,MM Ali,Haris Rauf,CR Woakes,2,0,2,126,44,31,3,0,,,19,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
114,MM Ali,Haris Rauf,CR Woakes,0,1,1,127,44,32,4,0,,,19,{'legbyes': 1},legbyes,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
115,CR Woakes,Haris Rauf,MM Ali,4,0,4,131,10,12,5,0,,,19,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
116,CR Woakes,Haris Rauf,MM Ali,0,0,0,131,10,13,6,caught,CR Woakes,Iftikhar Ahmed,19,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
117,MM Ali,Aamer Jamal,DJ Willey,0,0,0,131,44,33,1,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
118,MM Ali,Aamer Jamal,DJ Willey,0,0,0,131,44,34,2,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
119,MM Ali,Aamer Jamal,DJ Willey,0,1,1,132,44,35,3,0,,,20,{'wides': 1},wides,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
120,MM Ali,Aamer Jamal,DJ Willey,6,0,6,138,50,36,4,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
121,MM Ali,Aamer Jamal,DJ Willey,0,0,0,138,50,37,5,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
122,MM Ali,Aamer Jamal,DJ Willey,1,0,1,139,51,38,6,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
123,DJ Willey,Aamer Jamal,MM Ali,0,0,0,139,0,1,7,0,,,20,,-,,field,England,2,"Gaddafi Stadium, Lahore",2022-09-28,England,Pakistan
