,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
36,S Dhawan,CJ Dala,V Kohli,6,0,6,73,,26,13,2,5,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
37,S Dhawan,CJ Dala,V Kohli,0,1,1,74,,26,14,2,6,5,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
38,S Dhawan,CJ Dala,V Kohli,4,0,4,78,,30,15,2,7,5,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
39,V Kohli,CH Morris,S Dhawan,0,0,0,78,,9,8,2,1,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
40,V Kohli,CH Morris,S Dhawan,0,1,1,79,,9,9,2,2,6,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
41,V Kohli,CH Morris,S Dhawan,0,0,0,79,,9,10,2,3,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
42,V Kohli,CH Morris,S Dhawan,0,0,0,79,,9,11,2,4,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
43,V Kohli,CH Morris,S Dhawan,1,0,1,80,,10,12,2,5,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
44,S Dhawan,CH Morris,V Kohli,0,0,0,80,,30,16,2,6,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
45,S Dhawan,CH Morris,V Kohli,4,0,4,84,,34,17,2,7,6,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
46,V Kohli,T Shamsi,S Dhawan,0,0,0,84,,10,13,2,1,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
47,V Kohli,T Shamsi,S Dhawan,4,0,4,88,,14,14,2,2,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
48,V Kohli,T Shamsi,S Dhawan,2,0,2,90,,16,15,2,3,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
49,V Kohli,T Shamsi,S Dhawan,6,0,6,96,,22,16,2,4,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
50,V Kohli,T Shamsi,S Dhawan,1,0,1,97,,23,17,2,5,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
51,S Dhawan,T Shamsi,V Kohli,1,0,1,98,,35,18,2,6,7,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
52,S Dhawan,JT Smuts,V Kohli,1,0,1,99,,36,19,2,1,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
53,V Kohli,JT Smuts,S Dhawan,1,0,1,100,,24,18,2,2,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
54,S Dhawan,JT Smuts,V Kohli,0,0,0,100,,36,20,2,3,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
55,S Dhawan,JT Smuts,V Kohli,4,0,4,104,,40,21,2,4,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
56,S Dhawan,JT Smuts,V Kohli,1,0,1,105,,41,22,2,5,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
57,V Kohli,JT Smuts,S Dhawan,1,0,1,106,,25,19,2,6,8,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
58,V Kohli,T Shamsi,S Dhawan,1,0,1,107,,26,20,2,1,9,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
59,S Dhawan,T Shamsi,V Kohli,1,0,1,108,,42,23,2,2,9,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
60,V Kohli,T Shamsi,S Dhawan,0,0,0,108,,26,21,3,3,9,"{'by': 'India', 'batter': 'V Kohli', 'decision': 'struck down'}",-,lbw,V Kohli,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
61,MK Pandey,T Shamsi,S Dhawan,1,0,1,109,,1,1,3,4,9,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
62,S Dhawan,T Shamsi,MK Pandey,0,0,0,109,,42,24,3,5,9,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
63,S Dhawan,T Shamsi,MK Pandey,1,0,1,110,,43,25,3,6,9,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
64,S Dhawan,JT Smuts,MK Pandey,1,0,1,111,,44,26,3,1,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
65,MK Pandey,JT Smuts,S Dhawan,0,0,0,111,,1,2,3,2,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
66,MK Pandey,JT Smuts,S Dhawan,1,0,1,112,,2,3,3,3,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
67,S Dhawan,JT Smuts,MK Pandey,2,0,2,114,,46,27,3,4,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
68,S Dhawan,JT Smuts,MK Pandey,1,0,1,115,,47,28,3,5,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
69,MK Pandey,JT Smuts,S Dhawan,1,0,1,116,,3,4,3,6,10,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
70,MK Pandey,T Shamsi,S Dhawan,6,0,6,122,,9,5,3,1,11,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
71,MK Pandey,T Shamsi,S Dhawan,1,0,1,123,,10,6,3,2,11,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
72,S Dhawan,T Shamsi,MK Pandey,4,0,4,127,,51,29,3,3,11,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
73,S Dhawan,T Shamsi,MK Pandey,1,0,1,128,,52,30,3,4,11,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
74,MK Pandey,T Shamsi,S Dhawan,0,0,0,128,,10,7,3,5,11,"{'by': 'South Africa', 'batter': 'MK Pandey', 'decision': 'struck down', 'umpires_call': True}",-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
75,MK Pandey,T Shamsi,S Dhawan,0,0,0,128,,10,8,3,6,11,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
76,S Dhawan,AL Phehlukwayo,MK Pandey,0,0,0,128,,52,31,3,1,12,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
77,S Dhawan,AL Phehlukwayo,MK Pandey,4,0,4,132,,56,32,3,2,12,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
78,S Dhawan,AL Phehlukwayo,MK Pandey,0,2,2,134,,56,33,3,3,12,,legbyes,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
79,S Dhawan,AL Phehlukwayo,MK Pandey,2,0,2,136,,58,34,3,4,12,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
80,S Dhawan,AL Phehlukwayo,MK Pandey,1,0,1,137,,59,35,3,5,12,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
81,MK Pandey,AL Phehlukwayo,S Dhawan,1,0,1,138,,11,9,3,6,12,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
82,MK Pandey,CJ Dala,S Dhawan,0,0,0,138,,11,10,3,1,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
83,MK Pandey,CJ Dala,S Dhawan,1,0,1,139,,12,11,3,2,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
84,S Dhawan,CJ Dala,MK Pandey,4,0,4,143,,63,36,3,3,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
85,S Dhawan,CJ Dala,MK Pandey,1,0,1,144,,64,37,3,4,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
86,MK Pandey,CJ Dala,S Dhawan,1,0,1,145,,13,12,3,5,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
87,S Dhawan,CJ Dala,MK Pandey,4,0,4,149,,68,38,3,6,13,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
88,MK Pandey,AL Phehlukwayo,S Dhawan,1,0,1,150,,14,13,3,1,14,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
89,S Dhawan,AL Phehlukwayo,MK Pandey,0,0,0,150,,68,39,3,2,14,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
90,S Dhawan,AL Phehlukwayo,MK Pandey,0,1,1,151,,68,40,3,3,14,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
91,S Dhawan,AL Phehlukwayo,MK Pandey,4,0,4,155,,72,41,3,4,14,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
92,S Dhawan,AL Phehlukwayo,MK Pandey,0,0,0,155,,72,42,4,5,14,,-,caught,S Dhawan,H Klaasen,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
93,MS Dhoni,AL Phehlukwayo,MK Pandey,1,0,1,156,,1,1,4,6,14,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
94,MK Pandey,AL Phehlukwayo,MS Dhoni,1,0,1,157,,15,14,4,7,14,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
95,MK Pandey,T Shamsi,MS Dhoni,3,0,3,160,,18,15,4,1,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
96,MS Dhoni,T Shamsi,MK Pandey,0,0,0,160,,1,2,4,2,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
97,MS Dhoni,T Shamsi,MK Pandey,1,0,1,161,,2,3,4,3,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
98,MK Pandey,T Shamsi,MS Dhoni,2,0,2,163,,20,16,4,4,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
99,MK Pandey,T Shamsi,MS Dhoni,0,1,1,164,,20,17,4,5,15,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
100,MK Pandey,T Shamsi,MS Dhoni,0,0,0,164,,20,18,4,6,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
101,MK Pandey,T Shamsi,MS Dhoni,0,0,0,164,,20,19,4,7,15,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
102,MS Dhoni,CH Morris,MK Pandey,2,0,2,166,,4,4,4,1,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
103,MS Dhoni,CH Morris,MK Pandey,1,0,1,167,,5,5,4,2,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
104,MK Pandey,CH Morris,MS Dhoni,1,0,1,168,,21,20,4,3,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
105,MS Dhoni,CH Morris,MK Pandey,1,0,1,169,,6,6,4,4,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
106,MK Pandey,CH Morris,MS Dhoni,0,1,1,170,,21,21,4,5,16,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
107,MK Pandey,CH Morris,MS Dhoni,1,0,1,171,,22,22,4,6,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
108,MS Dhoni,CH Morris,MK Pandey,4,0,4,175,,10,7,4,7,16,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
109,MK Pandey,D Paterson,MS Dhoni,1,0,1,176,,23,23,4,1,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
110,MS Dhoni,D Paterson,MK Pandey,4,0,4,180,,14,8,4,2,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
111,MS Dhoni,D Paterson,MK Pandey,1,0,1,181,,15,9,4,3,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
112,MK Pandey,D Paterson,MS Dhoni,0,0,0,181,,23,24,4,4,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
113,MK Pandey,D Paterson,MS Dhoni,1,0,1,182,,24,25,4,5,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
114,MS Dhoni,D Paterson,MK Pandey,1,0,1,183,,16,10,4,6,17,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
115,MS Dhoni,CH Morris,MK Pandey,0,0,0,183,,16,11,5,1,18,,-,bowled,MS Dhoni,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
116,HH Pandya,CH Morris,MK Pandey,0,1,1,184,,0,1,5,2,18,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
117,HH Pandya,CH Morris,MK Pandey,0,0,0,184,,0,2,5,3,18,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
118,HH Pandya,CH Morris,MK Pandey,4,0,4,188,,4,3,5,4,18,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
119,HH Pandya,CH Morris,MK Pandey,4,0,4,192,,8,4,5,5,18,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
120,HH Pandya,CH Morris,MK Pandey,1,0,1,193,,9,5,5,6,18,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
121,MK Pandey,CH Morris,HH Pandya,1,0,1,194,,25,26,5,7,18,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
122,MK Pandey,D Paterson,HH Pandya,1,0,1,195,,26,27,5,1,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
123,HH Pandya,D Paterson,MK Pandey,0,1,1,196,,9,6,5,2,19,,wides,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
124,HH Pandya,D Paterson,MK Pandey,2,0,2,198,,11,7,5,3,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
125,HH Pandya,D Paterson,MK Pandey,1,0,1,199,,12,8,5,4,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
126,MK Pandey,D Paterson,HH Pandya,2,0,2,201,,28,28,5,5,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
127,MK Pandey,D Paterson,HH Pandya,1,0,1,202,,29,29,5,6,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
128,HH Pandya,D Paterson,MK Pandey,1,0,1,203,,13,9,5,7,19,,-,0,,,field,South Africa,1,The Wanderers Stadium,2018,02,India_South Africa_2018-02-18,India,India,South Africa,True,203
