,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
46,P Nissanka,Mohammad Nabi,PWH de Silva,1,0,1,74,135,54,29,2,3,8,-,0,,,,"{'match': [{'in': 'Qais Ahmad', 'out': 'Sharafuddin Ashraf', 'team': 'Afghanistan', 'reason': 'concussion_substitute'}]}",bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
47,PWH de Silva,Mohammad Nabi,P Nissanka,0,0,0,74,135,2,3,2,4,8,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
48,PWH de Silva,Mohammad Nabi,P Nissanka,0,0,0,74,135,2,4,2,5,8,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
49,PWH de Silva,Mohammad Nabi,P Nissanka,1,0,1,75,134,3,5,2,6,8,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
50,PWH de Silva,Noor Ahmad,P Nissanka,0,1,1,76,133,3,6,2,1,9,wides,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
51,PWH de Silva,Noor Ahmad,P Nissanka,0,0,0,76,133,3,7,2,2,9,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
52,PWH de Silva,Noor Ahmad,P Nissanka,1,0,1,77,132,4,8,2,3,9,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
53,P Nissanka,Noor Ahmad,PWH de Silva,6,0,6,83,126,60,30,3,4,9,-,retired hurt,P Nissanka,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
54,S Samarawickrama,Noor Ahmad,PWH de Silva,1,0,1,84,125,1,1,3,5,9,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
55,PWH de Silva,Noor Ahmad,S Samarawickrama,4,0,4,88,121,8,9,3,6,9,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
