,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
115,PHKD Mendis,Azmatullah Omarzai,MD Shanaka,1,0,1,176,33,51,35,6,2,19,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
116,MD Shanaka,Azmatullah Omarzai,PHKD Mendis,6,0,6,182,27,8,6,6,3,19,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
117,MD Shanaka,Azmatullah Omarzai,PHKD Mendis,4,0,4,186,23,12,7,6,4,19,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
118,MD Shanaka,Azmatullah Omarzai,PHKD Mendis,1,0,1,187,22,13,8,7,5,19,-,run out,MD Shanaka,Mohammad Nabi;Mohammad Ishaq,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
119,A Dananjaya,Azmatullah Omarzai,PHKD Mendis,4,0,4,191,18,4,1,7,6,19,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
120,PHKD Mendis,Wafadar Momand,A Dananjaya,4,0,4,195,14,55,36,7,1,20,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
121,PHKD Mendis,Wafadar Momand,A Dananjaya,0,0,0,195,14,55,37,7,2,20,-,0,,,"{'by': 'Afghanistan', 'umpire': 'RR Wimalasiri', 'batter': 'PHKD Mendis', 'decision': 'struck down', 'type': 'wicket'}",,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
122,PHKD Mendis,Wafadar Momand,A Dananjaya,4,0,4,199,10,59,38,7,3,20,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
123,PHKD Mendis,Wafadar Momand,A Dananjaya,0,0,0,199,10,59,39,7,4,20,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
124,PHKD Mendis,Wafadar Momand,A Dananjaya,0,1,1,200,9,59,40,7,5,20,wides,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
125,PHKD Mendis,Wafadar Momand,A Dananjaya,0,0,0,200,9,59,41,7,6,20,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
126,PHKD Mendis,Wafadar Momand,A Dananjaya,6,0,6,206,3,65,42,7,7,20,-,0,,,,,bat,Afghanistan,2,Rangiri Dambulla International Stadium,2024,02,Afghanistan_Sri Lanka_2024-02-21,Afghanistan,Sri Lanka,Afghanistan
