,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
42,Babar Azam,MR Marsh,Mohammad Hafeez,0,0,0,51,,22,17,1,4,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
43,Babar Azam,MR Marsh,Mohammad Hafeez,0,0,0,51,,22,18,1,5,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
44,Babar Azam,MR Marsh,Mohammad Hafeez,0,0,0,51,,22,19,1,6,-,6,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
45,Mohammad Hafeez,A Zampa,Babar Azam,6,0,6,57,,18,15,1,1,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
46,Mohammad Hafeez,A Zampa,Babar Azam,0,0,0,57,,18,16,1,2,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
47,Mohammad Hafeez,A Zampa,Babar Azam,1,0,1,58,,19,17,1,3,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
48,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,59,,23,20,1,4,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
49,Mohammad Hafeez,A Zampa,Babar Azam,0,0,0,59,,19,18,1,5,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
50,Mohammad Hafeez,A Zampa,Babar Azam,0,0,0,59,,19,19,1,6,-,7,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
51,Babar Azam,DJM Short,Mohammad Hafeez,1,0,1,60,,24,21,1,1,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
52,Mohammad Hafeez,DJM Short,Babar Azam,1,0,1,61,,20,20,1,2,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
53,Babar Azam,DJM Short,Mohammad Hafeez,1,0,1,62,,25,22,1,3,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
54,Mohammad Hafeez,DJM Short,Babar Azam,0,0,0,62,,20,21,1,4,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
55,Mohammad Hafeez,DJM Short,Babar Azam,1,0,1,63,,21,22,1,5,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
56,Babar Azam,DJM Short,Mohammad Hafeez,1,0,1,64,,26,23,1,6,-,8,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
57,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,65,,27,24,1,1,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
58,Mohammad Hafeez,A Zampa,Babar Azam,0,0,0,65,,21,23,1,2,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
59,Mohammad Hafeez,A Zampa,Babar Azam,1,0,1,66,,22,24,1,3,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
60,Babar Azam,A Zampa,Mohammad Hafeez,1,0,1,67,,28,25,1,4,-,9,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
