,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
59,BJ Haddin,CH Gayle,DA Warner,0,0,0,55,13,16,1,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
60,BJ Haddin,CH Gayle,DA Warner,1,0,1,56,14,17,2,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
61,DA Warner,CH Gayle,BJ Haddin,4,0,4,60,39,31,3,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
62,DA Warner,CH Gayle,BJ Haddin,0,0,0,60,39,32,4,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
63,DA Warner,CH Gayle,BJ Haddin,2,0,2,62,41,33,5,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
64,DA Warner,CH Gayle,BJ Haddin,1,0,1,63,42,34,6,-,0,,,10,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
65,DA Warner,SJ Benn,BJ Haddin,2,0,2,65,44,35,1,-,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
66,DA Warner,SJ Benn,BJ Haddin,2,0,2,67,46,36,2,-,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
67,DA Warner,SJ Benn,BJ Haddin,0,0,0,67,46,37,3,-,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
68,DA Warner,SJ Benn,BJ Haddin,0,1,1,68,46,38,4,byes,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
69,BJ Haddin,SJ Benn,DA Warner,6,0,6,74,20,18,5,-,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
70,BJ Haddin,SJ Benn,DA Warner,4,0,4,78,24,19,6,-,0,,,11,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
71,DA Warner,KA Pollard,BJ Haddin,2,0,2,80,48,39,1,-,0,,,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
72,DA Warner,KA Pollard,BJ Haddin,1,0,1,81,49,40,2,-,0,,,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
73,BJ Haddin,KA Pollard,DA Warner,0,0,0,81,24,20,3,-,caught,BJ Haddin,SJ Benn,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
74,DA Warner,KA Pollard,DJ Hussey,0,0,0,81,49,41,4,-,0,,,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
75,DA Warner,KA Pollard,DJ Hussey,1,0,1,82,50,42,5,-,0,,,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
76,DJ Hussey,KA Pollard,DA Warner,1,0,1,83,1,1,6,-,0,,,12,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
77,DJ Hussey,CH Gayle,DA Warner,1,0,1,84,2,2,1,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
78,DA Warner,CH Gayle,DJ Hussey,1,0,1,85,51,43,2,-,0,,,13,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
