,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
42,Sohaib Maqsood,H Davids,Shoaib Malik,1,0,1,50,100,1,2,3,5,6,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
43,Shoaib Malik,H Davids,Sohaib Maqsood,0,0,0,50,100,4,6,3,6,6,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
44,Shoaib Malik,H Davids,Sohaib Maqsood,0,0,0,50,100,4,7,3,7,6,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
45,Sohaib Maqsood,LL Tsotsobe,Shoaib Malik,0,0,0,50,100,1,3,3,1,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
46,Sohaib Maqsood,LL Tsotsobe,Shoaib Malik,4,0,4,54,96,5,4,3,2,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
47,Sohaib Maqsood,LL Tsotsobe,Shoaib Malik,1,0,1,55,95,6,5,3,3,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
48,Shoaib Malik,LL Tsotsobe,Sohaib Maqsood,1,0,1,56,94,5,8,3,4,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
49,Sohaib Maqsood,LL Tsotsobe,Shoaib Malik,1,0,1,57,93,7,6,3,5,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
50,Shoaib Malik,LL Tsotsobe,Sohaib Maqsood,1,0,1,58,92,6,9,3,6,7,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
51,Shoaib Malik,Imran Tahir,Sohaib Maqsood,0,0,0,58,92,6,10,3,1,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
52,Shoaib Malik,Imran Tahir,Sohaib Maqsood,1,0,1,59,91,7,11,3,2,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
53,Sohaib Maqsood,Imran Tahir,Shoaib Malik,0,0,0,59,91,7,7,3,3,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
54,Sohaib Maqsood,Imran Tahir,Shoaib Malik,1,0,1,60,90,8,8,3,4,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
55,Shoaib Malik,Imran Tahir,Sohaib Maqsood,1,0,1,61,89,8,12,3,5,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
56,Sohaib Maqsood,Imran Tahir,Shoaib Malik,1,0,1,62,88,9,9,3,6,8,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
57,Sohaib Maqsood,WD Parnell,Shoaib Malik,6,0,6,68,82,15,10,3,1,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
58,Sohaib Maqsood,WD Parnell,Shoaib Malik,1,0,1,69,81,16,11,3,2,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
59,Shoaib Malik,WD Parnell,Sohaib Maqsood,1,0,1,70,80,9,13,3,3,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
60,Sohaib Maqsood,WD Parnell,Shoaib Malik,1,0,1,71,79,17,12,3,4,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
61,Shoaib Malik,WD Parnell,Sohaib Maqsood,4,0,4,75,75,13,14,3,5,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
62,Shoaib Malik,WD Parnell,Sohaib Maqsood,0,0,0,75,75,13,15,3,6,9,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
63,Sohaib Maqsood,Imran Tahir,Umar Akmal,1,0,1,76,74,18,13,3,1,10,-,0,,,"{'role': [{'in': 'Umar Akmal', 'out': 'Shoaib Malik', 'reason': 'injury', 'role': 'batter'}]}",bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
64,Umar Akmal,Imran Tahir,Sohaib Maqsood,1,0,1,77,73,1,1,3,2,10,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
65,Sohaib Maqsood,Imran Tahir,Umar Akmal,0,0,0,77,73,18,14,3,3,10,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
66,Sohaib Maqsood,Imran Tahir,Umar Akmal,3,0,3,80,70,21,15,3,4,10,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
67,Umar Akmal,Imran Tahir,Sohaib Maqsood,0,0,0,80,70,1,2,3,5,10,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
68,Umar Akmal,Imran Tahir,Sohaib Maqsood,1,0,1,81,69,2,3,3,6,10,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
69,Umar Akmal,R McLaren,Sohaib Maqsood,2,0,2,83,67,4,4,3,1,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
70,Umar Akmal,R McLaren,Sohaib Maqsood,0,0,0,83,67,4,5,3,2,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
71,Umar Akmal,R McLaren,Sohaib Maqsood,0,0,0,83,67,4,6,3,3,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
72,Umar Akmal,R McLaren,Sohaib Maqsood,1,0,1,84,66,5,7,3,4,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
73,Sohaib Maqsood,R McLaren,Umar Akmal,2,0,2,86,64,23,16,3,5,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
74,Sohaib Maqsood,R McLaren,Umar Akmal,4,0,4,90,60,27,17,3,6,11,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
75,Umar Akmal,Imran Tahir,Sohaib Maqsood,1,0,1,91,59,6,8,3,1,12,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
76,Sohaib Maqsood,Imran Tahir,Umar Akmal,1,0,1,92,58,28,18,3,2,12,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
77,Umar Akmal,Imran Tahir,Sohaib Maqsood,1,0,1,93,57,7,9,3,3,12,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
78,Sohaib Maqsood,Imran Tahir,Umar Akmal,0,0,0,93,57,28,19,3,4,12,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
79,Sohaib Maqsood,Imran Tahir,Umar Akmal,1,0,1,94,56,29,20,3,5,12,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
80,Umar Akmal,Imran Tahir,Sohaib Maqsood,0,2,2,96,54,7,10,3,6,12,byes,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
81,Sohaib Maqsood,R McLaren,Umar Akmal,1,0,1,97,53,30,21,3,1,13,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
82,Umar Akmal,R McLaren,Sohaib Maqsood,4,0,4,101,49,11,11,3,2,13,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
83,Umar Akmal,R McLaren,Sohaib Maqsood,0,0,0,101,49,11,12,4,3,13,-,caught,Umar Akmal,Imran Tahir,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
84,Shoaib Malik,R McLaren,Sohaib Maqsood,1,0,1,102,48,14,16,4,4,13,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
85,Sohaib Maqsood,R McLaren,Shoaib Malik,2,0,2,104,46,32,22,4,5,13,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
86,Sohaib Maqsood,R McLaren,Shoaib Malik,1,0,1,105,45,33,23,4,6,13,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
87,Sohaib Maqsood,Imran Tahir,Shoaib Malik,2,0,2,107,43,35,24,4,1,14,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
88,Sohaib Maqsood,Imran Tahir,Shoaib Malik,0,1,1,108,42,35,25,4,2,14,wides,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
89,Sohaib Maqsood,Imran Tahir,Shoaib Malik,0,1,1,109,41,35,26,4,3,14,wides,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
90,Sohaib Maqsood,Imran Tahir,Shoaib Malik,1,0,1,110,40,36,27,4,4,14,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
91,Shoaib Malik,Imran Tahir,Sohaib Maqsood,1,0,1,111,39,15,17,4,5,14,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
92,Sohaib Maqsood,Imran Tahir,Shoaib Malik,1,0,1,112,38,37,28,4,6,14,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
93,Shoaib Malik,Imran Tahir,Sohaib Maqsood,0,0,0,112,38,15,18,5,7,14,-,bowled,Shoaib Malik,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
94,Abdul Razzaq,Imran Tahir,Sohaib Maqsood,0,0,0,112,38,0,1,6,8,14,-,bowled,Abdul Razzaq,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
95,Sohaib Maqsood,WD Parnell,Shahid Afridi,0,0,0,112,38,37,29,7,1,15,-,caught,Sohaib Maqsood,Q de Kock,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
96,Sohail Tanvir,WD Parnell,Shahid Afridi,1,0,1,113,37,1,1,7,2,15,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
97,Shahid Afridi,WD Parnell,Sohail Tanvir,1,0,1,114,36,1,1,7,3,15,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
98,Sohail Tanvir,WD Parnell,Shahid Afridi,0,0,0,114,36,1,2,7,4,15,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
99,Sohail Tanvir,WD Parnell,Shahid Afridi,1,0,1,115,35,2,3,7,5,15,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
100,Shahid Afridi,WD Parnell,Sohail Tanvir,1,0,1,116,34,2,2,7,6,15,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
101,Shahid Afridi,DW Steyn,Sohail Tanvir,1,0,1,117,33,3,3,7,1,16,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
102,Sohail Tanvir,DW Steyn,Shahid Afridi,4,0,4,121,29,6,4,7,2,16,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
103,Sohail Tanvir,DW Steyn,Shahid Afridi,0,0,0,121,29,6,5,8,3,16,-,bowled,Sohail Tanvir,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
104,Saeed Ajmal,DW Steyn,Shahid Afridi,0,1,1,122,28,0,1,8,4,16,wides,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
105,Saeed Ajmal,DW Steyn,Shahid Afridi,1,0,1,123,27,1,2,8,5,16,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
106,Shahid Afridi,DW Steyn,Saeed Ajmal,0,1,1,124,26,3,4,8,6,16,legbyes,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
107,Saeed Ajmal,DW Steyn,Shahid Afridi,1,0,1,125,25,2,3,8,7,16,-,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
108,Saeed Ajmal,R McLaren,Shahid Afridi,0,1,1,126,24,2,4,8,1,17,legbyes,0,,,,bat,South Africa,2,Dubai International Cricket Stadium,2013,11,Pakistan_South Africa_2013-11-15,South Africa,Pakistan,South Africa,False,144
