,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
39,DJ Malan,GF Linde,JC Buttler,1,0,1,46,100,7,8,1,2,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
40,JC Buttler,GF Linde,DJ Malan,1,0,1,47,99,21,12,1,3,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
41,DJ Malan,GF Linde,JC Buttler,0,0,0,47,99,7,9,1,4,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
42,DJ Malan,GF Linde,JC Buttler,1,0,1,48,98,8,10,1,5,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
43,JC Buttler,GF Linde,DJ Malan,0,0,0,48,98,21,13,1,6,-,7,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
44,DJ Malan,T Shamsi,JC Buttler,1,0,1,49,97,9,11,1,1,-,8,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
45,JC Buttler,T Shamsi,DJ Malan,1,0,1,50,96,22,14,1,2,-,8,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
46,DJ Malan,T Shamsi,JC Buttler,1,0,1,51,95,10,12,1,3,-,8,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
47,JC Buttler,T Shamsi,DJ Malan,0,0,0,51,95,22,15,2,4,-,8,,bowled,JC Buttler,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
48,JM Bairstow,T Shamsi,DJ Malan,0,0,0,51,95,0,1,2,5,-,8,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
49,JM Bairstow,T Shamsi,DJ Malan,1,0,1,52,94,1,2,2,6,-,8,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
50,JM Bairstow,GF Linde,DJ Malan,0,0,0,52,94,1,3,2,1,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
51,JM Bairstow,GF Linde,DJ Malan,0,0,0,52,94,1,4,2,2,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
52,JM Bairstow,GF Linde,DJ Malan,1,0,1,53,93,2,5,2,3,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
53,DJ Malan,GF Linde,JM Bairstow,0,0,0,53,93,10,13,2,4,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
54,DJ Malan,GF Linde,JM Bairstow,1,0,1,54,92,11,14,2,5,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
55,JM Bairstow,GF Linde,DJ Malan,1,0,1,55,91,3,6,2,6,-,9,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
56,JM Bairstow,T Shamsi,DJ Malan,0,0,0,55,91,3,7,3,1,-,10,,caught,JM Bairstow,RR Hendricks,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
57,BA Stokes,T Shamsi,DJ Malan,1,0,1,56,90,1,1,3,2,-,10,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
58,DJ Malan,T Shamsi,BA Stokes,0,0,0,56,90,11,15,3,3,-,10,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
59,DJ Malan,T Shamsi,BA Stokes,1,0,1,57,89,12,16,3,4,-,10,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
60,BA Stokes,T Shamsi,DJ Malan,1,0,1,58,88,2,2,3,5,-,10,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
61,DJ Malan,T Shamsi,BA Stokes,1,0,1,59,87,13,17,3,6,-,10,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
62,DJ Malan,GF Linde,BA Stokes,0,0,0,59,87,13,18,3,1,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
63,DJ Malan,GF Linde,BA Stokes,4,0,4,63,83,17,19,3,2,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
64,DJ Malan,GF Linde,BA Stokes,1,0,1,64,82,18,20,3,3,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
65,BA Stokes,GF Linde,DJ Malan,1,0,1,65,81,3,3,3,4,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
66,DJ Malan,GF Linde,BA Stokes,1,0,1,66,80,19,21,3,5,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
67,BA Stokes,GF Linde,DJ Malan,4,0,4,70,76,7,4,3,6,-,11,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
68,DJ Malan,T Shamsi,BA Stokes,1,0,1,71,75,20,22,3,1,-,12,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
69,BA Stokes,T Shamsi,DJ Malan,0,0,0,71,75,7,5,3,2,-,12,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
70,BA Stokes,T Shamsi,DJ Malan,0,0,0,71,75,7,6,3,3,-,12,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
71,BA Stokes,T Shamsi,DJ Malan,0,0,0,71,75,7,7,3,4,-,12,"{'by': 'South Africa', 'umpire': 'S George', 'batter': 'BA Stokes', 'decision': 'struck down', 'umpires_call': True}",0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
72,BA Stokes,T Shamsi,DJ Malan,1,0,1,72,74,8,8,3,5,-,12,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
73,DJ Malan,T Shamsi,BA Stokes,1,0,1,73,73,21,23,3,6,-,12,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
74,DJ Malan,K Rabada,BA Stokes,1,0,1,74,72,22,24,3,1,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
75,BA Stokes,K Rabada,DJ Malan,0,0,0,74,72,8,9,3,2,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
76,BA Stokes,K Rabada,DJ Malan,1,0,1,75,71,9,10,3,3,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
77,DJ Malan,K Rabada,BA Stokes,0,0,0,75,71,22,25,3,4,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
78,DJ Malan,K Rabada,BA Stokes,1,0,1,76,70,23,26,3,5,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
79,BA Stokes,K Rabada,DJ Malan,1,0,1,77,69,10,11,3,6,-,13,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
80,BA Stokes,T Shamsi,DJ Malan,6,0,6,83,63,16,12,3,1,-,14,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
81,BA Stokes,T Shamsi,DJ Malan,0,0,0,83,63,16,13,4,2,-,14,,caught,BA Stokes,Q de Kock,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
82,EJG Morgan,T Shamsi,DJ Malan,0,0,0,83,63,0,1,4,3,-,14,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
83,EJG Morgan,T Shamsi,DJ Malan,0,0,0,83,63,0,2,4,4,-,14,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
84,EJG Morgan,T Shamsi,DJ Malan,1,0,1,84,62,1,3,4,5,-,14,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
85,DJ Malan,T Shamsi,EJG Morgan,1,0,1,85,61,24,27,4,6,-,14,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
86,DJ Malan,L Ngidi,EJG Morgan,0,0,0,85,61,24,28,4,1,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
87,DJ Malan,L Ngidi,EJG Morgan,1,0,1,86,60,25,29,4,2,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
88,EJG Morgan,L Ngidi,DJ Malan,6,0,6,92,54,7,4,4,3,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
89,EJG Morgan,L Ngidi,DJ Malan,1,0,1,93,53,8,5,4,4,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
90,DJ Malan,L Ngidi,EJG Morgan,0,0,0,93,53,25,30,4,5,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
91,DJ Malan,L Ngidi,EJG Morgan,4,0,4,97,49,29,31,4,6,-,15,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
92,EJG Morgan,A Nortje,DJ Malan,0,0,0,97,49,8,6,4,1,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
93,EJG Morgan,A Nortje,DJ Malan,1,0,1,98,48,9,7,4,2,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
94,DJ Malan,A Nortje,EJG Morgan,4,0,4,102,44,33,32,4,3,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
95,DJ Malan,A Nortje,EJG Morgan,4,0,4,106,40,37,33,4,4,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
96,DJ Malan,A Nortje,EJG Morgan,1,0,1,107,39,38,34,4,5,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
97,EJG Morgan,A Nortje,DJ Malan,0,0,0,107,39,9,8,4,6,-,16,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
98,DJ Malan,K Rabada,EJG Morgan,1,0,1,108,38,39,35,4,1,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
99,EJG Morgan,K Rabada,DJ Malan,0,0,0,108,38,9,9,4,2,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
100,EJG Morgan,K Rabada,DJ Malan,0,0,0,108,38,9,10,4,3,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
101,EJG Morgan,K Rabada,DJ Malan,2,0,2,110,36,11,11,4,4,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
102,EJG Morgan,K Rabada,DJ Malan,4,0,4,114,32,15,12,4,5,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
103,EJG Morgan,K Rabada,DJ Malan,4,0,4,118,28,19,13,4,6,-,17,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
104,DJ Malan,L Ngidi,EJG Morgan,2,0,2,120,26,41,36,4,1,-,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
105,DJ Malan,L Ngidi,EJG Morgan,4,0,4,124,22,45,37,4,2,-,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
106,DJ Malan,L Ngidi,EJG Morgan,4,0,4,128,18,49,38,4,3,-,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
107,DJ Malan,L Ngidi,EJG Morgan,6,0,6,134,12,55,39,4,4,-,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
108,DJ Malan,L Ngidi,EJG Morgan,0,0,0,134,12,55,40,5,5,-,18,,caught,DJ Malan,RR Hendricks,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
109,EJG Morgan,L Ngidi,SM Curran,0,1,1,135,11,19,14,5,6,wides,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
110,EJG Morgan,L Ngidi,SM Curran,1,0,1,136,10,20,15,5,7,-,18,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
111,EJG Morgan,A Nortje,SM Curran,1,0,1,137,9,21,16,5,1,-,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
112,SM Curran,A Nortje,EJG Morgan,1,0,1,138,8,1,1,5,2,-,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
113,EJG Morgan,A Nortje,SM Curran,1,0,1,139,7,22,17,5,3,-,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
114,SM Curran,A Nortje,EJG Morgan,0,0,0,139,7,1,2,5,4,-,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
115,SM Curran,A Nortje,EJG Morgan,0,1,1,140,6,1,3,5,5,legbyes,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
116,EJG Morgan,A Nortje,SM Curran,4,0,4,144,2,26,18,5,6,-,19,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
117,SM Curran,K Rabada,EJG Morgan,0,0,0,144,2,1,4,5,1,-,20,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
118,SM Curran,K Rabada,EJG Morgan,0,0,0,144,2,1,5,6,2,-,20,,bowled,SM Curran,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
119,CJ Jordan,K Rabada,EJG Morgan,2,0,2,146,0,2,1,6,3,-,20,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
120,CJ Jordan,K Rabada,EJG Morgan,0,0,0,146,0,2,2,6,4,-,20,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
121,CJ Jordan,K Rabada,EJG Morgan,1,0,1,147,-1,3,3,6,5,-,20,,0,,,field,England,2,Boland Park,2020,11,South Africa_England_2020-11-29,England,England,South Africa,147
