,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
43,JM Bairstow,JDS Neesham,SM Curran,,2,0,2,100,47,19,4,0,,,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
44,JM Bairstow,JDS Neesham,SM Curran,,0,0,0,100,47,20,5,0,,,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
45,JM Bairstow,JDS Neesham,SM Curran,,0,0,0,100,47,21,6,caught,JM Bairstow,TL Seifert,7,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
46,SM Curran,MJ Santner,SW Billings,,0,1,1,101,24,12,1,stumped,SM Curran,TL Seifert,8,wides,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
47,L Gregory,MJ Santner,SW Billings,,6,0,6,107,6,1,2,0,,,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
48,L Gregory,MJ Santner,SW Billings,,0,0,0,107,6,2,3,caught,L Gregory,TG Southee,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
49,TK Curran,MJ Santner,SW Billings,,1,0,1,108,1,1,4,0,,,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
50,SW Billings,MJ Santner,TK Curran,,1,0,1,109,1,1,5,0,,,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
51,TK Curran,MJ Santner,SW Billings,,1,0,1,110,2,2,6,0,,,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
52,SW Billings,MJ Santner,TK Curran,,1,0,1,111,2,2,7,0,,,8,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
53,SW Billings,TA Boult,TK Curran,,0,0,0,111,2,3,1,0,,,9,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
54,SW Billings,TA Boult,TK Curran,"{'by': 'New Zealand', 'umpire': 'CB Gaffaney', 'batter': 'SW Billings', 'decision': 'struck down'}",0,1,1,112,2,4,2,0,,,9,legbyes,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
55,TK Curran,TA Boult,SW Billings,,0,0,0,112,2,3,3,0,,,9,-,field,England,2,Eden Park,2019-11-10,tie,England,New Zealand
