,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
35,Babar Azam,Shohidul Islam,Mohammad Rizwan,0,0,0,27,16,21,5,6,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
36,Babar Azam,Shohidul Islam,Mohammad Rizwan,1,0,1,28,17,22,6,6,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
37,Babar Azam,Aminul Islam,Mohammad Rizwan,1,0,1,29,18,23,1,7,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
38,Mohammad Rizwan,Aminul Islam,Babar Azam,1,0,1,30,10,16,2,7,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
39,Babar Azam,Aminul Islam,Mohammad Rizwan,1,0,1,31,19,24,3,7,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
40,Mohammad Rizwan,Aminul Islam,Babar Azam,1,0,1,32,11,17,4,7,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
41,Babar Azam,Aminul Islam,Mohammad Rizwan,0,0,0,32,19,25,5,7,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
42,Babar Azam,Aminul Islam,Mohammad Rizwan,0,0,0,32,19,26,6,7,,-,,caught,Babar Azam,Mohammad Naim,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
43,Mohammad Rizwan,Nasum Ahmed,Haider Ali,0,0,0,32,11,18,1,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
44,Mohammad Rizwan,Nasum Ahmed,Haider Ali,0,0,0,32,11,19,2,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
45,Mohammad Rizwan,Nasum Ahmed,Haider Ali,1,0,1,33,12,20,3,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
46,Haider Ali,Nasum Ahmed,Mohammad Rizwan,1,0,1,34,1,1,4,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
47,Mohammad Rizwan,Nasum Ahmed,Haider Ali,0,0,0,34,12,21,5,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
48,Mohammad Rizwan,Nasum Ahmed,Haider Ali,1,0,1,35,13,22,6,8,,-,,0,,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021-11-22,Pakistan,Bangladesh
