,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
13,RR Hendricks,CBRLS Kumara,Q de Kock,1,0,1,15,6,8,1,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
14,Q de Kock,CBRLS Kumara,RR Hendricks,1,0,1,16,8,7,2,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
15,RR Hendricks,CBRLS Kumara,Q de Kock,0,0,0,16,6,9,3,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
16,RR Hendricks,CBRLS Kumara,Q de Kock,1,0,1,17,7,10,4,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
17,Q de Kock,CBRLS Kumara,RR Hendricks,4,0,4,21,12,8,5,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
18,Q de Kock,CBRLS Kumara,RR Hendricks,0,0,0,21,12,9,6,-,3,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
19,RR Hendricks,PVD Chameera,Q de Kock,4,0,4,25,11,11,1,-,4,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
20,RR Hendricks,PVD Chameera,Q de Kock,0,0,0,25,11,12,2,-,4,"{'by': 'South Africa', 'umpire': 'JS Wilson', 'batter': 'RR Hendricks', 'decision': 'struck down'}",lbw,RR Hendricks,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
21,HE van der Dussen,PVD Chameera,Q de Kock,1,0,1,26,1,1,3,-,4,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
22,Q de Kock,PVD Chameera,HE van der Dussen,0,0,0,26,12,10,4,-,4,,caught and bowled,Q de Kock,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
23,T Bavuma,PVD Chameera,HE van der Dussen,0,0,0,26,0,1,5,-,4,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
24,T Bavuma,PVD Chameera,HE van der Dussen,0,0,0,26,0,2,6,-,4,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
25,HE van der Dussen,CBRLS Kumara,T Bavuma,2,0,2,28,3,2,1,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
26,HE van der Dussen,CBRLS Kumara,T Bavuma,2,0,2,30,5,3,2,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
27,HE van der Dussen,CBRLS Kumara,T Bavuma,0,0,0,30,5,4,3,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
28,HE van der Dussen,CBRLS Kumara,T Bavuma,1,0,1,31,6,5,4,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
29,T Bavuma,CBRLS Kumara,HE van der Dussen,0,0,0,31,0,3,5,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
30,T Bavuma,CBRLS Kumara,HE van der Dussen,1,0,1,32,1,4,6,-,5,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
31,T Bavuma,C Karunaratne,HE van der Dussen,0,0,0,32,1,5,1,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
32,T Bavuma,C Karunaratne,HE van der Dussen,1,0,1,33,2,6,2,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
33,HE van der Dussen,C Karunaratne,T Bavuma,1,0,1,34,7,6,3,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
34,T Bavuma,C Karunaratne,HE van der Dussen,0,0,0,34,2,7,4,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
35,T Bavuma,C Karunaratne,HE van der Dussen,1,0,1,35,3,8,5,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
36,HE van der Dussen,C Karunaratne,T Bavuma,5,0,5,40,12,7,6,-,6,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
37,HE van der Dussen,PWH de Silva,T Bavuma,1,0,1,41,13,8,1,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
38,T Bavuma,PWH de Silva,HE van der Dussen,1,0,1,42,4,9,2,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
39,HE van der Dussen,PWH de Silva,T Bavuma,1,0,1,43,14,9,3,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
40,T Bavuma,PWH de Silva,HE van der Dussen,0,0,0,43,4,10,4,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
41,T Bavuma,PWH de Silva,HE van der Dussen,0,0,0,43,4,11,5,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
42,T Bavuma,PWH de Silva,HE van der Dussen,1,0,1,44,5,12,6,-,7,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
43,T Bavuma,C Karunaratne,HE van der Dussen,1,0,1,45,6,13,1,-,8,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
44,HE van der Dussen,C Karunaratne,T Bavuma,1,0,1,46,15,10,2,-,8,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
45,T Bavuma,C Karunaratne,HE van der Dussen,0,0,0,46,6,14,3,-,8,"{'by': 'Sri Lanka', 'umpire': 'JS Wilson', 'batter': 'T Bavuma', 'decision': 'struck down', 'umpires_call': True}",0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
46,T Bavuma,C Karunaratne,HE van der Dussen,1,0,1,47,7,15,4,-,8,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
47,HE van der Dussen,C Karunaratne,T Bavuma,1,0,1,48,16,11,5,-,8,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
48,T Bavuma,C Karunaratne,HE van der Dussen,0,1,1,49,7,16,6,wides,8,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
49,T Bavuma,C Karunaratne,HE van der Dussen,0,0,0,49,7,17,7,-,8,,run out,HE van der Dussen,MD Shanaka,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
50,AK Markram,PWH de Silva,T Bavuma,1,0,1,50,1,1,1,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
51,T Bavuma,PWH de Silva,AK Markram,1,0,1,51,8,18,2,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
52,AK Markram,PWH de Silva,T Bavuma,0,0,0,51,1,2,3,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
53,AK Markram,PWH de Silva,T Bavuma,0,0,0,51,1,3,4,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
54,AK Markram,PWH de Silva,T Bavuma,0,0,0,51,1,4,5,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
55,AK Markram,PWH de Silva,T Bavuma,1,0,1,52,2,5,6,-,9,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
56,AK Markram,C Karunaratne,T Bavuma,1,0,1,53,3,6,1,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
57,T Bavuma,C Karunaratne,AK Markram,2,0,2,55,10,19,2,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
58,T Bavuma,C Karunaratne,AK Markram,2,0,2,57,12,20,3,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
59,T Bavuma,C Karunaratne,AK Markram,1,0,1,58,13,21,4,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
60,AK Markram,C Karunaratne,T Bavuma,4,0,4,62,7,7,5,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
61,AK Markram,C Karunaratne,T Bavuma,0,0,0,62,7,8,6,-,10,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
62,T Bavuma,M Theekshana,AK Markram,1,0,1,63,14,22,1,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
63,AK Markram,M Theekshana,T Bavuma,0,0,0,63,7,9,2,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
64,AK Markram,M Theekshana,T Bavuma,1,0,1,64,8,10,3,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
65,T Bavuma,M Theekshana,AK Markram,1,0,1,65,15,23,4,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
66,AK Markram,M Theekshana,T Bavuma,1,0,1,66,9,11,5,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
67,T Bavuma,M Theekshana,AK Markram,1,0,1,67,16,24,6,-,11,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
68,T Bavuma,MD Shanaka,AK Markram,2,0,2,69,18,25,1,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
69,T Bavuma,MD Shanaka,AK Markram,2,0,2,71,20,26,2,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
70,T Bavuma,MD Shanaka,AK Markram,1,0,1,72,21,27,3,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
71,AK Markram,MD Shanaka,T Bavuma,1,0,1,73,10,12,4,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
72,T Bavuma,MD Shanaka,AK Markram,0,0,0,73,21,28,5,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
73,T Bavuma,MD Shanaka,AK Markram,1,0,1,74,22,29,6,-,12,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
74,T Bavuma,M Theekshana,AK Markram,1,0,1,75,23,30,1,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
75,AK Markram,M Theekshana,T Bavuma,1,0,1,76,11,13,2,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
76,T Bavuma,M Theekshana,AK Markram,4,0,4,80,27,31,3,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
77,T Bavuma,M Theekshana,AK Markram,1,0,1,81,28,32,4,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
78,AK Markram,M Theekshana,T Bavuma,0,1,1,82,11,14,5,wides,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
79,AK Markram,M Theekshana,T Bavuma,1,0,1,83,12,15,6,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
80,T Bavuma,M Theekshana,AK Markram,1,0,1,84,29,33,7,-,13,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
81,T Bavuma,CBRLS Kumara,AK Markram,1,0,1,85,30,34,1,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
82,AK Markram,CBRLS Kumara,T Bavuma,1,0,1,86,13,16,2,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
83,T Bavuma,CBRLS Kumara,AK Markram,0,0,0,86,30,35,3,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
84,T Bavuma,CBRLS Kumara,AK Markram,1,0,1,87,31,36,4,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
85,AK Markram,CBRLS Kumara,T Bavuma,0,0,0,87,13,17,5,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
86,AK Markram,CBRLS Kumara,T Bavuma,1,0,1,88,14,18,6,-,14,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
87,AK Markram,PWH de Silva,T Bavuma,1,0,1,89,15,19,1,-,15,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
88,T Bavuma,PWH de Silva,AK Markram,0,0,0,89,31,37,2,-,15,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
89,T Bavuma,PWH de Silva,AK Markram,2,0,2,91,33,38,3,-,15,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
90,T Bavuma,PWH de Silva,AK Markram,1,0,1,92,34,39,4,-,15,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
91,AK Markram,PWH de Silva,T Bavuma,4,0,4,96,19,20,5,-,15,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
92,AK Markram,PWH de Silva,T Bavuma,0,0,0,96,19,21,6,-,15,,bowled,AK Markram,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
93,T Bavuma,M Theekshana,DA Miller,1,0,1,97,35,40,1,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
94,DA Miller,M Theekshana,T Bavuma,1,0,1,98,1,1,2,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
95,T Bavuma,M Theekshana,DA Miller,1,0,1,99,36,41,3,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
96,DA Miller,M Theekshana,T Bavuma,1,0,1,100,2,2,4,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
97,T Bavuma,M Theekshana,DA Miller,1,0,1,101,37,42,5,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
98,DA Miller,M Theekshana,T Bavuma,1,0,1,102,3,3,6,-,16,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
99,DA Miller,PVD Chameera,T Bavuma,0,0,0,102,3,4,1,-,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
100,DA Miller,PVD Chameera,T Bavuma,0,1,1,103,3,5,2,legbyes,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
101,T Bavuma,PVD Chameera,DA Miller,0,0,0,103,37,43,3,-,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
102,T Bavuma,PVD Chameera,DA Miller,6,0,6,109,43,44,4,-,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
103,T Bavuma,PVD Chameera,DA Miller,2,0,2,111,45,45,5,-,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
104,T Bavuma,PVD Chameera,DA Miller,1,0,1,112,46,46,6,-,17,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
105,T Bavuma,PWH de Silva,DA Miller,0,0,0,112,46,47,1,-,18,,caught,T Bavuma,P Nissanka,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
106,D Pretorius,PWH de Silva,DA Miller,0,0,0,112,0,1,2,-,18,,caught,D Pretorius,PBB Rajapaksa,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
107,K Rabada,PWH de Silva,DA Miller,0,1,1,113,0,1,3,legbyes,18,"{'by': 'Sri Lanka', 'umpire': 'JS Wilson', 'batter': 'K Rabada', 'decision': 'struck down'}",0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
108,DA Miller,PWH de Silva,K Rabada,2,0,2,115,5,6,4,-,18,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
109,DA Miller,PWH de Silva,K Rabada,2,0,2,117,7,7,5,-,18,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
110,DA Miller,PWH de Silva,K Rabada,1,0,1,118,8,8,6,-,18,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
111,DA Miller,PVD Chameera,K Rabada,1,0,1,119,9,9,1,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
112,K Rabada,PVD Chameera,DA Miller,1,0,1,120,1,2,2,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
113,DA Miller,PVD Chameera,K Rabada,1,0,1,121,10,10,3,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
114,K Rabada,PVD Chameera,DA Miller,6,0,6,127,7,3,4,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
115,K Rabada,PVD Chameera,DA Miller,0,0,0,127,7,4,5,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
116,K Rabada,PVD Chameera,DA Miller,1,0,1,128,8,5,6,-,19,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
117,K Rabada,CBRLS Kumara,DA Miller,1,0,1,129,9,6,1,-,20,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
118,DA Miller,CBRLS Kumara,K Rabada,6,0,6,135,16,11,2,-,20,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
119,DA Miller,CBRLS Kumara,K Rabada,6,0,6,141,22,12,3,-,20,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
120,DA Miller,CBRLS Kumara,K Rabada,1,0,1,142,23,13,4,-,20,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
121,K Rabada,CBRLS Kumara,DA Miller,4,0,4,146,13,7,5,-,20,,0,,,field,South Africa,2,Sharjah Cricket Stadium,2021-10-30,South Africa,South Africa,Sri Lanka
