,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
10,RR Hendricks,DM de Silva,Q de Kock,,0,0,0,9,94,1,2,0,4,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
11,RR Hendricks,DM de Silva,Q de Kock,,1,0,1,10,93,2,3,0,5,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
12,Q de Kock,DM de Silva,RR Hendricks,,4,0,4,14,89,11,10,0,6,-,1,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
13,RR Hendricks,PVD Chameera,Q de Kock,,1,0,1,15,88,3,4,0,1,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
14,Q de Kock,PVD Chameera,RR Hendricks,,0,1,1,16,87,11,11,0,2,noballs,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
15,Q de Kock,PVD Chameera,RR Hendricks,,4,0,4,20,83,15,12,0,3,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
16,Q de Kock,PVD Chameera,RR Hendricks,,0,1,1,21,82,15,13,0,4,wides,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
17,Q de Kock,PVD Chameera,RR Hendricks,,1,0,1,22,81,16,14,0,5,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
18,RR Hendricks,PVD Chameera,Q de Kock,,0,0,0,22,81,3,5,0,6,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
19,RR Hendricks,PVD Chameera,Q de Kock,,0,0,0,22,81,3,6,0,7,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
20,RR Hendricks,PVD Chameera,Q de Kock,,0,0,0,22,81,3,7,0,8,-,2,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
21,Q de Kock,M Theekshana,RR Hendricks,,0,0,0,22,81,16,15,0,1,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
22,Q de Kock,M Theekshana,RR Hendricks,,0,0,0,22,81,16,16,0,2,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
23,Q de Kock,M Theekshana,RR Hendricks,,1,0,1,23,80,17,17,0,3,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
24,RR Hendricks,M Theekshana,Q de Kock,,1,0,1,24,79,4,8,0,4,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
25,Q de Kock,M Theekshana,RR Hendricks,,0,0,0,24,79,17,18,0,5,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
26,Q de Kock,M Theekshana,RR Hendricks,,4,0,4,28,75,21,19,0,6,-,3,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
27,RR Hendricks,P Jayawickrama,Q de Kock,,1,0,1,29,74,5,9,0,1,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
28,Q de Kock,P Jayawickrama,RR Hendricks,,4,0,4,33,70,25,20,0,2,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
29,Q de Kock,P Jayawickrama,RR Hendricks,,4,0,4,37,66,29,21,0,3,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
30,Q de Kock,P Jayawickrama,RR Hendricks,,1,0,1,38,65,30,22,0,4,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
31,RR Hendricks,P Jayawickrama,Q de Kock,,1,0,1,39,64,6,10,0,5,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
32,Q de Kock,P Jayawickrama,RR Hendricks,,1,0,1,40,63,31,23,0,6,-,4,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
33,Q de Kock,M Theekshana,RR Hendricks,,3,0,3,43,60,34,24,0,1,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
34,RR Hendricks,M Theekshana,Q de Kock,,4,0,4,47,56,10,11,0,2,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
35,RR Hendricks,M Theekshana,Q de Kock,,1,0,1,48,55,11,12,0,3,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
36,Q de Kock,M Theekshana,RR Hendricks,,0,0,0,48,55,34,25,0,4,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
37,Q de Kock,M Theekshana,RR Hendricks,,0,0,0,48,55,34,26,0,5,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
38,Q de Kock,M Theekshana,RR Hendricks,,1,0,1,49,54,35,27,0,6,-,5,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
39,Q de Kock,PWH de Silva,RR Hendricks,,1,0,1,50,53,36,28,0,1,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
40,RR Hendricks,PWH de Silva,Q de Kock,,0,0,0,50,53,11,13,0,2,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
41,RR Hendricks,PWH de Silva,Q de Kock,,1,0,1,51,52,12,14,0,3,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
42,Q de Kock,PWH de Silva,RR Hendricks,,1,0,1,52,51,37,29,0,4,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
43,RR Hendricks,PWH de Silva,Q de Kock,,1,0,1,53,50,13,15,0,5,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
44,Q de Kock,PWH de Silva,RR Hendricks,,2,0,2,55,48,39,30,0,6,-,6,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
45,RR Hendricks,MD Shanaka,Q de Kock,,1,0,1,56,47,14,16,0,1,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
46,Q de Kock,MD Shanaka,RR Hendricks,,0,0,0,56,47,39,31,0,2,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
47,Q de Kock,MD Shanaka,RR Hendricks,,0,0,0,56,47,39,32,0,3,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
48,Q de Kock,MD Shanaka,RR Hendricks,,1,0,1,57,46,40,33,0,4,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
49,RR Hendricks,MD Shanaka,Q de Kock,,4,0,4,61,42,18,17,0,5,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
50,RR Hendricks,MD Shanaka,Q de Kock,,0,0,0,61,42,18,18,0,6,-,7,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
51,Q de Kock,PWH de Silva,RR Hendricks,,1,0,1,62,41,41,34,0,1,-,8,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
52,RR Hendricks,PWH de Silva,Q de Kock,,0,0,0,62,41,18,19,1,2,-,8,caught,RR Hendricks,LD Chandimal,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
53,Q de Kock,PWH de Silva,AK Markram,,1,0,1,63,40,42,35,1,3,-,8,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
54,AK Markram,PWH de Silva,Q de Kock,,0,0,0,63,40,0,1,1,4,-,8,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
55,AK Markram,PWH de Silva,Q de Kock,,1,0,1,64,39,1,2,1,5,-,8,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
56,Q de Kock,PWH de Silva,AK Markram,,1,0,1,65,38,43,36,1,6,-,8,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
57,Q de Kock,M Theekshana,AK Markram,,1,0,1,66,37,44,37,1,1,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
58,AK Markram,M Theekshana,Q de Kock,"{'by': 'South Africa', 'umpire': 'RR Wimalasiri', 'batter': 'AK Markram', 'decision': 'upheld'}",0,0,0,66,37,1,3,1,2,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
59,AK Markram,M Theekshana,Q de Kock,,2,0,2,68,35,3,4,1,3,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
60,AK Markram,M Theekshana,Q de Kock,,0,1,1,69,34,3,5,1,4,wides,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
61,AK Markram,M Theekshana,Q de Kock,,1,0,1,70,33,4,6,1,5,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
62,Q de Kock,M Theekshana,AK Markram,,0,0,0,70,33,44,38,1,6,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
63,Q de Kock,M Theekshana,AK Markram,,1,0,1,71,32,45,39,1,7,-,9,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
64,Q de Kock,PWH de Silva,AK Markram,,0,0,0,71,32,45,40,1,1,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
65,Q de Kock,PWH de Silva,AK Markram,,1,0,1,72,31,46,41,1,2,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
66,AK Markram,PWH de Silva,Q de Kock,,1,0,1,73,30,5,7,1,3,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
67,Q de Kock,PWH de Silva,AK Markram,,1,0,1,74,29,47,42,1,4,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
68,AK Markram,PWH de Silva,Q de Kock,"{'by': 'Sri Lanka', 'umpire': 'RSA Palliyaguruge', 'batter': 'AK Markram', 'decision': 'struck down'}",0,0,0,74,29,5,8,1,5,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
69,AK Markram,PWH de Silva,Q de Kock,,1,0,1,75,28,6,9,1,6,-,10,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
70,AK Markram,M Theekshana,Q de Kock,,4,0,4,79,24,10,10,1,1,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
71,AK Markram,M Theekshana,Q de Kock,,0,0,0,79,24,10,11,1,2,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
72,AK Markram,M Theekshana,Q de Kock,,4,0,4,83,20,14,12,1,3,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
73,AK Markram,M Theekshana,Q de Kock,,0,0,0,83,20,14,13,1,4,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
74,AK Markram,M Theekshana,Q de Kock,,1,0,1,84,19,15,14,1,5,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
75,Q de Kock,M Theekshana,AK Markram,,0,0,0,84,19,47,43,1,6,-,11,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
76,AK Markram,PWH de Silva,Q de Kock,,0,0,0,84,19,15,15,1,1,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
77,AK Markram,PWH de Silva,Q de Kock,,1,0,1,85,18,16,16,1,2,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
78,Q de Kock,PWH de Silva,AK Markram,,4,0,4,89,14,51,44,1,3,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
79,Q de Kock,PWH de Silva,AK Markram,,2,0,2,91,12,53,45,1,4,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
80,Q de Kock,PWH de Silva,AK Markram,,1,0,1,92,11,54,46,1,5,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
81,AK Markram,PWH de Silva,Q de Kock,,0,0,0,92,11,16,17,1,6,-,12,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
82,Q de Kock,DM de Silva,AK Markram,,1,0,1,93,10,55,47,1,1,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
83,AK Markram,DM de Silva,Q de Kock,,0,0,0,93,10,16,18,1,2,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
84,AK Markram,DM de Silva,Q de Kock,,1,0,1,94,9,17,19,1,3,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
85,Q de Kock,DM de Silva,AK Markram,,2,0,2,96,7,57,48,1,4,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
86,Q de Kock,DM de Silva,AK Markram,,1,0,1,97,6,58,49,1,5,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
87,AK Markram,DM de Silva,Q de Kock,,4,0,4,101,2,21,20,1,6,-,13,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
88,Q de Kock,P Jayawickrama,AK Markram,,0,4,4,105,-2,58,50,1,1,byes,14,0,,,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-12,South Africa,South Africa,Sri Lanka,105
