,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
77,MM Ali,HV Patel,DJ Willey,0,0,0,70,17,16,5,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
78,MM Ali,HV Patel,DJ Willey,4,0,4,74,21,17,6,0,,,13,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
79,DJ Willey,RA Jadeja,MM Ali,1,0,1,75,4,10,1,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
80,MM Ali,RA Jadeja,DJ Willey,1,0,1,76,22,18,2,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
81,DJ Willey,RA Jadeja,MM Ali,4,0,4,80,8,11,3,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
82,DJ Willey,RA Jadeja,MM Ali,1,0,1,81,9,12,4,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
83,MM Ali,RA Jadeja,DJ Willey,6,0,6,87,28,19,5,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
84,MM Ali,RA Jadeja,DJ Willey,1,0,1,88,29,20,6,0,,,14,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
85,MM Ali,HH Pandya,DJ Willey,6,0,6,94,35,21,1,0,,,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
86,MM Ali,HH Pandya,DJ Willey,0,0,0,94,35,22,2,caught,MM Ali,RG Sharma,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
87,CJ Jordan,HH Pandya,DJ Willey,1,0,1,95,1,1,3,run out,CJ Jordan,RG Sharma;YS Chahal,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
88,DJ Willey,HH Pandya,RJ Gleeson,4,0,4,99,13,13,4,0,,,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
89,DJ Willey,HH Pandya,RJ Gleeson,6,0,6,105,19,14,5,0,,,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
90,DJ Willey,HH Pandya,RJ Gleeson,1,0,1,106,20,15,6,0,,,15,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
91,DJ Willey,B Kumar,RJ Gleeson,1,0,1,107,21,16,1,0,,,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
92,RJ Gleeson,B Kumar,DJ Willey,2,0,2,109,2,1,2,0,,,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
93,RJ Gleeson,B Kumar,DJ Willey,0,0,0,109,2,2,3,0,,,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
94,RJ Gleeson,B Kumar,DJ Willey,0,0,0,109,2,3,4,caught,RJ Gleeson,V Kohli,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
95,DJ Willey,B Kumar,MW Parkinson,1,0,1,110,22,17,5,0,,,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
96,MW Parkinson,B Kumar,DJ Willey,0,0,0,110,0,1,6,0,,,16,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
97,DJ Willey,HV Patel,MW Parkinson,6,0,6,116,28,18,1,0,,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
98,DJ Willey,HV Patel,MW Parkinson,4,0,4,120,32,19,2,0,,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
99,DJ Willey,HV Patel,MW Parkinson,0,0,0,120,32,20,3,0,,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
100,DJ Willey,HV Patel,MW Parkinson,0,0,0,120,32,21,4,0,,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
101,DJ Willey,HV Patel,MW Parkinson,1,0,1,121,33,22,5,0,,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
102,MW Parkinson,HV Patel,DJ Willey,0,0,0,121,0,2,6,bowled,MW Parkinson,,17,,-,field,England,2,"Edgbaston, Birmingham",2022-07-09,India,England,India
