,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
18,T Banton,Imad Wasim,DJ Malan,4,0,4,21,18,11,1,0,,,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
19,T Banton,Imad Wasim,DJ Malan,1,0,1,22,19,12,2,0,,,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
20,DJ Malan,Imad Wasim,T Banton,0,0,0,22,3,6,3,0,,,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
21,DJ Malan,Imad Wasim,T Banton,4,0,4,26,7,7,4,0,,,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
22,DJ Malan,Imad Wasim,T Banton,0,0,0,26,7,8,5,caught,DJ Malan,Fakhar Zaman,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
23,T Banton,Imad Wasim,EJG Morgan,1,0,1,27,20,13,6,0,,,4,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
24,T Banton,Haris Rauf,EJG Morgan,4,0,4,31,24,14,1,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
25,T Banton,Haris Rauf,EJG Morgan,2,0,2,33,26,15,2,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
26,T Banton,Haris Rauf,EJG Morgan,0,0,0,33,26,16,3,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
27,T Banton,Haris Rauf,EJG Morgan,4,0,4,37,30,17,4,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
28,T Banton,Haris Rauf,EJG Morgan,0,0,0,37,30,18,5,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
29,T Banton,Haris Rauf,EJG Morgan,4,1,5,42,34,19,6,0,,,5,noballs,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
30,T Banton,Haris Rauf,EJG Morgan,1,0,1,43,35,20,7,0,,,5,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
31,T Banton,Wahab Riaz,EJG Morgan,0,0,0,43,35,21,1,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
32,T Banton,Wahab Riaz,EJG Morgan,0,0,0,43,35,22,2,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
33,T Banton,Wahab Riaz,EJG Morgan,2,0,2,45,37,23,3,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
34,T Banton,Wahab Riaz,EJG Morgan,1,1,2,47,38,24,4,0,,,6,noballs,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
35,EJG Morgan,Wahab Riaz,T Banton,2,0,2,49,2,1,5,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
36,EJG Morgan,Wahab Riaz,T Banton,1,0,1,50,3,2,6,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
37,T Banton,Wahab Riaz,EJG Morgan,4,0,4,54,42,25,7,0,,,6,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
38,EJG Morgan,Shadab Khan,T Banton,1,0,1,55,4,3,1,0,,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
39,T Banton,Shadab Khan,EJG Morgan,2,0,2,57,44,26,2,0,,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
40,T Banton,Shadab Khan,EJG Morgan,0,0,0,57,44,27,3,0,,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
41,T Banton,Shadab Khan,EJG Morgan,1,0,1,58,45,28,4,0,,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
42,EJG Morgan,Shadab Khan,T Banton,0,1,1,59,4,4,5,0,,,7,wides,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
43,EJG Morgan,Shadab Khan,T Banton,6,0,6,65,10,5,6,0,,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
44,EJG Morgan,Shadab Khan,T Banton,0,0,0,65,10,6,7,run out,EJG Morgan,,7,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
45,T Banton,Haris Rauf,MM Ali,1,0,1,66,46,29,1,0,,,8,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
46,MM Ali,Haris Rauf,T Banton,1,0,1,67,1,1,2,0,,,8,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
47,T Banton,Haris Rauf,MM Ali,0,1,1,68,46,30,3,0,,,8,legbyes,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
48,MM Ali,Haris Rauf,T Banton,1,0,1,69,2,2,4,0,,,8,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
49,T Banton,Haris Rauf,MM Ali,0,0,0,69,46,31,5,lbw,T Banton,,8,-,"{'by': 'Pakistan', 'umpire': 'DJ Millns', 'batter': 'T Banton', 'decision': 'upheld'}",field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
50,SW Billings,Haris Rauf,MM Ali,0,0,0,69,0,1,6,0,,,8,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
51,MM Ali,Shadab Khan,SW Billings,1,0,1,70,3,3,1,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
52,SW Billings,Shadab Khan,MM Ali,1,0,1,71,1,2,2,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
53,MM Ali,Shadab Khan,SW Billings,1,0,1,72,4,4,3,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
54,SW Billings,Shadab Khan,MM Ali,1,0,1,73,2,3,4,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
55,MM Ali,Shadab Khan,SW Billings,1,0,1,74,5,5,5,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
56,SW Billings,Shadab Khan,MM Ali,4,0,4,78,6,4,6,0,,,9,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
57,MM Ali,Wahab Riaz,SW Billings,1,0,1,79,6,6,1,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
58,SW Billings,Wahab Riaz,MM Ali,1,0,1,80,7,5,2,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
59,MM Ali,Wahab Riaz,SW Billings,1,0,1,81,7,7,3,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
60,SW Billings,Wahab Riaz,MM Ali,0,0,0,81,7,6,4,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
61,SW Billings,Wahab Riaz,MM Ali,4,0,4,85,11,7,5,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
62,SW Billings,Wahab Riaz,MM Ali,1,0,1,86,12,8,6,0,,,10,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
63,SW Billings,Imad Wasim,MM Ali,0,0,0,86,12,9,1,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
64,SW Billings,Imad Wasim,MM Ali,6,0,6,92,18,10,2,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
65,SW Billings,Imad Wasim,MM Ali,1,0,1,93,19,11,3,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
66,MM Ali,Imad Wasim,SW Billings,0,0,0,93,7,8,4,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
67,MM Ali,Imad Wasim,SW Billings,1,0,1,94,8,9,5,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
68,SW Billings,Imad Wasim,MM Ali,1,0,1,95,20,12,6,0,,,11,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
69,SW Billings,Shadab Khan,MM Ali,0,0,0,95,20,13,1,0,,,12,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
70,SW Billings,Shadab Khan,MM Ali,0,1,1,96,20,14,2,0,,,12,legbyes,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
71,MM Ali,Shadab Khan,SW Billings,2,0,2,98,10,10,3,0,,,12,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
72,MM Ali,Shadab Khan,SW Billings,2,0,2,100,12,11,4,0,,,12,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
73,MM Ali,Shadab Khan,SW Billings,0,0,0,100,12,12,5,0,,,12,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
74,MM Ali,Shadab Khan,SW Billings,4,0,4,104,16,13,6,0,,,12,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
75,SW Billings,Imad Wasim,MM Ali,0,0,0,104,20,15,1,0,,,13,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
76,SW Billings,Imad Wasim,MM Ali,0,4,4,108,20,16,2,0,,,13,byes,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
77,SW Billings,Imad Wasim,MM Ali,2,0,2,110,22,17,3,0,,,13,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
78,SW Billings,Imad Wasim,MM Ali,0,0,0,110,22,18,4,0,,,13,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
79,SW Billings,Imad Wasim,MM Ali,0,0,0,110,22,19,5,0,,,13,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
80,SW Billings,Imad Wasim,MM Ali,2,0,2,112,24,20,6,0,,,13,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
81,MM Ali,Shaheen Shah Afridi,SW Billings,4,0,4,116,20,14,1,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
82,MM Ali,Shaheen Shah Afridi,SW Billings,6,0,6,122,26,15,2,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
83,MM Ali,Shaheen Shah Afridi,SW Billings,1,0,1,123,27,16,3,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
84,SW Billings,Shaheen Shah Afridi,MM Ali,0,0,0,123,24,21,4,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
85,SW Billings,Shaheen Shah Afridi,MM Ali,2,0,2,125,26,22,5,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
86,SW Billings,Shaheen Shah Afridi,MM Ali,0,0,0,125,26,23,6,0,,,14,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
87,MM Ali,Wahab Riaz,SW Billings,1,0,1,126,28,17,1,0,,,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
88,SW Billings,Wahab Riaz,MM Ali,0,0,0,126,26,24,2,caught,SW Billings,Imad Wasim,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
89,MM Ali,Wahab Riaz,L Gregory,1,0,1,127,29,18,3,0,,,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
90,L Gregory,Wahab Riaz,MM Ali,0,0,0,127,0,1,4,0,,,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
91,L Gregory,Wahab Riaz,MM Ali,1,0,1,128,1,2,5,0,,,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
92,MM Ali,Wahab Riaz,L Gregory,1,0,1,129,30,19,6,0,,,15,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
93,MM Ali,Shadab Khan,L Gregory,6,0,6,135,36,20,1,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
94,MM Ali,Shadab Khan,L Gregory,6,0,6,141,42,21,2,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
95,MM Ali,Shadab Khan,L Gregory,0,0,0,141,42,22,3,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
96,MM Ali,Shadab Khan,L Gregory,6,0,6,147,48,23,4,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
97,MM Ali,Shadab Khan,L Gregory,1,0,1,148,49,24,5,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
98,L Gregory,Shadab Khan,MM Ali,1,0,1,149,2,3,6,0,,,16,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
99,L Gregory,Haris Rauf,MM Ali,1,0,1,150,3,4,1,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
100,MM Ali,Haris Rauf,L Gregory,1,0,1,151,50,25,2,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
101,L Gregory,Haris Rauf,MM Ali,1,0,1,152,4,5,3,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
102,MM Ali,Haris Rauf,L Gregory,1,0,1,153,51,26,4,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
103,L Gregory,Haris Rauf,MM Ali,4,0,4,157,8,6,5,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
104,L Gregory,Haris Rauf,MM Ali,4,0,4,161,12,7,6,0,,,17,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
105,MM Ali,Shaheen Shah Afridi,L Gregory,4,0,4,165,55,27,1,0,,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
106,MM Ali,Shaheen Shah Afridi,L Gregory,0,0,0,165,55,28,2,0,,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
107,MM Ali,Shaheen Shah Afridi,L Gregory,4,0,4,169,59,29,3,0,,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
108,MM Ali,Shaheen Shah Afridi,L Gregory,1,0,1,170,60,30,4,0,,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
109,L Gregory,Shaheen Shah Afridi,MM Ali,0,0,0,170,12,8,5,bowled,L Gregory,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
110,CJ Jordan,Shaheen Shah Afridi,MM Ali,1,0,1,171,1,1,6,0,,,18,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
111,CJ Jordan,Wahab Riaz,MM Ali,0,1,1,172,1,2,1,0,,,19,wides,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
112,CJ Jordan,Wahab Riaz,MM Ali,0,0,0,172,1,3,2,run out,CJ Jordan,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
113,MM Ali,Wahab Riaz,TK Curran,1,0,1,173,61,31,3,0,,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
114,TK Curran,Wahab Riaz,MM Ali,1,0,1,174,1,1,4,0,,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
115,MM Ali,Wahab Riaz,TK Curran,0,0,0,174,61,32,5,0,,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
116,MM Ali,Wahab Riaz,TK Curran,0,0,0,174,61,33,6,caught and bowled,MM Ali,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
117,TK Curran,Wahab Riaz,AU Rashid,0,0,0,174,1,2,7,0,,,19,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
118,AU Rashid,Haris Rauf,TK Curran,0,1,1,175,0,1,1,0,,,20,byes,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
119,TK Curran,Haris Rauf,AU Rashid,1,0,1,176,2,3,2,0,,,20,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
120,AU Rashid,Haris Rauf,TK Curran,2,0,2,178,2,2,3,0,,,20,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
121,AU Rashid,Haris Rauf,TK Curran,1,0,1,179,3,3,4,0,,,20,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
122,TK Curran,Haris Rauf,AU Rashid,6,0,6,185,8,4,5,0,,,20,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
123,TK Curran,Haris Rauf,AU Rashid,0,0,0,185,8,5,6,0,,,20,-,,field,England,2,Old Trafford,2020-09-01,Pakistan,England,Pakistan
