,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
39,AJ Finch,PWH de Silva,DA Warner,,0,0,0,66,30,18,4,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
40,AJ Finch,PWH de Silva,DA Warner,,1,0,1,67,31,19,5,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
41,DA Warner,PWH de Silva,AJ Finch,,0,0,0,67,36,23,6,7,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
42,AJ Finch,PVD Chameera,DA Warner,,1,0,1,68,32,20,1,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
43,DA Warner,PVD Chameera,AJ Finch,,0,0,0,68,36,24,2,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
44,DA Warner,PVD Chameera,AJ Finch,,4,0,4,72,40,25,3,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
45,DA Warner,PVD Chameera,AJ Finch,,4,0,4,76,44,26,4,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
46,DA Warner,PVD Chameera,AJ Finch,,1,0,1,77,45,27,5,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
47,AJ Finch,PVD Chameera,DA Warner,,0,0,0,77,32,21,6,8,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
48,DA Warner,C Karunaratne,AJ Finch,,1,0,1,78,46,28,1,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
49,AJ Finch,C Karunaratne,DA Warner,,0,0,0,78,32,22,2,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
50,AJ Finch,C Karunaratne,DA Warner,,0,0,0,78,32,23,3,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
51,AJ Finch,C Karunaratne,DA Warner,,1,0,1,79,33,24,4,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
52,DA Warner,C Karunaratne,AJ Finch,,1,0,1,80,47,29,5,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
53,AJ Finch,C Karunaratne,DA Warner,,1,0,1,81,34,25,6,9,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
54,AJ Finch,PVD Chameera,DA Warner,,1,0,1,82,35,26,1,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
55,DA Warner,PVD Chameera,AJ Finch,,1,0,1,83,48,30,2,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
56,AJ Finch,PVD Chameera,DA Warner,,1,0,1,84,36,27,3,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
57,DA Warner,PVD Chameera,AJ Finch,,1,0,1,85,49,31,4,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
58,AJ Finch,PVD Chameera,DA Warner,,0,0,0,85,36,28,5,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
59,AJ Finch,PVD Chameera,DA Warner,,2,0,2,87,38,29,6,10,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
60,DA Warner,C Karunaratne,AJ Finch,,4,0,4,91,53,32,1,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
61,DA Warner,C Karunaratne,AJ Finch,,1,0,1,92,54,33,2,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
62,AJ Finch,C Karunaratne,DA Warner,,1,0,1,93,39,30,3,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
63,DA Warner,C Karunaratne,AJ Finch,,1,0,1,94,55,34,4,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
64,AJ Finch,C Karunaratne,DA Warner,,1,0,1,95,40,31,5,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
65,DA Warner,C Karunaratne,AJ Finch,,1,0,1,96,56,35,6,11,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
66,DA Warner,M Theekshana,AJ Finch,,1,0,1,97,57,36,1,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
67,AJ Finch,M Theekshana,DA Warner,,1,0,1,98,41,32,2,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
68,DA Warner,M Theekshana,AJ Finch,,1,0,1,99,58,37,3,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
69,AJ Finch,M Theekshana,DA Warner,,1,0,1,100,42,33,4,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
70,DA Warner,M Theekshana,AJ Finch,,0,1,1,101,58,38,5,12,wides,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
71,DA Warner,M Theekshana,AJ Finch,,1,0,1,102,59,39,6,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
72,AJ Finch,M Theekshana,DA Warner,,1,0,1,103,43,34,7,12,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
73,AJ Finch,N Thushara,DA Warner,,1,0,1,104,44,35,1,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
74,DA Warner,N Thushara,AJ Finch,,1,0,1,105,60,40,2,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
75,AJ Finch,N Thushara,DA Warner,,0,1,1,106,44,36,3,13,wides,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
76,AJ Finch,N Thushara,DA Warner,,2,0,2,108,46,37,4,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
77,AJ Finch,N Thushara,DA Warner,,0,1,1,109,46,38,5,13,wides,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
78,AJ Finch,N Thushara,DA Warner,,4,0,4,113,50,39,6,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
79,AJ Finch,N Thushara,DA Warner,,1,0,1,114,51,40,7,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
80,DA Warner,N Thushara,AJ Finch,,1,0,1,115,61,41,8,13,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
81,DA Warner,PVD Chameera,AJ Finch,,0,0,0,115,61,42,1,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
82,DA Warner,PVD Chameera,AJ Finch,,4,0,4,119,65,43,2,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
83,DA Warner,PVD Chameera,AJ Finch,,4,0,4,123,69,44,3,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
84,DA Warner,PVD Chameera,AJ Finch,,1,0,1,124,70,45,4,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
85,AJ Finch,PVD Chameera,DA Warner,,4,0,4,128,55,41,5,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
86,AJ Finch,PVD Chameera,DA Warner,,6,0,6,134,61,42,6,14,-,0,field,Australia,2,"R Premadasa Stadium, Colombo",2022-06-07,Australia,Australia,Sri Lanka
