,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
26,NJ Astle,SM Pollock,SP Fleming,,0,0,0,30,103,5,8,0,-,2.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
27,NJ Astle,SM Pollock,SP Fleming,,4,0,4,34,99,9,9,0,-,3.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
28,NJ Astle,SM Pollock,SP Fleming,,1,0,1,35,98,10,10,0,-,4.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
29,SP Fleming,SM Pollock,NJ Astle,,2,0,2,37,96,26,20,0,-,5.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
30,SP Fleming,SM Pollock,NJ Astle,,0,0,0,37,96,26,21,0,-,6.0,4,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
31,NJ Astle,A Nel,SP Fleming,"{'match': [{'in': 'N Boje', 'out': 'JM Kemp', 'reason': 'supersub', 'team': 'South Africa'}]}",0,0,0,37,96,10,11,1,-,1.0,5,bowled,NJ Astle,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
32,HJH Marshall,A Nel,SP Fleming,,1,0,1,38,95,1,1,1,-,2.0,5,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
33,SP Fleming,A Nel,HJH Marshall,,0,0,0,38,95,26,22,1,-,3.0,5,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
34,SP Fleming,A Nel,HJH Marshall,,1,0,1,39,94,27,23,1,-,4.0,5,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
35,HJH Marshall,A Nel,SP Fleming,,2,0,2,41,92,3,2,1,-,5.0,5,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
36,HJH Marshall,A Nel,SP Fleming,,0,0,0,41,92,3,3,2,-,6.0,5,caught,HJH Marshall,MV Boucher,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,,Right arm Fast
37,SP Fleming,CK Langeveldt,CD McMillan,,0,1,1,42,91,27,24,2,wides,0.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
38,SP Fleming,CK Langeveldt,CD McMillan,,4,0,4,46,87,31,25,2,-,1.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
39,SP Fleming,CK Langeveldt,CD McMillan,,0,0,0,46,87,31,26,3,-,2.0,6,caught,SP Fleming,JA Morkel,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,,Right hand Bat,Right arm Fast
40,SB Styris,CK Langeveldt,CD McMillan,,0,1,1,47,86,0,1,3,wides,2.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
41,SB Styris,CK Langeveldt,CD McMillan,,1,0,1,48,85,1,2,3,-,3.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
42,CD McMillan,CK Langeveldt,SB Styris,,0,0,0,48,85,0,1,3,-,4.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
43,CD McMillan,CK Langeveldt,SB Styris,,1,0,1,49,84,1,2,3,-,5.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
44,SB Styris,CK Langeveldt,CD McMillan,,4,0,4,53,80,5,3,3,-,6.0,6,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
45,CD McMillan,A Nel,SB Styris,,0,0,0,53,80,1,3,3,-,1.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
46,CD McMillan,A Nel,SB Styris,,1,0,1,54,79,2,4,3,-,2.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
47,SB Styris,A Nel,CD McMillan,,0,0,0,54,79,5,4,3,-,3.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
48,SB Styris,A Nel,CD McMillan,,0,0,0,54,79,5,5,3,-,4.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
49,SB Styris,A Nel,CD McMillan,,2,0,2,56,77,7,6,3,-,5.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
50,SB Styris,A Nel,CD McMillan,,1,0,1,57,76,8,7,3,-,6.0,7,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
51,SB Styris,N Boje,CD McMillan,,4,0,4,61,72,12,8,3,-,1.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
52,SB Styris,N Boje,CD McMillan,,0,0,0,61,72,12,9,3,-,2.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
53,SB Styris,N Boje,CD McMillan,,1,0,1,62,71,13,10,3,-,3.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
54,CD McMillan,N Boje,SB Styris,,1,0,1,63,70,3,5,3,-,4.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
55,SB Styris,N Boje,CD McMillan,,1,0,1,64,69,14,11,3,-,5.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
56,CD McMillan,N Boje,SB Styris,,1,0,1,65,68,4,6,3,-,6.0,8,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
57,CD McMillan,A Nel,SB Styris,,0,0,0,65,68,4,7,3,-,1.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
58,CD McMillan,A Nel,SB Styris,,4,0,4,69,64,8,8,3,-,2.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
59,CD McMillan,A Nel,SB Styris,,0,0,0,69,64,8,9,3,-,3.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
60,CD McMillan,A Nel,SB Styris,,1,0,1,70,63,9,10,3,-,4.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
61,SB Styris,A Nel,CD McMillan,,1,0,1,71,62,15,12,3,-,5.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
62,CD McMillan,A Nel,SB Styris,,1,0,1,72,61,10,11,3,-,6.0,9,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
63,CD McMillan,N Boje,SB Styris,,1,0,1,73,60,11,12,3,-,1.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
64,SB Styris,N Boje,CD McMillan,,1,0,1,74,59,16,13,3,-,2.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
65,CD McMillan,N Boje,SB Styris,,1,0,1,75,58,12,13,3,-,3.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
66,SB Styris,N Boje,CD McMillan,,0,0,0,75,58,16,14,3,-,4.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
67,SB Styris,N Boje,CD McMillan,,1,0,1,76,57,17,15,3,-,5.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
68,CD McMillan,N Boje,SB Styris,,0,0,0,76,57,12,14,3,-,6.0,10,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
69,SB Styris,A Nel,CD McMillan,,0,0,0,76,57,17,16,3,-,1.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
70,SB Styris,A Nel,CD McMillan,,1,0,1,77,56,18,17,3,-,2.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
71,CD McMillan,A Nel,SB Styris,,0,0,0,77,56,12,15,3,-,3.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
72,CD McMillan,A Nel,SB Styris,,0,0,0,77,56,12,16,3,-,4.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
73,CD McMillan,A Nel,SB Styris,,2,0,2,79,54,14,17,3,-,5.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
74,CD McMillan,A Nel,SB Styris,,1,0,1,80,53,15,18,3,-,6.0,11,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Right arm Fast
75,CD McMillan,N Boje,SB Styris,,0,0,0,80,53,15,19,4,-,1.0,12,caught,CD McMillan,A Nel,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Right hand Bat,Left arm Orthodox
76,SB Styris,N Boje,JDP Oram,,0,0,0,80,53,18,18,4,-,2.0,12,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Left arm Orthodox
77,SB Styris,N Boje,JDP Oram,,1,0,1,81,52,19,19,4,-,3.0,12,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Left arm Orthodox
78,JDP Oram,N Boje,SB Styris,,0,1,1,82,51,0,1,4,legbyes,4.0,12,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
79,SB Styris,N Boje,JDP Oram,,1,0,1,83,50,20,20,4,-,5.0,12,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Left arm Orthodox
80,JDP Oram,N Boje,SB Styris,,0,0,0,83,50,0,2,4,-,6.0,12,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
81,SB Styris,JA Morkel,JDP Oram,,1,0,1,84,49,21,21,4,-,1.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
82,JDP Oram,JA Morkel,SB Styris,,0,0,0,84,49,0,3,4,-,2.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
83,JDP Oram,JA Morkel,SB Styris,,1,0,1,85,48,1,4,4,-,3.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
84,SB Styris,JA Morkel,JDP Oram,,1,0,1,86,47,22,22,4,-,4.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
85,JDP Oram,JA Morkel,SB Styris,,1,0,1,87,46,2,5,4,-,5.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
86,SB Styris,JA Morkel,JDP Oram,,0,0,0,87,46,22,23,4,-,6.0,13,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
87,JDP Oram,N Boje,SB Styris,,1,0,1,88,45,3,6,4,-,1.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
88,SB Styris,N Boje,JDP Oram,,0,1,1,89,44,22,24,4,legbyes,2.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Left arm Orthodox
89,JDP Oram,N Boje,SB Styris,,2,0,2,91,42,5,7,4,-,3.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
90,JDP Oram,N Boje,SB Styris,,6,0,6,97,36,11,8,4,-,4.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
91,JDP Oram,N Boje,SB Styris,,0,0,0,97,36,11,9,4,-,5.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
92,JDP Oram,N Boje,SB Styris,,4,0,4,101,32,15,10,4,-,6.0,14,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Left arm Orthodox
93,SB Styris,JA Morkel,JDP Oram,,1,0,1,102,31,23,25,4,-,1.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
94,JDP Oram,JA Morkel,SB Styris,,0,0,0,102,31,15,11,4,-,2.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
95,JDP Oram,JA Morkel,SB Styris,,6,0,6,108,25,21,12,4,-,3.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
96,JDP Oram,JA Morkel,SB Styris,,1,0,1,109,24,22,13,4,-,4.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Left hand Bat,Right hand Bat,Right arm Medium
97,SB Styris,JA Morkel,JDP Oram,,0,0,0,109,24,23,26,4,-,5.0,15,0,,,field,New Zealand,2,New Wanderers Stadium,2005,10,South Africa_New Zealand_2005-10-21,New Zealand,New Zealand,South Africa,True,134,Right hand Bat,Left hand Bat,Right arm Medium
