,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
11,P Nissanka,Arshdeep Singh,BKG Mendis,4,0,4,9,8,9,6,2,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
12,BKG Mendis,B Kumar,P Nissanka,1,0,1,10,2,4,1,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
13,P Nissanka,B Kumar,BKG Mendis,1,0,1,11,9,10,2,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
14,BKG Mendis,B Kumar,P Nissanka,1,0,1,12,3,5,3,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
15,P Nissanka,B Kumar,BKG Mendis,4,0,4,16,13,11,4,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
16,P Nissanka,B Kumar,BKG Mendis,0,0,0,16,13,12,5,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
17,P Nissanka,B Kumar,BKG Mendis,1,0,1,17,14,13,6,3,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
18,P Nissanka,HH Pandya,BKG Mendis,0,0,0,17,14,14,1,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
19,P Nissanka,HH Pandya,BKG Mendis,6,0,6,23,20,15,2,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
20,P Nissanka,HH Pandya,BKG Mendis,2,0,2,25,22,16,3,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
21,P Nissanka,HH Pandya,BKG Mendis,1,0,1,26,23,17,4,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
22,BKG Mendis,HH Pandya,P Nissanka,0,0,0,26,3,6,5,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
23,BKG Mendis,HH Pandya,P Nissanka,1,0,1,27,4,7,6,4,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
24,BKG Mendis,Arshdeep Singh,P Nissanka,4,0,4,31,8,8,1,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
25,BKG Mendis,Arshdeep Singh,P Nissanka,1,0,1,32,9,9,2,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
26,P Nissanka,Arshdeep Singh,BKG Mendis,4,0,4,36,27,18,3,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
27,P Nissanka,Arshdeep Singh,BKG Mendis,1,0,1,37,28,19,4,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
28,BKG Mendis,Arshdeep Singh,P Nissanka,6,0,6,43,15,10,5,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
29,BKG Mendis,Arshdeep Singh,P Nissanka,2,0,2,45,17,11,6,5,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
30,P Nissanka,YS Chahal,BKG Mendis,4,0,4,49,32,20,1,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
31,P Nissanka,YS Chahal,BKG Mendis,1,0,1,50,33,21,2,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
32,BKG Mendis,YS Chahal,P Nissanka,0,0,0,50,17,12,3,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
33,BKG Mendis,YS Chahal,P Nissanka,6,0,6,56,23,13,4,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
34,BKG Mendis,YS Chahal,P Nissanka,0,0,0,56,23,14,5,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
35,BKG Mendis,YS Chahal,P Nissanka,1,0,1,57,24,15,6,6,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
36,BKG Mendis,HH Pandya,P Nissanka,1,0,1,58,25,16,1,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
37,P Nissanka,HH Pandya,BKG Mendis,1,0,1,59,34,22,2,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
38,BKG Mendis,HH Pandya,P Nissanka,1,0,1,60,26,17,3,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
39,P Nissanka,HH Pandya,BKG Mendis,1,0,1,61,35,23,4,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
40,BKG Mendis,HH Pandya,P Nissanka,1,0,1,62,27,18,5,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
41,P Nissanka,HH Pandya,BKG Mendis,1,0,1,63,36,24,6,7,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
42,P Nissanka,R Ashwin,BKG Mendis,1,0,1,64,37,25,1,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
43,BKG Mendis,R Ashwin,P Nissanka,6,0,6,70,33,19,2,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
44,BKG Mendis,R Ashwin,P Nissanka,1,0,1,71,34,20,3,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
45,P Nissanka,R Ashwin,BKG Mendis,1,0,1,72,38,26,4,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
46,BKG Mendis,R Ashwin,P Nissanka,1,0,1,73,35,21,5,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
47,P Nissanka,R Ashwin,BKG Mendis,1,0,1,74,39,27,6,8,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
48,P Nissanka,YS Chahal,BKG Mendis,1,0,1,75,40,28,1,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
49,BKG Mendis,YS Chahal,P Nissanka,1,0,1,76,36,22,2,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
50,P Nissanka,YS Chahal,BKG Mendis,6,0,6,82,46,29,3,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
51,P Nissanka,YS Chahal,BKG Mendis,1,0,1,83,47,30,4,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
52,BKG Mendis,YS Chahal,P Nissanka,1,0,1,84,37,23,5,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
53,P Nissanka,YS Chahal,BKG Mendis,1,0,1,85,48,31,6,9,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
54,P Nissanka,R Ashwin,BKG Mendis,1,0,1,86,49,32,1,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
55,BKG Mendis,R Ashwin,P Nissanka,1,0,1,87,38,24,2,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
56,P Nissanka,R Ashwin,BKG Mendis,1,0,1,88,50,33,3,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
57,BKG Mendis,R Ashwin,P Nissanka,0,0,0,88,38,25,4,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
58,BKG Mendis,R Ashwin,P Nissanka,1,0,1,89,39,26,5,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
59,P Nissanka,R Ashwin,BKG Mendis,0,0,0,89,50,34,6,10,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
60,BKG Mendis,HH Pandya,P Nissanka,4,0,4,93,43,27,1,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
61,BKG Mendis,HH Pandya,P Nissanka,1,0,1,94,44,28,2,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
62,P Nissanka,HH Pandya,BKG Mendis,1,0,1,95,51,35,3,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
63,BKG Mendis,HH Pandya,P Nissanka,1,0,1,96,45,29,4,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
64,P Nissanka,HH Pandya,BKG Mendis,1,0,1,97,52,36,5,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
65,BKG Mendis,HH Pandya,P Nissanka,0,0,0,97,45,30,6,11,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
66,P Nissanka,YS Chahal,BKG Mendis,0,0,0,97,52,37,1,12,caught,P Nissanka,RG Sharma,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
67,KIC Asalanka,YS Chahal,BKG Mendis,0,0,0,97,0,1,2,12,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
68,KIC Asalanka,YS Chahal,BKG Mendis,0,0,0,97,0,2,3,12,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
69,KIC Asalanka,YS Chahal,BKG Mendis,0,0,0,97,0,3,4,12,caught,KIC Asalanka,SA Yadav,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
70,BKG Mendis,YS Chahal,MD Gunathilaka,1,0,1,98,46,31,5,12,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
71,MD Gunathilaka,YS Chahal,BKG Mendis,0,0,0,98,0,1,6,12,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
72,BKG Mendis,B Kumar,MD Gunathilaka,1,0,1,99,47,32,1,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
73,MD Gunathilaka,B Kumar,BKG Mendis,0,0,0,99,0,2,2,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
74,MD Gunathilaka,B Kumar,BKG Mendis,1,0,1,100,1,3,3,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
75,BKG Mendis,B Kumar,MD Gunathilaka,4,0,4,104,51,33,4,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
76,BKG Mendis,B Kumar,MD Gunathilaka,1,0,1,105,52,34,5,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
77,MD Gunathilaka,B Kumar,BKG Mendis,0,0,0,105,1,4,6,13,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
78,BKG Mendis,R Ashwin,MD Gunathilaka,4,0,4,109,56,35,1,14,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
79,BKG Mendis,R Ashwin,MD Gunathilaka,1,0,1,110,57,36,2,14,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
80,MD Gunathilaka,R Ashwin,BKG Mendis,0,0,0,110,1,5,3,14,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
81,MD Gunathilaka,R Ashwin,BKG Mendis,0,0,0,110,1,6,4,14,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
82,MD Gunathilaka,R Ashwin,BKG Mendis,0,0,0,110,1,7,5,14,caught,MD Gunathilaka,KL Rahul,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
83,PBB Rajapaksa,R Ashwin,BKG Mendis,0,0,0,110,0,1,6,14,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
84,BKG Mendis,YS Chahal,PBB Rajapaksa,0,0,0,110,57,37,1,15,lbw,BKG Mendis,,"{'by': 'Sri Lanka', 'umpire': 'Ahsan Raza', 'batter': 'BKG Mendis', 'decision': 'struck down'}",,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
85,MD Shanaka,YS Chahal,PBB Rajapaksa,0,1,1,111,0,1,2,15,0,,,,{'wides': 1},wides,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
86,MD Shanaka,YS Chahal,PBB Rajapaksa,1,0,1,112,1,2,3,15,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
87,PBB Rajapaksa,YS Chahal,MD Shanaka,1,0,1,113,1,2,4,15,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
88,MD Shanaka,YS Chahal,PBB Rajapaksa,1,0,1,114,2,3,5,15,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
89,PBB Rajapaksa,YS Chahal,MD Shanaka,6,0,6,120,7,3,6,15,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
90,PBB Rajapaksa,YS Chahal,MD Shanaka,0,0,0,120,7,4,7,15,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
91,MD Shanaka,R Ashwin,PBB Rajapaksa,1,0,1,121,3,4,1,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
92,PBB Rajapaksa,R Ashwin,MD Shanaka,6,0,6,127,13,5,2,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
93,PBB Rajapaksa,R Ashwin,MD Shanaka,1,0,1,128,14,6,3,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
94,MD Shanaka,R Ashwin,PBB Rajapaksa,1,0,1,129,4,5,4,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
95,PBB Rajapaksa,R Ashwin,MD Shanaka,2,0,2,131,16,7,5,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
96,PBB Rajapaksa,R Ashwin,MD Shanaka,1,0,1,132,17,8,6,16,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
97,PBB Rajapaksa,Arshdeep Singh,MD Shanaka,1,0,1,133,18,9,1,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
98,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,4,0,4,137,8,6,2,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
99,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,1,0,1,138,9,7,3,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
100,PBB Rajapaksa,Arshdeep Singh,MD Shanaka,1,0,1,139,19,10,4,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
101,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,2,0,2,141,11,8,5,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
102,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,0,0,0,141,11,9,6,17,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
103,PBB Rajapaksa,HH Pandya,MD Shanaka,0,0,0,141,19,11,1,18,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
104,PBB Rajapaksa,HH Pandya,MD Shanaka,0,1,1,142,19,12,2,18,0,,,,{'legbyes': 1},legbyes,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
105,MD Shanaka,HH Pandya,PBB Rajapaksa,4,0,4,146,15,10,3,18,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
106,MD Shanaka,HH Pandya,PBB Rajapaksa,0,0,0,146,15,11,4,18,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
107,MD Shanaka,HH Pandya,PBB Rajapaksa,6,0,6,152,21,12,5,18,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
108,MD Shanaka,HH Pandya,PBB Rajapaksa,1,0,1,153,22,13,6,18,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
109,MD Shanaka,B Kumar,PBB Rajapaksa,1,0,1,154,23,14,1,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
110,PBB Rajapaksa,B Kumar,MD Shanaka,1,0,1,155,20,13,2,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
111,MD Shanaka,B Kumar,PBB Rajapaksa,0,1,1,156,23,15,3,19,0,,,,{'wides': 1},wides,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
112,MD Shanaka,B Kumar,PBB Rajapaksa,0,1,1,157,23,16,4,19,0,,,,{'wides': 1},wides,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
113,MD Shanaka,B Kumar,PBB Rajapaksa,4,0,4,161,27,17,5,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
114,MD Shanaka,B Kumar,PBB Rajapaksa,4,0,4,165,31,18,6,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
115,MD Shanaka,B Kumar,PBB Rajapaksa,1,0,1,166,32,19,7,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
116,PBB Rajapaksa,B Kumar,MD Shanaka,1,0,1,167,21,14,8,19,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
117,PBB Rajapaksa,Arshdeep Singh,MD Shanaka,1,0,1,168,22,15,1,20,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
118,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,1,0,1,169,33,20,2,20,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
119,PBB Rajapaksa,Arshdeep Singh,MD Shanaka,2,0,2,171,24,16,3,20,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
120,PBB Rajapaksa,Arshdeep Singh,MD Shanaka,1,0,1,172,25,17,4,20,0,,,,,-,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
121,MD Shanaka,Arshdeep Singh,PBB Rajapaksa,0,2,2,174,33,21,5,20,0,,,,{'byes': 2},byes,field,Sri Lanka,2,Dubai International Cricket Stadium,2022-09-06,Sri Lanka,India
