,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
22,Ishan Kishan,A Nortje,SS Iyer,6,0,6,25,,14,8,1,4,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
23,Ishan Kishan,A Nortje,SS Iyer,0,0,0,25,,14,9,1,5,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
24,Ishan Kishan,A Nortje,SS Iyer,0,0,0,25,,14,10,1,6,-,0,,,3,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
25,SS Iyer,WD Parnell,Ishan Kishan,0,0,0,25,,9,11,1,1,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
26,SS Iyer,WD Parnell,Ishan Kishan,1,0,1,26,,10,12,1,2,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
27,Ishan Kishan,WD Parnell,SS Iyer,4,0,4,30,,18,11,1,3,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
28,Ishan Kishan,WD Parnell,SS Iyer,0,0,0,30,,18,12,1,4,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
29,Ishan Kishan,WD Parnell,SS Iyer,0,0,0,30,,18,13,1,5,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
30,Ishan Kishan,WD Parnell,SS Iyer,1,0,1,31,,19,14,1,6,-,0,,,4,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
31,Ishan Kishan,D Pretorius,SS Iyer,6,0,6,37,,25,15,1,1,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
32,Ishan Kishan,D Pretorius,SS Iyer,1,0,1,38,,26,16,1,2,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
33,SS Iyer,D Pretorius,Ishan Kishan,1,0,1,39,,11,13,1,3,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
34,Ishan Kishan,D Pretorius,SS Iyer,2,0,2,41,,28,17,1,4,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
35,Ishan Kishan,D Pretorius,SS Iyer,1,0,1,42,,29,18,1,5,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
36,SS Iyer,D Pretorius,Ishan Kishan,0,0,0,42,,11,14,1,6,-,0,,,5,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
37,Ishan Kishan,A Nortje,SS Iyer,1,0,1,43,,30,19,1,1,-,0,,,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
38,SS Iyer,A Nortje,Ishan Kishan,1,0,1,44,,12,15,1,2,-,0,,,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
39,Ishan Kishan,A Nortje,SS Iyer,4,0,4,48,,34,20,1,3,-,0,,,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
40,Ishan Kishan,A Nortje,SS Iyer,0,0,0,48,,34,21,2,4,-,caught,Ishan Kishan,HE van der Dussen,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
41,RR Pant,A Nortje,SS Iyer,1,0,1,49,,1,1,2,5,-,0,,,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
42,SS Iyer,A Nortje,RR Pant,1,0,1,50,,13,16,2,6,-,0,,,6,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
43,SS Iyer,D Pretorius,RR Pant,0,0,0,50,,13,17,2,1,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
44,SS Iyer,D Pretorius,RR Pant,1,0,1,51,,14,18,2,2,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
45,RR Pant,D Pretorius,SS Iyer,1,0,1,52,,2,2,2,3,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
46,SS Iyer,D Pretorius,RR Pant,1,0,1,53,,15,19,2,4,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
47,RR Pant,D Pretorius,SS Iyer,1,0,1,54,,3,3,2,5,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
48,SS Iyer,D Pretorius,RR Pant,0,0,0,54,,15,20,2,6,-,0,,,7,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
49,RR Pant,T Shamsi,SS Iyer,1,0,1,55,,4,4,2,1,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
50,SS Iyer,T Shamsi,RR Pant,1,0,1,56,,16,21,2,2,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
51,RR Pant,T Shamsi,SS Iyer,0,0,0,56,,4,5,2,3,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
52,RR Pant,T Shamsi,SS Iyer,1,0,1,57,,5,6,2,4,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
53,SS Iyer,T Shamsi,RR Pant,0,1,1,58,,16,22,2,5,wides,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
54,SS Iyer,T Shamsi,RR Pant,4,0,4,62,,20,23,2,6,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
55,SS Iyer,T Shamsi,RR Pant,6,0,6,68,,26,24,2,7,-,0,,,8,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
56,RR Pant,KA Maharaj,SS Iyer,0,0,0,68,,5,7,3,1,-,caught,RR Pant,HE van der Dussen,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
57,HH Pandya,KA Maharaj,SS Iyer,0,0,0,68,,0,1,3,2,-,0,,,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
58,HH Pandya,KA Maharaj,SS Iyer,1,0,1,69,,1,2,3,3,-,0,,,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
59,SS Iyer,KA Maharaj,HH Pandya,0,0,0,69,,26,25,3,4,-,0,,,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
60,SS Iyer,KA Maharaj,HH Pandya,1,0,1,70,,27,26,3,5,-,0,,,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
61,HH Pandya,KA Maharaj,SS Iyer,1,0,1,71,,2,3,3,6,-,0,,,9,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
62,HH Pandya,T Shamsi,SS Iyer,0,0,0,71,,2,4,3,1,-,0,,,10,"{'by': 'South Africa', 'umpire': 'KN Ananthapadmanabhan', 'batter': 'HH Pandya', 'decision': 'struck down'}",field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
63,HH Pandya,T Shamsi,SS Iyer,1,0,1,72,,3,5,3,2,-,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
64,SS Iyer,T Shamsi,HH Pandya,0,1,1,73,,27,27,3,3,wides,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
65,SS Iyer,T Shamsi,HH Pandya,0,0,0,73,,27,28,3,4,-,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
66,SS Iyer,T Shamsi,HH Pandya,1,0,1,74,,28,29,3,5,-,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
67,HH Pandya,T Shamsi,SS Iyer,0,0,0,74,,3,6,3,6,-,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
68,HH Pandya,T Shamsi,SS Iyer,4,0,4,78,,7,7,3,7,-,0,,,10,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
69,SS Iyer,KA Maharaj,HH Pandya,6,0,6,84,,34,30,3,1,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
70,SS Iyer,KA Maharaj,HH Pandya,1,0,1,85,,35,31,3,2,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
71,HH Pandya,KA Maharaj,SS Iyer,1,0,1,86,,8,8,3,3,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
72,SS Iyer,KA Maharaj,HH Pandya,1,0,1,87,,36,32,3,4,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
73,HH Pandya,KA Maharaj,SS Iyer,0,0,0,87,,8,9,3,5,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
74,HH Pandya,KA Maharaj,SS Iyer,0,0,0,87,,8,10,3,6,-,0,,,11,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
75,SS Iyer,WD Parnell,HH Pandya,1,0,1,88,,37,33,3,1,-,0,,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
76,HH Pandya,WD Parnell,SS Iyer,1,0,1,89,,9,11,3,2,-,0,,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
77,SS Iyer,WD Parnell,HH Pandya,1,0,1,90,,38,34,3,3,-,0,,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
78,HH Pandya,WD Parnell,SS Iyer,0,0,0,90,,9,12,4,4,-,bowled,HH Pandya,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
79,AR Patel,WD Parnell,SS Iyer,1,0,1,91,,1,1,4,5,-,0,,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
80,SS Iyer,WD Parnell,AR Patel,1,0,1,92,,39,35,4,6,-,0,,,12,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
81,SS Iyer,D Pretorius,AR Patel,1,0,1,93,,40,36,4,1,-,0,,,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
82,AR Patel,D Pretorius,SS Iyer,4,0,4,97,,5,2,4,2,-,0,,,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
83,AR Patel,D Pretorius,SS Iyer,0,0,0,97,,5,3,4,3,-,0,,,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
84,AR Patel,D Pretorius,SS Iyer,1,0,1,98,,6,4,4,4,-,0,,,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
85,SS Iyer,D Pretorius,AR Patel,0,0,0,98,,40,37,5,5,-,caught,SS Iyer,H Klaasen,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
86,KD Karthik,D Pretorius,AR Patel,1,0,1,99,,1,1,5,6,-,0,,,13,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
87,KD Karthik,WD Parnell,AR Patel,0,0,0,99,,1,2,5,1,-,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
88,KD Karthik,WD Parnell,AR Patel,1,0,1,100,,2,3,5,2,-,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
89,AR Patel,WD Parnell,KD Karthik,0,1,1,101,,6,5,5,3,wides,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
90,AR Patel,WD Parnell,KD Karthik,0,0,0,101,,6,6,5,4,-,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
91,AR Patel,WD Parnell,KD Karthik,1,0,1,102,,7,7,5,5,-,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
92,KD Karthik,WD Parnell,AR Patel,0,1,1,103,,2,4,5,6,wides,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
93,KD Karthik,WD Parnell,AR Patel,0,0,0,103,,2,5,5,7,-,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
94,KD Karthik,WD Parnell,AR Patel,0,1,1,104,,2,6,5,8,legbyes,0,,,14,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
95,KD Karthik,K Rabada,AR Patel,1,0,1,105,,3,7,5,1,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
96,AR Patel,K Rabada,KD Karthik,1,0,1,106,,8,8,5,2,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
97,KD Karthik,K Rabada,AR Patel,1,0,1,107,,4,8,5,3,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
98,AR Patel,K Rabada,KD Karthik,1,0,1,108,,9,9,5,4,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
99,KD Karthik,K Rabada,AR Patel,0,0,0,108,,4,9,5,5,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
100,KD Karthik,K Rabada,AR Patel,1,0,1,109,,5,10,5,6,-,0,,,15,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
101,KD Karthik,A Nortje,AR Patel,1,0,1,110,,6,11,5,1,-,0,,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
102,AR Patel,A Nortje,KD Karthik,0,0,0,110,,9,10,5,2,-,0,,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
103,AR Patel,A Nortje,KD Karthik,1,0,1,111,,10,11,5,3,-,0,,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
104,KD Karthik,A Nortje,AR Patel,0,0,0,111,,6,12,5,4,-,0,,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
105,KD Karthik,A Nortje,AR Patel,1,0,1,112,,7,13,5,5,-,0,,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
106,AR Patel,A Nortje,KD Karthik,0,0,0,112,,10,12,6,6,-,bowled,AR Patel,,16,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
107,KD Karthik,K Rabada,HV Patel,0,0,0,112,,7,14,6,1,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
108,KD Karthik,K Rabada,HV Patel,1,0,1,113,,8,15,6,2,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
109,HV Patel,K Rabada,KD Karthik,4,0,4,117,,4,1,6,3,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
110,HV Patel,K Rabada,KD Karthik,0,0,0,117,,4,2,6,4,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
111,HV Patel,K Rabada,KD Karthik,0,0,0,117,,4,3,6,5,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
112,HV Patel,K Rabada,KD Karthik,1,0,1,118,,5,4,6,6,-,0,,,17,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
113,HV Patel,A Nortje,KD Karthik,1,0,1,119,,6,5,6,1,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
114,KD Karthik,A Nortje,HV Patel,0,0,0,119,,8,16,6,2,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
115,KD Karthik,A Nortje,HV Patel,1,0,1,120,,9,17,6,3,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
116,HV Patel,A Nortje,KD Karthik,1,0,1,121,,7,6,6,4,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
117,KD Karthik,A Nortje,HV Patel,4,0,4,125,,13,18,6,5,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
118,KD Karthik,A Nortje,HV Patel,0,1,1,126,,13,19,6,6,wides,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
119,KD Karthik,A Nortje,HV Patel,4,0,4,130,,17,20,6,7,-,0,,,18,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
120,HV Patel,D Pretorius,KD Karthik,4,0,4,134,,11,7,6,1,-,0,,,19,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
121,HV Patel,D Pretorius,KD Karthik,0,0,0,134,,11,8,6,2,-,0,,,19,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
122,HV Patel,D Pretorius,KD Karthik,1,0,1,135,,12,9,6,3,-,0,,,19,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
123,KD Karthik,D Pretorius,HV Patel,6,0,6,141,,23,21,6,4,-,0,,,19,,field,South Africa,1,"Barabati Stadium, Cuttack",2022,06,India_South Africa_2022-06-12,South Africa,India,South Africa,False,148
