,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
72,LPC Silva,MR Gillespie,HMCM Bandara,0,0,0,60,,6,11,6,2,-,0,,,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
73,LPC Silva,MR Gillespie,HMCM Bandara,1,0,1,61,,7,12,6,3,-,0,,,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
74,HMCM Bandara,MR Gillespie,LPC Silva,0,0,0,61,,1,2,7,4,-,caught,HMCM Bandara,LRPL Taylor,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
75,SL Malinga,MR Gillespie,LPC Silva,0,0,0,61,,0,1,7,5,-,0,,,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
76,SL Malinga,MR Gillespie,LPC Silva,0,0,0,61,,0,2,7,6,-,0,,,11,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
77,LPC Silva,AR Adams,SL Malinga,0,0,0,61,,7,13,7,1,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
78,LPC Silva,AR Adams,SL Malinga,0,0,0,61,,7,14,7,2,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
79,LPC Silva,AR Adams,SL Malinga,1,0,1,62,,8,15,7,3,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
80,SL Malinga,AR Adams,LPC Silva,0,0,0,62,,0,3,7,4,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
81,SL Malinga,AR Adams,LPC Silva,4,0,4,66,,4,4,7,5,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
82,SL Malinga,AR Adams,LPC Silva,0,0,0,66,,4,5,7,6,-,0,,,12,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
83,LPC Silva,MR Gillespie,SL Malinga,2,0,2,68,,10,16,7,1,-,0,,,13,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
84,LPC Silva,NJ Astle,SL Malinga,1,0,1,69,,11,17,7,2,-,0,,,13,"{'role': [{'in': 'NJ Astle', 'reason': 'injury', 'role': 'bowler'}]}",field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
85,SL Malinga,NJ Astle,LPC Silva,0,0,0,69,,4,6,7,3,-,0,,,13,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
86,SL Malinga,NJ Astle,LPC Silva,0,0,0,69,,4,7,7,4,-,0,,,13,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
87,SL Malinga,NJ Astle,LPC Silva,1,0,1,70,,5,8,7,5,-,0,,,13,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
88,LPC Silva,NJ Astle,SL Malinga,1,0,1,71,,12,18,7,6,-,0,,,13,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
89,LPC Silva,AR Adams,SL Malinga,0,0,0,71,,12,19,8,1,-,caught,LPC Silva,PD McGlashan,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
90,CRD Fernando,AR Adams,SL Malinga,0,0,0,71,,0,1,8,2,-,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
91,CRD Fernando,AR Adams,SL Malinga,0,0,0,71,,0,2,8,3,-,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
92,CRD Fernando,AR Adams,SL Malinga,0,1,1,72,,0,3,8,4,wides,0,,,14,,field,New Zealand,1,Eden Park,2006,12,New Zealand_Sri Lanka_2006-12-26,New Zealand,Sri Lanka,New Zealand,False,115
