,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
13,AJ Finch,M Theekshana,BR McDermott,0,1,1,11,6,7,2,3,{'legbyes': 1},"{'by': 'Sri Lanka', 'umpire': 'SAJ Craig', 'batter': 'AJ Finch', 'decision': 'struck down', 'umpires_call': True}",legbyes,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
14,BR McDermott,M Theekshana,AJ Finch,0,0,0,11,4,8,3,3,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
15,BR McDermott,M Theekshana,AJ Finch,2,0,2,13,6,9,4,3,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
16,BR McDermott,M Theekshana,AJ Finch,4,0,4,17,10,10,5,3,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
17,BR McDermott,M Theekshana,AJ Finch,1,0,1,18,11,11,6,3,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
18,BR McDermott,B Fernando,AJ Finch,1,0,1,19,12,12,1,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
19,AJ Finch,B Fernando,BR McDermott,1,0,1,20,7,8,2,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
20,BR McDermott,B Fernando,AJ Finch,0,0,0,20,12,13,3,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
21,BR McDermott,B Fernando,AJ Finch,1,0,1,21,13,14,4,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
22,AJ Finch,B Fernando,BR McDermott,0,0,0,21,7,9,5,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
23,AJ Finch,B Fernando,BR McDermott,0,0,0,21,7,10,6,4,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
24,BR McDermott,PWH de Silva,AJ Finch,6,0,6,27,19,15,1,5,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
25,BR McDermott,PWH de Silva,AJ Finch,0,1,1,28,19,16,2,5,{'legbyes': 1},,legbyes,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
26,AJ Finch,PWH de Silva,BR McDermott,1,0,1,29,8,11,3,5,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
27,BR McDermott,PWH de Silva,AJ Finch,1,0,1,30,20,17,4,5,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
28,AJ Finch,PWH de Silva,BR McDermott,0,0,0,30,8,12,5,5,,,-,bowled,AJ Finch,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
29,JP Inglis,PWH de Silva,BR McDermott,0,0,0,30,0,1,6,5,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
30,BR McDermott,M Theekshana,JP Inglis,1,0,1,31,21,18,1,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
31,JP Inglis,M Theekshana,BR McDermott,1,0,1,32,1,2,2,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
32,BR McDermott,M Theekshana,JP Inglis,0,0,0,32,21,19,3,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
33,BR McDermott,M Theekshana,JP Inglis,0,0,0,32,21,20,4,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
34,BR McDermott,M Theekshana,JP Inglis,1,0,1,33,22,21,5,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
35,JP Inglis,M Theekshana,BR McDermott,4,0,4,37,5,3,6,6,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
36,BR McDermott,PWH de Silva,JP Inglis,0,0,0,37,22,22,1,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
37,BR McDermott,PWH de Silva,JP Inglis,6,0,6,43,28,23,2,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
38,BR McDermott,PWH de Silva,JP Inglis,1,0,1,44,29,24,3,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
39,JP Inglis,PWH de Silva,BR McDermott,4,0,4,48,9,4,4,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
40,JP Inglis,PWH de Silva,BR McDermott,1,0,1,49,10,5,5,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
41,BR McDermott,PWH de Silva,JP Inglis,0,0,0,49,29,25,6,7,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
42,JP Inglis,C Karunaratne,BR McDermott,0,0,0,49,10,6,1,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
43,JP Inglis,C Karunaratne,BR McDermott,0,0,0,49,10,7,2,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
44,JP Inglis,C Karunaratne,BR McDermott,1,0,1,50,11,8,3,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
45,BR McDermott,C Karunaratne,JP Inglis,1,0,1,51,30,26,4,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
46,JP Inglis,C Karunaratne,BR McDermott,0,0,0,51,11,9,5,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
47,JP Inglis,C Karunaratne,BR McDermott,0,1,1,52,11,10,6,8,{'wides': 1},,wides,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
48,JP Inglis,C Karunaratne,BR McDermott,1,0,1,53,12,11,7,8,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
49,JP Inglis,MD Shanaka,BR McDermott,2,0,2,55,14,12,1,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
50,JP Inglis,MD Shanaka,BR McDermott,2,0,2,57,16,13,2,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
51,JP Inglis,MD Shanaka,BR McDermott,1,0,1,58,17,14,3,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
52,BR McDermott,MD Shanaka,JP Inglis,1,0,1,59,31,27,4,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
53,JP Inglis,MD Shanaka,BR McDermott,1,0,1,60,18,15,5,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
54,BR McDermott,MD Shanaka,JP Inglis,1,0,1,61,32,28,6,9,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
55,BR McDermott,PVD Chameera,JP Inglis,6,0,6,67,38,29,1,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
56,BR McDermott,PVD Chameera,JP Inglis,1,0,1,68,39,30,2,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
57,JP Inglis,PVD Chameera,BR McDermott,1,0,1,69,19,16,3,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
58,BR McDermott,PVD Chameera,JP Inglis,0,0,0,69,39,31,4,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
59,BR McDermott,PVD Chameera,JP Inglis,4,0,4,73,43,32,5,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
60,BR McDermott,PVD Chameera,JP Inglis,2,0,2,75,45,33,6,10,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
61,JP Inglis,C Karunaratne,BR McDermott,0,0,0,75,19,17,1,11,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
62,JP Inglis,C Karunaratne,BR McDermott,0,1,1,76,19,18,2,11,{'wides': 1},,wides,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
63,JP Inglis,C Karunaratne,BR McDermott,4,0,4,80,23,19,3,11,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
64,JP Inglis,C Karunaratne,BR McDermott,0,0,0,80,23,20,4,11,,,-,bowled,JP Inglis,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
65,GJ Maxwell,C Karunaratne,BR McDermott,0,0,0,80,0,1,5,11,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
66,GJ Maxwell,C Karunaratne,BR McDermott,1,0,1,81,1,2,6,11,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
67,BR McDermott,C Karunaratne,GJ Maxwell,0,1,1,82,45,34,7,11,{'wides': 1},,wides,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
68,BR McDermott,C Karunaratne,GJ Maxwell,1,0,1,83,46,35,8,11,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
69,BR McDermott,PWH de Silva,GJ Maxwell,1,0,1,84,47,36,1,12,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
70,GJ Maxwell,PWH de Silva,BR McDermott,4,0,4,88,5,3,2,12,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
71,GJ Maxwell,PWH de Silva,BR McDermott,2,0,2,90,7,4,3,12,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
72,GJ Maxwell,PWH de Silva,BR McDermott,0,0,0,90,7,5,4,12,,,-,caught,GJ Maxwell,C Karunaratne,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
73,BR McDermott,PWH de Silva,SPD Smith,0,0,0,90,47,37,5,12,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
74,BR McDermott,PWH de Silva,SPD Smith,2,0,2,92,49,38,6,12,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
75,SPD Smith,C Karunaratne,BR McDermott,1,0,1,93,1,1,1,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
76,BR McDermott,C Karunaratne,SPD Smith,2,0,2,95,51,39,2,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
77,BR McDermott,C Karunaratne,SPD Smith,1,0,1,96,52,40,3,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
78,SPD Smith,C Karunaratne,BR McDermott,0,0,0,96,1,2,4,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
79,SPD Smith,C Karunaratne,BR McDermott,0,0,0,96,1,3,5,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
80,SPD Smith,C Karunaratne,BR McDermott,1,0,1,97,2,4,6,13,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
81,SPD Smith,PWH de Silva,BR McDermott,4,0,4,101,6,5,1,14,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
82,SPD Smith,PWH de Silva,BR McDermott,1,0,1,102,7,6,2,14,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
83,BR McDermott,PWH de Silva,SPD Smith,1,0,1,103,53,41,3,14,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
84,SPD Smith,PWH de Silva,BR McDermott,2,0,2,105,9,7,4,14,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
85,SPD Smith,PWH de Silva,BR McDermott,0,0,0,105,9,8,5,14,,,-,bowled,SPD Smith,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
86,MP Stoinis,PWH de Silva,BR McDermott,1,0,1,106,1,1,6,14,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
87,MP Stoinis,C Karunaratne,BR McDermott,1,0,1,107,2,2,1,15,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
88,BR McDermott,C Karunaratne,MP Stoinis,0,0,0,107,53,42,2,15,,,-,lbw,BR McDermott,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
89,MS Wade,C Karunaratne,MP Stoinis,1,0,1,108,1,1,3,15,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
90,MP Stoinis,C Karunaratne,MS Wade,1,0,1,109,3,3,4,15,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
91,MS Wade,C Karunaratne,MP Stoinis,1,0,1,110,2,2,5,15,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
92,MP Stoinis,C Karunaratne,MS Wade,1,0,1,111,4,4,6,15,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
93,MP Stoinis,M Theekshana,MS Wade,0,0,0,111,4,5,1,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
94,MP Stoinis,M Theekshana,MS Wade,6,0,6,117,10,6,2,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
95,MP Stoinis,M Theekshana,MS Wade,2,0,2,119,12,7,3,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
96,MP Stoinis,M Theekshana,MS Wade,4,0,4,123,16,8,4,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
97,MP Stoinis,M Theekshana,MS Wade,0,0,0,123,16,9,5,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
98,MP Stoinis,M Theekshana,MS Wade,1,0,1,124,17,10,6,16,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
99,MP Stoinis,PVD Chameera,MS Wade,0,0,0,124,17,11,1,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
100,MP Stoinis,PVD Chameera,MS Wade,4,0,4,128,21,12,2,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
101,MP Stoinis,PVD Chameera,MS Wade,2,0,2,130,23,13,3,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
102,MP Stoinis,PVD Chameera,MS Wade,6,0,6,136,29,14,4,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
103,MP Stoinis,PVD Chameera,MS Wade,1,0,1,137,30,15,5,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
104,MS Wade,PVD Chameera,MP Stoinis,0,1,1,138,2,3,6,17,{'wides': 1},,wides,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
105,MS Wade,PVD Chameera,MP Stoinis,2,0,2,140,4,4,7,17,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
106,MP Stoinis,B Fernando,MS Wade,0,1,1,141,30,16,1,18,{'legbyes': 1},,legbyes,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
107,MS Wade,B Fernando,MP Stoinis,0,0,0,141,4,5,2,18,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
108,MS Wade,B Fernando,MP Stoinis,0,0,0,141,4,6,3,18,,,-,caught,MS Wade,MD Shanaka,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
109,MP Stoinis,B Fernando,PJ Cummins,0,0,0,141,30,17,4,18,,,-,bowled,MP Stoinis,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
110,MA Starc,B Fernando,PJ Cummins,1,0,1,142,1,1,5,18,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
111,PJ Cummins,B Fernando,MA Starc,1,0,1,143,1,1,6,18,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
112,PJ Cummins,PVD Chameera,MA Starc,1,0,1,144,2,2,1,19,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
113,MA Starc,PVD Chameera,PJ Cummins,0,0,0,144,1,2,2,19,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
114,MA Starc,PVD Chameera,PJ Cummins,0,0,0,144,1,3,3,19,,,-,bowled,MA Starc,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
115,A Zampa,PVD Chameera,PJ Cummins,1,0,1,145,1,1,4,19,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
116,PJ Cummins,PVD Chameera,A Zampa,0,0,0,145,2,3,5,19,,,-,caught,PJ Cummins,C Karunaratne,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
117,A Zampa,PVD Chameera,JR Hazlewood,1,0,1,146,2,2,6,19,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
118,A Zampa,B Fernando,JR Hazlewood,0,0,0,146,2,3,1,20,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
119,A Zampa,B Fernando,JR Hazlewood,0,0,0,146,2,4,2,20,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
120,A Zampa,B Fernando,JR Hazlewood,0,0,0,146,2,5,3,20,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
121,A Zampa,B Fernando,JR Hazlewood,0,1,1,147,2,6,4,20,{'legbyes': 1},,legbyes,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
122,JR Hazlewood,B Fernando,A Zampa,0,0,0,147,0,1,5,20,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
123,JR Hazlewood,B Fernando,A Zampa,2,0,2,149,2,2,6,20,,,-,0,,,field,Sri Lanka,1,Sydney Cricket Ground,2022-02-11,Australia,Sri Lanka
