,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,replacements,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
59,AJ Finch,C Karunaratne,GJ Maxwell,1,0,1,69,21,25,5,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
60,GJ Maxwell,C Karunaratne,AJ Finch,1,0,1,70,33,22,6,0,,,10,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
61,GJ Maxwell,M Theekshana,AJ Finch,4,0,4,74,37,23,1,0,,,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
62,GJ Maxwell,M Theekshana,AJ Finch,2,0,2,76,39,24,2,0,,,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
63,GJ Maxwell,M Theekshana,AJ Finch,0,0,0,76,39,25,3,0,,,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
64,GJ Maxwell,M Theekshana,AJ Finch,0,0,0,76,39,26,4,caught,GJ Maxwell,BKG Mendis,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
65,AJ Finch,M Theekshana,JP Inglis,1,0,1,77,22,26,5,0,,,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
66,JP Inglis,M Theekshana,AJ Finch,0,0,0,77,0,1,6,0,,,11,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
67,AJ Finch,PVD Chameera,JP Inglis,1,0,1,78,23,27,1,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
68,JP Inglis,PVD Chameera,AJ Finch,1,0,1,79,1,2,2,0,,,12,-,,,field,Australia,2,"Manuka Oval, Canberra",2022-02-15,Australia,Sri Lanka
