,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
67,JM Bairstow,MJ Santner,HC Brook,,4,0,4,89,52,40,2,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
68,JM Bairstow,MJ Santner,HC Brook,,1,0,1,90,53,41,3,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
69,HC Brook,MJ Santner,JM Bairstow,,0,1,1,91,17,14,4,12,0,,,wides,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
70,HC Brook,MJ Santner,JM Bairstow,,2,0,2,93,19,15,5,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
71,HC Brook,MJ Santner,JM Bairstow,,1,0,1,94,20,16,6,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
72,JM Bairstow,MJ Santner,HC Brook,,1,0,1,95,54,42,7,12,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
73,JM Bairstow,TG Southee,HC Brook,,6,0,6,101,60,43,1,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
74,JM Bairstow,TG Southee,HC Brook,,4,0,4,105,64,44,2,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
75,JM Bairstow,TG Southee,HC Brook,,6,0,6,111,70,45,3,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
76,JM Bairstow,TG Southee,HC Brook,,1,0,1,112,71,46,4,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
77,HC Brook,TG Southee,JM Bairstow,,6,0,6,118,26,17,5,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
78,HC Brook,TG Southee,JM Bairstow,,0,0,0,118,26,18,6,13,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
79,JM Bairstow,IS Sodhi,HC Brook,,6,0,6,124,77,47,1,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
80,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,125,78,48,2,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
81,HC Brook,IS Sodhi,JM Bairstow,,4,0,4,129,30,19,3,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
82,HC Brook,IS Sodhi,JM Bairstow,,1,0,1,130,31,20,4,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
83,JM Bairstow,IS Sodhi,HC Brook,,1,0,1,131,79,49,5,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
84,HC Brook,IS Sodhi,JM Bairstow,,1,0,1,132,32,21,6,14,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
85,HC Brook,AF Milne,JM Bairstow,,1,0,1,133,33,22,1,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
86,JM Bairstow,AF Milne,HC Brook,,1,0,1,134,80,50,2,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
87,HC Brook,AF Milne,JM Bairstow,,1,0,1,135,34,23,3,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
88,JM Bairstow,AF Milne,HC Brook,,2,0,2,137,82,51,4,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
89,JM Bairstow,AF Milne,HC Brook,,1,0,1,138,83,52,5,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
90,HC Brook,AF Milne,JM Bairstow,,2,0,2,140,36,24,6,15,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
91,JM Bairstow,LH Ferguson,HC Brook,,1,0,1,141,84,53,1,16,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
92,HC Brook,LH Ferguson,JM Bairstow,,0,0,0,141,36,25,2,16,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
93,HC Brook,LH Ferguson,JM Bairstow,,4,1,5,146,40,26,3,16,0,,,noballs,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
94,HC Brook,LH Ferguson,JM Bairstow,,2,0,2,148,42,27,4,16,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
95,HC Brook,LH Ferguson,JM Bairstow,,4,0,4,152,46,28,5,16,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
96,HC Brook,LH Ferguson,JM Bairstow,,0,0,0,152,46,29,6,16,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
97,HC Brook,LH Ferguson,JM Bairstow,,0,1,1,153,46,30,7,16,0,,,legbyes,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
98,HC Brook,TG Southee,JM Bairstow,,0,0,0,153,46,31,1,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
99,HC Brook,TG Southee,JM Bairstow,,6,0,6,159,52,32,2,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
100,HC Brook,TG Southee,JM Bairstow,,4,0,4,163,56,33,3,17,0,,,-,bat,England,1,"Old Trafford, Manchester",2023-09-01,England,New Zealand
