,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
17,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,10,89,4,9,0,5,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
18,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,10,89,4,10,0,6,-,3,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
19,KL Rahul,T Muzarabani,Mandeep Singh,0,0,0,10,89,5,10,0,1,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
20,KL Rahul,T Muzarabani,Mandeep Singh,4,0,4,14,85,9,11,0,2,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
21,KL Rahul,T Muzarabani,Mandeep Singh,0,0,0,14,85,9,12,0,3,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
22,KL Rahul,T Muzarabani,Mandeep Singh,2,0,2,16,83,11,13,0,4,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
23,KL Rahul,T Muzarabani,Mandeep Singh,2,0,2,18,81,13,14,0,5,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
24,KL Rahul,T Muzarabani,Mandeep Singh,0,0,0,18,81,13,15,0,6,-,4,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
25,Mandeep Singh,N Madziva,KL Rahul,4,0,4,22,77,8,11,0,1,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
26,Mandeep Singh,N Madziva,KL Rahul,4,0,4,26,73,12,12,0,2,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
27,Mandeep Singh,N Madziva,KL Rahul,1,0,1,27,72,13,13,0,3,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
28,KL Rahul,N Madziva,Mandeep Singh,0,0,0,27,72,13,16,0,4,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
29,KL Rahul,N Madziva,Mandeep Singh,1,0,1,28,71,14,17,0,5,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
30,Mandeep Singh,N Madziva,KL Rahul,0,0,0,28,71,13,14,0,6,-,5,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
31,KL Rahul,T Muzarabani,Mandeep Singh,0,0,0,28,71,14,18,0,1,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
32,KL Rahul,T Muzarabani,Mandeep Singh,4,0,4,32,67,18,19,0,2,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
33,KL Rahul,T Muzarabani,Mandeep Singh,0,0,0,32,67,18,20,0,3,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
34,KL Rahul,T Muzarabani,Mandeep Singh,2,0,2,34,65,20,21,0,4,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
35,KL Rahul,T Muzarabani,Mandeep Singh,1,0,1,35,64,21,22,0,5,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
36,Mandeep Singh,T Muzarabani,KL Rahul,2,0,2,37,62,15,15,0,6,-,6,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
37,KL Rahul,AG Cremer,Mandeep Singh,1,0,1,38,61,22,23,0,1,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
38,Mandeep Singh,AG Cremer,KL Rahul,4,0,4,42,57,19,16,0,2,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
39,Mandeep Singh,AG Cremer,KL Rahul,1,0,1,43,56,20,17,0,3,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
40,KL Rahul,AG Cremer,Mandeep Singh,1,0,1,44,55,23,24,0,4,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
41,Mandeep Singh,AG Cremer,KL Rahul,0,0,0,44,55,20,18,0,5,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
42,Mandeep Singh,AG Cremer,KL Rahul,1,0,1,45,54,21,19,0,6,-,7,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
43,Mandeep Singh,CJ Chibhabha,KL Rahul,1,0,1,46,53,22,20,0,1,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
44,KL Rahul,CJ Chibhabha,Mandeep Singh,1,0,1,47,52,24,25,0,2,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
45,Mandeep Singh,CJ Chibhabha,KL Rahul,0,0,0,47,52,22,21,0,3,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
46,Mandeep Singh,CJ Chibhabha,KL Rahul,6,0,6,53,46,28,22,0,4,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
47,Mandeep Singh,CJ Chibhabha,KL Rahul,1,0,1,54,45,29,23,0,5,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
48,KL Rahul,CJ Chibhabha,Mandeep Singh,1,0,1,55,44,25,26,0,6,-,8,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
49,KL Rahul,AG Cremer,Mandeep Singh,0,0,0,55,44,25,27,0,1,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
50,KL Rahul,AG Cremer,Mandeep Singh,2,0,2,57,42,27,28,0,2,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
51,KL Rahul,AG Cremer,Mandeep Singh,1,0,1,58,41,28,29,0,3,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
52,Mandeep Singh,AG Cremer,KL Rahul,1,0,1,59,40,30,24,0,4,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
53,KL Rahul,AG Cremer,Mandeep Singh,0,2,2,61,38,28,30,0,5,wides,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
54,Mandeep Singh,AG Cremer,KL Rahul,0,0,0,61,38,30,25,0,6,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
55,Mandeep Singh,AG Cremer,KL Rahul,0,0,0,61,38,30,26,0,7,-,9,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
56,KL Rahul,CJ Chibhabha,Mandeep Singh,1,0,1,62,37,29,31,0,1,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
57,Mandeep Singh,CJ Chibhabha,KL Rahul,1,0,1,63,36,31,27,0,2,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
58,KL Rahul,CJ Chibhabha,Mandeep Singh,1,0,1,64,35,30,32,0,3,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
59,Mandeep Singh,CJ Chibhabha,KL Rahul,1,1,2,66,33,32,28,0,4,noballs,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
60,KL Rahul,CJ Chibhabha,Mandeep Singh,6,0,6,72,27,36,33,0,5,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
61,KL Rahul,CJ Chibhabha,Mandeep Singh,1,0,1,73,26,37,34,0,6,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
62,Mandeep Singh,CJ Chibhabha,KL Rahul,1,0,1,74,25,33,29,0,7,-,10,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
63,Mandeep Singh,AG Cremer,KL Rahul,1,0,1,75,24,34,30,0,1,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
64,KL Rahul,AG Cremer,Mandeep Singh,6,0,6,81,18,43,35,0,2,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
65,KL Rahul,AG Cremer,Mandeep Singh,0,0,0,81,18,43,36,0,3,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
66,KL Rahul,AG Cremer,Mandeep Singh,1,0,1,82,17,44,37,0,4,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
67,Mandeep Singh,AG Cremer,KL Rahul,1,0,1,83,16,35,31,0,5,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
68,KL Rahul,AG Cremer,Mandeep Singh,1,0,1,84,15,45,38,0,6,-,11,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
69,KL Rahul,Sikandar Raza,Mandeep Singh,0,0,0,84,15,45,39,0,1,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
70,KL Rahul,Sikandar Raza,Mandeep Singh,1,0,1,85,14,46,40,0,2,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
71,Mandeep Singh,Sikandar Raza,KL Rahul,0,0,0,85,14,35,32,0,3,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
72,Mandeep Singh,Sikandar Raza,KL Rahul,2,0,2,87,12,37,33,0,4,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
73,Mandeep Singh,Sikandar Raza,KL Rahul,2,0,2,89,10,39,34,0,5,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
74,Mandeep Singh,Sikandar Raza,KL Rahul,4,0,4,93,6,43,35,0,6,-,12,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
75,KL Rahul,DT Tiripano,Mandeep Singh,0,0,0,93,6,46,41,0,1,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
76,KL Rahul,DT Tiripano,Mandeep Singh,1,0,1,94,5,47,42,0,2,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
77,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,94,5,43,36,0,3,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
78,Mandeep Singh,DT Tiripano,KL Rahul,4,0,4,98,1,47,37,0,4,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
79,Mandeep Singh,DT Tiripano,KL Rahul,0,0,0,98,1,47,38,0,5,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
80,Mandeep Singh,DT Tiripano,KL Rahul,1,0,1,99,0,48,39,0,6,-,13,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
81,Mandeep Singh,N Madziva,KL Rahul,4,0,4,103,-4,52,40,0,1,-,14,0,bat,Zimbabwe,2,Harare Sports Club,2016,06,Zimbabwe_India_2016-06-20,India,India,Zimbabwe,103
