,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
68,RR Hendricks,PWH de Silva,Q de Kock,1,0,1,88,32,41,35,0,1,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
69,Q de Kock,PWH de Silva,RR Hendricks,0,0,0,88,32,41,35,0,2,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
70,Q de Kock,PWH de Silva,RR Hendricks,1,0,1,89,31,42,36,0,3,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
71,RR Hendricks,PWH de Silva,Q de Kock,1,0,1,90,30,42,36,0,4,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
72,Q de Kock,PWH de Silva,RR Hendricks,4,0,4,94,26,46,37,0,5,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
73,Q de Kock,PWH de Silva,RR Hendricks,1,0,1,95,25,47,38,0,6,-,12,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
74,Q de Kock,MD Shanaka,RR Hendricks,2,0,2,97,23,49,39,0,1,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
75,Q de Kock,MD Shanaka,RR Hendricks,1,0,1,98,22,50,40,0,2,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
76,RR Hendricks,MD Shanaka,Q de Kock,4,0,4,102,18,46,37,0,3,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
77,RR Hendricks,MD Shanaka,Q de Kock,1,0,1,103,17,47,38,0,4,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
78,Q de Kock,MD Shanaka,RR Hendricks,2,0,2,105,15,52,41,0,5,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
79,Q de Kock,MD Shanaka,RR Hendricks,4,0,4,109,11,56,42,0,6,-,13,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
80,RR Hendricks,PHKD Mendis,Q de Kock,1,0,1,110,10,48,39,0,1,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
81,Q de Kock,PHKD Mendis,RR Hendricks,1,0,1,111,9,57,43,0,2,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
82,RR Hendricks,PHKD Mendis,Q de Kock,2,0,2,113,7,50,40,0,3,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
83,RR Hendricks,PHKD Mendis,Q de Kock,1,0,1,114,6,51,41,0,4,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
84,Q de Kock,PHKD Mendis,RR Hendricks,0,0,0,114,6,57,44,0,5,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
85,Q de Kock,PHKD Mendis,RR Hendricks,0,0,0,114,6,57,45,0,6,-,14,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
86,RR Hendricks,C Karunaratne,Q de Kock,2,0,2,116,4,53,42,0,1,-,15,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
87,RR Hendricks,C Karunaratne,Q de Kock,2,0,2,118,2,55,43,0,2,-,15,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
88,RR Hendricks,C Karunaratne,Q de Kock,1,0,1,119,1,56,44,0,3,-,15,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
89,Q de Kock,C Karunaratne,RR Hendricks,2,0,2,121,-1,59,46,0,4,-,15,,0,bat,Sri Lanka,2,"R Premadasa Stadium, Colombo",2021,09,Sri Lanka_South Africa_2021-09-14,South Africa,South Africa,Sri Lanka,121
