,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
32,Q de Kock,SM Curran,F du Plessis,1,0,1,55,86,22,12,1,3,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
33,F du Plessis,SM Curran,Q de Kock,1,0,1,56,85,29,17,1,4,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
34,Q de Kock,SM Curran,F du Plessis,0,0,0,56,85,22,13,1,5,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
35,Q de Kock,SM Curran,F du Plessis,1,0,1,57,84,23,14,1,6,0,,,6,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
36,Q de Kock,AU Rashid,F du Plessis,1,0,1,58,83,24,15,1,1,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
37,F du Plessis,AU Rashid,Q de Kock,1,0,1,59,82,30,18,1,2,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
38,Q de Kock,AU Rashid,F du Plessis,1,0,1,60,81,25,16,1,3,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
39,F du Plessis,AU Rashid,Q de Kock,1,0,1,61,80,31,19,1,4,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
40,Q de Kock,AU Rashid,F du Plessis,1,0,1,62,79,26,17,1,5,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
41,F du Plessis,AU Rashid,Q de Kock,1,0,1,63,78,32,20,1,6,0,,,7,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
42,F du Plessis,CJ Jordan,Q de Kock,0,0,0,63,78,32,21,1,1,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
43,F du Plessis,CJ Jordan,Q de Kock,2,0,2,65,76,34,22,1,2,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
44,F du Plessis,CJ Jordan,Q de Kock,4,0,4,69,72,38,23,1,3,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
45,F du Plessis,CJ Jordan,Q de Kock,1,0,1,70,71,39,24,1,4,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
46,Q de Kock,CJ Jordan,F du Plessis,1,0,1,71,70,27,18,1,5,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
47,F du Plessis,CJ Jordan,Q de Kock,0,0,0,71,70,39,25,1,6,0,,,8,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
48,Q de Kock,AU Rashid,F du Plessis,0,2,2,73,68,27,19,1,1,0,,,9,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
49,F du Plessis,AU Rashid,Q de Kock,1,0,1,74,67,40,26,1,2,0,,,9,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
50,Q de Kock,AU Rashid,F du Plessis,2,0,2,76,65,29,20,1,3,0,,,9,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
51,Q de Kock,AU Rashid,F du Plessis,0,0,0,76,65,29,21,1,4,0,,,9,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
