,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
104,DP Conway,Haris Rauf,GD Phillips,0,0,0,116,27,24,1,18,-,caught,DP Conway,Babar Azam,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
105,GD Phillips,Haris Rauf,TL Seifert,0,0,0,116,13,14,2,18,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
106,GD Phillips,Haris Rauf,TL Seifert,0,0,0,116,13,15,3,18,-,caught,GD Phillips,Hasan Ali,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
107,TL Seifert,Haris Rauf,MJ Santner,2,0,2,118,2,1,4,18,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
108,TL Seifert,Haris Rauf,MJ Santner,0,0,0,118,2,2,5,18,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
109,TL Seifert,Haris Rauf,MJ Santner,1,0,1,119,3,3,6,18,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
110,TL Seifert,Shaheen Shah Afridi,MJ Santner,0,0,0,119,3,4,1,19,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
111,TL Seifert,Shaheen Shah Afridi,MJ Santner,0,0,0,119,3,5,2,19,-,0,,,"{'by': 'Pakistan', 'umpire': 'MA Gough', 'batter': 'TL Seifert', 'decision': 'struck down'}",field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
112,TL Seifert,Shaheen Shah Afridi,MJ Santner,1,0,1,120,4,6,3,19,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
113,MJ Santner,Shaheen Shah Afridi,TL Seifert,0,1,1,121,0,1,4,19,legbyes,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
114,TL Seifert,Shaheen Shah Afridi,MJ Santner,4,0,4,125,8,7,5,19,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
115,TL Seifert,Shaheen Shah Afridi,MJ Santner,0,0,0,125,8,8,6,19,-,caught,TL Seifert,Mohammad Hafeez,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
116,IS Sodhi,Haris Rauf,MJ Santner,1,0,1,126,1,1,1,20,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
117,MJ Santner,Haris Rauf,IS Sodhi,2,0,2,128,2,2,2,20,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
118,MJ Santner,Haris Rauf,IS Sodhi,0,1,1,129,2,3,3,20,byes,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
119,IS Sodhi,Haris Rauf,MJ Santner,1,0,1,130,2,2,4,20,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
120,MJ Santner,Haris Rauf,IS Sodhi,4,0,4,134,6,4,5,20,-,0,,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
121,MJ Santner,Haris Rauf,IS Sodhi,0,0,0,134,6,5,6,20,-,bowled,MJ Santner,,,field,Pakistan,1,Sharjah Cricket Stadium,2021-10-26,Pakistan,New Zealand,Pakistan
