,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
13,CH Gayle,Mustafizur Rahman,E Lewis,0,0,0,9,145,3,8,0,1,-,3,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
14,CH Gayle,Mustafizur Rahman,E Lewis,1,0,1,10,144,4,9,0,2,-,3,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
15,E Lewis,Mustafizur Rahman,CH Gayle,1,0,1,11,143,6,7,0,3,-,3,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
16,CH Gayle,Mustafizur Rahman,E Lewis,0,1,1,12,142,4,10,0,4,legbyes,3,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
17,E Lewis,Mustafizur Rahman,CH Gayle,0,0,0,12,142,6,8,0,5,-,3,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
18,E Lewis,Mustafizur Rahman,CH Gayle,0,0,0,12,142,6,9,1,6,-,3,caught,E Lewis,Mushfiqur Rahim,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
19,RL Chase,Taskin Ahmed,CH Gayle,2,0,2,14,140,2,1,1,1,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
20,RL Chase,Taskin Ahmed,CH Gayle,2,0,2,16,138,4,2,1,2,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
21,RL Chase,Taskin Ahmed,CH Gayle,0,0,0,16,138,4,3,1,3,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
22,RL Chase,Taskin Ahmed,CH Gayle,0,0,0,16,138,4,4,1,4,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
23,RL Chase,Taskin Ahmed,CH Gayle,0,0,0,16,138,4,5,1,5,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
24,RL Chase,Taskin Ahmed,CH Gayle,1,0,1,17,137,5,6,1,6,-,4,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
25,RL Chase,Mahedi Hasan,CH Gayle,1,0,1,18,136,6,7,1,1,-,5,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
26,CH Gayle,Mahedi Hasan,RL Chase,0,0,0,18,136,4,11,2,2,-,5,bowled,CH Gayle,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
27,SO Hetmyer,Mahedi Hasan,RL Chase,1,0,1,19,135,1,1,2,3,-,5,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
28,RL Chase,Mahedi Hasan,SO Hetmyer,0,0,0,19,135,6,8,2,4,-,5,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
29,RL Chase,Mahedi Hasan,SO Hetmyer,1,0,1,20,134,7,9,2,5,-,5,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
30,SO Hetmyer,Mahedi Hasan,RL Chase,0,1,1,21,133,1,2,2,6,legbyes,5,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
31,SO Hetmyer,Shoriful Islam,RL Chase,4,0,4,25,129,5,3,2,1,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
32,SO Hetmyer,Shoriful Islam,RL Chase,1,0,1,26,128,6,4,2,2,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
33,RL Chase,Shoriful Islam,SO Hetmyer,0,0,0,26,128,7,10,2,3,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
34,RL Chase,Shoriful Islam,SO Hetmyer,0,0,0,26,128,7,11,2,4,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
35,RL Chase,Shoriful Islam,SO Hetmyer,1,0,1,27,127,8,12,2,5,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
36,SO Hetmyer,Shoriful Islam,RL Chase,2,0,2,29,125,8,5,2,6,-,6,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
37,RL Chase,Mahedi Hasan,SO Hetmyer,1,0,1,30,124,9,13,2,1,-,7,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
38,SO Hetmyer,Mahedi Hasan,RL Chase,1,0,1,31,123,9,6,2,2,-,7,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
39,RL Chase,Mahedi Hasan,SO Hetmyer,1,0,1,32,122,10,14,2,3,-,7,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
40,SO Hetmyer,Mahedi Hasan,RL Chase,0,0,0,32,122,9,7,3,4,-,7,caught,SO Hetmyer,Soumya Sarkar,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
41,RL Chase,Mahedi Hasan,KA Pollard,0,0,0,32,122,10,15,3,5,-,7,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
42,RL Chase,Mahedi Hasan,KA Pollard,1,0,1,33,121,11,16,3,6,-,7,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
43,RL Chase,Taskin Ahmed,KA Pollard,0,1,1,34,120,11,17,3,1,legbyes,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
44,KA Pollard,Taskin Ahmed,RL Chase,0,0,0,34,120,0,1,3,2,-,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
45,KA Pollard,Taskin Ahmed,RL Chase,0,1,1,35,119,0,2,3,3,byes,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
46,RL Chase,Taskin Ahmed,KA Pollard,2,0,2,37,117,13,18,3,4,-,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
47,RL Chase,Taskin Ahmed,KA Pollard,1,0,1,38,116,14,19,3,5,-,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
48,KA Pollard,Taskin Ahmed,RL Chase,1,0,1,39,115,1,3,3,6,-,8,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
49,KA Pollard,Shoriful Islam,RL Chase,1,0,1,40,114,2,4,3,1,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
50,RL Chase,Shoriful Islam,KA Pollard,2,0,2,42,112,16,20,3,2,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
51,RL Chase,Shoriful Islam,KA Pollard,0,0,0,42,112,16,21,3,3,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
52,RL Chase,Shoriful Islam,KA Pollard,0,0,0,42,112,16,22,3,4,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
53,RL Chase,Shoriful Islam,KA Pollard,1,0,1,43,111,17,23,3,5,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
54,KA Pollard,Shoriful Islam,RL Chase,0,1,1,44,110,2,5,3,6,wides,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
55,KA Pollard,Shoriful Islam,RL Chase,0,0,0,44,110,2,6,3,7,-,9,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
56,RL Chase,Shakib Al Hasan,KA Pollard,1,0,1,45,109,18,24,3,1,-,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
57,KA Pollard,Shakib Al Hasan,RL Chase,0,0,0,45,109,2,7,3,2,-,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
58,KA Pollard,Shakib Al Hasan,RL Chase,0,1,1,46,108,2,8,3,3,legbyes,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
59,RL Chase,Shakib Al Hasan,KA Pollard,1,0,1,47,107,19,25,3,4,-,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
60,KA Pollard,Shakib Al Hasan,RL Chase,1,0,1,48,106,3,9,3,5,-,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
61,RL Chase,Shakib Al Hasan,KA Pollard,0,0,0,48,106,19,26,3,6,-,10,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
62,KA Pollard,Mustafizur Rahman,RL Chase,1,0,1,49,105,4,10,3,1,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
63,RL Chase,Mustafizur Rahman,KA Pollard,0,1,1,50,104,19,27,3,2,wides,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
64,RL Chase,Mustafizur Rahman,KA Pollard,0,0,0,50,104,19,28,3,3,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
65,RL Chase,Mustafizur Rahman,KA Pollard,0,0,0,50,104,19,29,3,4,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
66,RL Chase,Mustafizur Rahman,KA Pollard,1,0,1,51,103,20,30,3,5,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
67,KA Pollard,Mustafizur Rahman,RL Chase,1,0,1,52,102,5,11,3,6,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
68,RL Chase,Mustafizur Rahman,KA Pollard,4,0,4,56,98,24,31,3,7,-,11,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
69,KA Pollard,Shakib Al Hasan,RL Chase,0,1,1,57,97,5,12,3,1,legbyes,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
70,RL Chase,Shakib Al Hasan,KA Pollard,1,0,1,58,96,25,32,3,2,-,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
71,KA Pollard,Shakib Al Hasan,RL Chase,1,0,1,59,95,6,13,3,3,-,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
72,RL Chase,Shakib Al Hasan,KA Pollard,1,0,1,60,94,26,33,3,4,-,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
73,KA Pollard,Shakib Al Hasan,RL Chase,1,0,1,61,93,7,14,3,5,-,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
74,RL Chase,Shakib Al Hasan,KA Pollard,0,0,0,61,93,26,34,3,6,-,12,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
75,KA Pollard,Taskin Ahmed,RL Chase,0,0,0,61,93,7,15,3,1,-,13,0,,,"{'by': 'Bangladesh', 'umpire': 'RJ Tucker', 'batter': 'KA Pollard', 'decision': 'struck down'}",,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
76,KA Pollard,Taskin Ahmed,RL Chase,0,0,0,61,93,7,16,3,2,-,13,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
77,KA Pollard,Taskin Ahmed,RL Chase,1,0,1,62,92,8,17,3,3,-,13,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
78,RL Chase,Taskin Ahmed,AD Russell,0,0,0,62,92,26,35,4,4,-,13,run out,AD Russell,Taskin Ahmed,,"{'role': [{'in': 'AD Russell', 'out': 'KA Pollard', 'reason': 'injury', 'role': 'batter'}]}",field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
79,RL Chase,Taskin Ahmed,N Pooran,1,0,1,63,91,27,36,4,5,-,13,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
80,N Pooran,Taskin Ahmed,RL Chase,1,0,1,64,90,1,1,4,6,-,13,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
81,N Pooran,Shakib Al Hasan,RL Chase,1,0,1,65,89,2,2,4,1,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
82,RL Chase,Shakib Al Hasan,N Pooran,1,0,1,66,88,28,37,4,2,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
83,N Pooran,Shakib Al Hasan,RL Chase,0,0,0,66,88,2,3,4,3,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
84,N Pooran,Shakib Al Hasan,RL Chase,0,1,1,67,87,2,4,4,4,wides,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
85,N Pooran,Shakib Al Hasan,RL Chase,1,0,1,68,86,3,5,4,5,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
86,RL Chase,Shakib Al Hasan,N Pooran,1,0,1,69,85,29,38,4,6,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
87,N Pooran,Shakib Al Hasan,RL Chase,1,0,1,70,84,4,6,4,7,-,14,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
88,N Pooran,Mustafizur Rahman,RL Chase,2,0,2,72,82,6,7,4,1,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
89,N Pooran,Mustafizur Rahman,RL Chase,1,0,1,73,81,7,8,4,2,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
90,RL Chase,Mustafizur Rahman,N Pooran,4,0,4,77,77,33,39,4,3,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
91,RL Chase,Mustafizur Rahman,N Pooran,1,0,1,78,76,34,40,4,4,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
92,N Pooran,Mustafizur Rahman,RL Chase,0,1,1,79,75,7,9,4,5,wides,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
93,N Pooran,Mustafizur Rahman,RL Chase,4,0,4,83,71,11,10,4,6,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
94,N Pooran,Mustafizur Rahman,RL Chase,1,0,1,84,70,12,11,4,7,-,15,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
95,N Pooran,Shakib Al Hasan,RL Chase,6,0,6,90,64,18,12,4,1,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
96,N Pooran,Shakib Al Hasan,RL Chase,6,0,6,96,58,24,13,4,2,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
97,N Pooran,Shakib Al Hasan,RL Chase,1,0,1,97,57,25,14,4,3,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
98,RL Chase,Shakib Al Hasan,N Pooran,0,1,1,98,56,34,41,4,4,wides,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
99,RL Chase,Shakib Al Hasan,N Pooran,1,0,1,99,55,35,42,4,5,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
100,RL Chase,Shakib Al Hasan,N Pooran,0,0,0,99,55,35,43,4,6,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
101,N Pooran,Shakib Al Hasan,RL Chase,0,0,0,99,55,25,15,4,7,-,16,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
102,RL Chase,Shoriful Islam,N Pooran,1,0,1,100,54,36,44,4,1,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
103,N Pooran,Shoriful Islam,RL Chase,0,0,0,100,54,25,16,4,2,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
104,N Pooran,Shoriful Islam,RL Chase,0,0,0,100,54,25,17,4,3,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
105,N Pooran,Shoriful Islam,RL Chase,1,0,1,101,53,26,18,4,4,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
106,RL Chase,Shoriful Islam,N Pooran,0,0,0,101,53,36,45,4,5,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
107,RL Chase,Shoriful Islam,N Pooran,2,0,2,103,51,38,46,4,6,-,17,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
108,N Pooran,Mahedi Hasan,RL Chase,6,0,6,109,45,32,19,4,1,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
109,N Pooran,Mahedi Hasan,RL Chase,0,1,1,110,44,32,20,4,2,wides,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
110,N Pooran,Mahedi Hasan,RL Chase,0,0,0,110,44,32,21,4,3,-,18,0,,,,,field,Bangladesh,1,Sharjah Cricket Stadium,2021,10,West Indies_Bangladesh_2021-10-29,West Indies,West Indies,Bangladesh,142
