,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
60,DJ Malan,MA Starc,MM Ali,4,0,4,69,33,22,6,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
61,DJ Malan,MA Starc,MM Ali,1,0,1,70,34,23,7,10,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
62,DJ Malan,A Zampa,MM Ali,4,0,4,74,38,24,1,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
63,DJ Malan,A Zampa,MM Ali,0,0,0,74,38,25,2,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
64,DJ Malan,A Zampa,MM Ali,0,0,0,74,38,26,3,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
65,DJ Malan,A Zampa,MM Ali,6,0,6,80,44,27,4,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
66,DJ Malan,A Zampa,MM Ali,1,0,1,81,45,28,5,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
67,MM Ali,A Zampa,DJ Malan,1,0,1,82,6,7,6,11,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
68,MM Ali,PJ Cummins,DJ Malan,0,0,0,82,6,8,1,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
69,MM Ali,PJ Cummins,DJ Malan,1,0,1,83,7,9,2,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
70,DJ Malan,PJ Cummins,MM Ali,1,0,1,84,46,29,3,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
71,MM Ali,PJ Cummins,DJ Malan,0,0,0,84,7,10,4,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
72,MM Ali,PJ Cummins,DJ Malan,4,0,4,88,11,11,5,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
73,MM Ali,PJ Cummins,DJ Malan,1,0,1,89,12,12,6,12,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
74,MM Ali,MP Stoinis,DJ Malan,4,0,4,93,16,13,1,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
75,MM Ali,MP Stoinis,DJ Malan,6,0,6,99,22,14,2,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
76,MM Ali,MP Stoinis,DJ Malan,1,0,1,100,23,15,3,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
77,DJ Malan,MP Stoinis,MM Ali,1,0,1,101,47,30,4,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
78,MM Ali,MP Stoinis,DJ Malan,0,1,1,102,23,16,5,13,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
79,MM Ali,MP Stoinis,DJ Malan,0,0,0,102,23,17,6,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
80,MM Ali,MP Stoinis,DJ Malan,1,0,1,103,24,18,7,13,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
81,MM Ali,JR Hazlewood,DJ Malan,1,0,1,104,25,19,1,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
82,DJ Malan,JR Hazlewood,MM Ali,2,0,2,106,49,31,2,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
83,DJ Malan,JR Hazlewood,MM Ali,1,0,1,107,50,32,3,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
84,MM Ali,JR Hazlewood,DJ Malan,1,0,1,108,26,20,4,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
85,DJ Malan,JR Hazlewood,MM Ali,3,0,3,111,53,33,5,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
86,MM Ali,JR Hazlewood,DJ Malan,0,1,1,112,26,21,6,14,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
87,MM Ali,JR Hazlewood,DJ Malan,4,0,4,116,30,22,7,14,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
88,DJ Malan,MA Starc,MM Ali,1,0,1,117,54,34,1,15,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
89,MM Ali,MA Starc,DJ Malan,6,0,6,123,36,23,2,15,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
90,MM Ali,MA Starc,DJ Malan,1,0,1,124,37,24,3,15,"{'by': 'Australia', 'umpire': 'PJ Gillespie', 'batter': 'DJ Malan', 'decision': 'struck down'}",0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
91,DJ Malan,MA Starc,MM Ali,6,0,6,130,60,35,4,15,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
92,DJ Malan,MA Starc,MM Ali,0,0,0,130,60,36,5,15,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
93,DJ Malan,MA Starc,MM Ali,1,0,1,131,61,37,6,15,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
94,DJ Malan,PJ Cummins,MM Ali,0,0,0,131,61,38,1,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
95,DJ Malan,PJ Cummins,MM Ali,2,0,2,133,63,39,2,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
96,DJ Malan,PJ Cummins,MM Ali,0,1,1,134,63,40,3,16,,0,,,{'wides': 1},wides,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
97,DJ Malan,PJ Cummins,MM Ali,4,0,4,138,67,41,4,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
98,DJ Malan,PJ Cummins,MM Ali,1,0,1,139,68,42,5,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
99,MM Ali,PJ Cummins,DJ Malan,1,0,1,140,38,25,6,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
100,DJ Malan,PJ Cummins,MM Ali,0,0,0,140,68,43,7,16,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
101,MM Ali,A Zampa,DJ Malan,0,0,0,140,38,26,1,17,,0,,,,-,field,Australia,1,"Manuka Oval, Canberra",2022-10-12,England,Australia
