,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
80,RG Sharma,Nazmul Islam,MK Pandey,0,0,0,98,56,42,2,14,caught,RG Sharma,Mahmudullah,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
81,V Shankar,Nazmul Islam,MK Pandey,1,0,1,99,1,1,3,14,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
82,MK Pandey,Nazmul Islam,V Shankar,1,0,1,100,8,15,4,14,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
83,V Shankar,Nazmul Islam,MK Pandey,4,0,4,104,5,2,5,14,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
84,V Shankar,Nazmul Islam,MK Pandey,0,0,0,104,5,3,6,14,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
85,MK Pandey,Soumya Sarkar,V Shankar,1,0,1,105,9,16,1,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
86,V Shankar,Soumya Sarkar,MK Pandey,1,0,1,106,6,4,2,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
87,MK Pandey,Soumya Sarkar,V Shankar,4,0,4,110,13,17,3,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
88,MK Pandey,Soumya Sarkar,V Shankar,4,0,4,114,17,18,4,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
89,MK Pandey,Soumya Sarkar,V Shankar,1,0,1,115,18,19,5,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
90,V Shankar,Soumya Sarkar,MK Pandey,0,0,0,115,6,5,6,15,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
91,MK Pandey,Mustafizur Rahman,V Shankar,2,0,2,117,20,20,1,16,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
92,MK Pandey,Mustafizur Rahman,V Shankar,1,0,1,118,21,21,2,16,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
93,V Shankar,Mustafizur Rahman,MK Pandey,0,0,0,118,6,6,3,16,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
94,V Shankar,Mustafizur Rahman,MK Pandey,0,1,1,119,6,7,4,16,0,,,,{'legbyes': 1},legbyes,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
95,MK Pandey,Mustafizur Rahman,V Shankar,4,0,4,123,25,22,5,16,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
96,MK Pandey,Mustafizur Rahman,V Shankar,0,0,0,123,25,23,6,16,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
97,V Shankar,Soumya Sarkar,MK Pandey,1,0,1,124,7,8,1,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
98,MK Pandey,Soumya Sarkar,V Shankar,2,0,2,126,27,24,2,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
99,MK Pandey,Soumya Sarkar,V Shankar,1,0,1,127,28,25,3,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
100,V Shankar,Soumya Sarkar,MK Pandey,4,0,4,131,11,9,4,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
101,V Shankar,Soumya Sarkar,MK Pandey,1,0,1,132,12,10,5,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
102,MK Pandey,Soumya Sarkar,V Shankar,0,0,0,132,28,26,6,17,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
103,V Shankar,Mustafizur Rahman,MK Pandey,0,0,0,132,12,11,1,18,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
104,V Shankar,Mustafizur Rahman,MK Pandey,0,0,0,132,12,12,2,18,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
105,V Shankar,Mustafizur Rahman,MK Pandey,0,0,0,132,12,13,3,18,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
106,V Shankar,Mustafizur Rahman,MK Pandey,0,0,0,132,12,14,4,18,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
107,V Shankar,Mustafizur Rahman,MK Pandey,0,1,1,133,12,15,5,18,0,,,,{'legbyes': 1},legbyes,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
108,MK Pandey,Mustafizur Rahman,V Shankar,0,0,0,133,28,27,6,18,caught,MK Pandey,Sabbir Rahman,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
109,KD Karthik,Rubel Hossain,V Shankar,6,0,6,139,6,1,1,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
110,KD Karthik,Rubel Hossain,V Shankar,4,0,4,143,10,2,2,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
111,KD Karthik,Rubel Hossain,V Shankar,6,0,6,149,16,3,3,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
112,KD Karthik,Rubel Hossain,V Shankar,0,0,0,149,16,4,4,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
113,KD Karthik,Rubel Hossain,V Shankar,2,0,2,151,18,5,5,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
114,KD Karthik,Rubel Hossain,V Shankar,4,0,4,155,22,6,6,19,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
115,V Shankar,Soumya Sarkar,KD Karthik,0,1,1,156,12,16,1,20,0,,,,{'wides': 1},wides,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
116,V Shankar,Soumya Sarkar,KD Karthik,0,0,0,156,12,17,2,20,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
117,V Shankar,Soumya Sarkar,KD Karthik,1,0,1,157,13,18,3,20,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
118,KD Karthik,Soumya Sarkar,V Shankar,1,0,1,158,23,7,4,20,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
119,V Shankar,Soumya Sarkar,KD Karthik,4,0,4,162,17,19,5,20,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
120,V Shankar,Soumya Sarkar,KD Karthik,0,0,0,162,17,20,6,20,caught,V Shankar,Mehedi Hasan Miraz,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
121,KD Karthik,Soumya Sarkar,Washington Sundar,6,0,6,168,29,8,7,20,0,,,,,-,field,India,2,"R.Premadasa Stadium, Khettarama",2018-03-18,India,Bangladesh
