,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
62,JDS Neesham,KOK Williams,,DP Conway,1,0,1,117,31,12,5,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
63,DP Conway,KOK Williams,,JDS Neesham,0,0,0,117,36,22,6,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
64,DP Conway,KOK Williams,,JDS Neesham,1,0,1,118,37,23,7,-,0,,,10,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
65,DP Conway,SS Cottrell,,JDS Neesham,1,0,1,119,38,24,1,-,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
66,JDS Neesham,SS Cottrell,{'byes': 4},DP Conway,0,4,4,123,31,13,2,byes,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
67,JDS Neesham,SS Cottrell,,DP Conway,1,0,1,124,32,14,3,-,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
68,DP Conway,SS Cottrell,,JDS Neesham,0,0,0,124,38,25,4,-,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
69,DP Conway,SS Cottrell,{'legbyes': 1},JDS Neesham,0,1,1,125,38,26,5,legbyes,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
70,JDS Neesham,SS Cottrell,,DP Conway,0,0,0,125,32,15,6,-,0,,,11,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
71,DP Conway,KMA Paul,,JDS Neesham,1,0,1,126,39,27,1,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
72,JDS Neesham,KMA Paul,,DP Conway,2,0,2,128,34,16,2,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
73,JDS Neesham,KMA Paul,,DP Conway,4,0,4,132,38,17,3,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
74,JDS Neesham,KMA Paul,,DP Conway,0,0,0,132,38,18,4,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
75,JDS Neesham,KMA Paul,,DP Conway,6,0,6,138,44,19,5,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
76,JDS Neesham,KMA Paul,,DP Conway,0,0,0,138,44,20,6,-,0,,,12,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
77,DP Conway,KA Pollard,,JDS Neesham,2,0,2,140,41,28,1,-,0,,,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
78,DP Conway,KA Pollard,,JDS Neesham,0,0,0,140,41,29,2,-,caught,DP Conway,O Thomas,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
79,MJ Santner,KA Pollard,,JDS Neesham,0,0,0,140,0,1,3,-,0,,,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
80,MJ Santner,KA Pollard,,JDS Neesham,0,0,0,140,0,2,4,-,0,,,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
81,MJ Santner,KA Pollard,,JDS Neesham,6,0,6,146,6,3,5,-,0,,,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
82,MJ Santner,KA Pollard,,JDS Neesham,1,0,1,147,7,4,6,-,0,,,13,field,New Zealand,2,Eden Park,2020-11-27,New Zealand,West Indies
