,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
10,Liton Das,CT Mumba,Tamim Iqbal,4,0,4,20,135,14,5,0,5,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
11,Liton Das,CT Mumba,Tamim Iqbal,0,0,0,20,135,14,6,0,6,2,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
12,Tamim Iqbal,DT Tiripano,Liton Das,0,0,0,20,135,6,7,0,1,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
13,Tamim Iqbal,DT Tiripano,Liton Das,0,0,0,20,135,6,8,0,2,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
14,Tamim Iqbal,DT Tiripano,Liton Das,0,0,0,20,135,6,9,0,3,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
15,Tamim Iqbal,DT Tiripano,Liton Das,0,0,0,20,135,6,10,0,4,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
16,Tamim Iqbal,DT Tiripano,Liton Das,1,0,1,21,134,7,11,0,5,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
17,Liton Das,DT Tiripano,Tamim Iqbal,2,0,2,23,132,16,7,0,6,3,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
18,Tamim Iqbal,CT Mumba,Liton Das,1,0,1,24,131,8,12,0,1,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
19,Liton Das,CT Mumba,Tamim Iqbal,1,0,1,25,130,17,8,0,2,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
20,Tamim Iqbal,CT Mumba,Liton Das,2,0,2,27,128,10,13,0,3,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
21,Tamim Iqbal,CT Mumba,Liton Das,0,1,1,28,127,10,14,0,4,4,wides,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
22,Tamim Iqbal,CT Mumba,Liton Das,0,0,0,28,127,10,15,0,5,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
23,Tamim Iqbal,CT Mumba,Liton Das,4,0,4,32,123,14,16,0,6,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
24,Tamim Iqbal,CT Mumba,Liton Das,6,0,6,38,117,20,17,0,7,4,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
25,Liton Das,DT Tiripano,Tamim Iqbal,4,0,4,42,113,21,9,0,1,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
26,Liton Das,DT Tiripano,Tamim Iqbal,4,0,4,46,109,25,10,0,2,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
27,Liton Das,DT Tiripano,Tamim Iqbal,0,0,0,46,109,25,11,0,3,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
28,Liton Das,DT Tiripano,Tamim Iqbal,1,0,1,47,108,26,12,0,4,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
29,Tamim Iqbal,DT Tiripano,Liton Das,1,0,1,48,107,21,18,0,5,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
30,Liton Das,DT Tiripano,Tamim Iqbal,0,0,0,48,107,26,13,0,6,5,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
31,Tamim Iqbal,CB Mpofu,Liton Das,1,0,1,49,106,22,19,0,1,6,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
32,Liton Das,CB Mpofu,Tamim Iqbal,0,1,1,50,105,26,14,0,2,6,legbyes,"{'by': 'Zimbabwe', 'umpire': 'Tanvir Ahmed', 'batter': 'Liton Das', 'decision': 'struck down', 'umpires_call': True}",0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
33,Tamim Iqbal,CB Mpofu,Liton Das,1,0,1,51,104,23,20,0,3,6,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
34,Liton Das,CB Mpofu,Tamim Iqbal,6,0,6,57,98,32,15,0,4,6,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
35,Liton Das,CB Mpofu,Tamim Iqbal,1,0,1,58,97,33,16,0,5,6,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
36,Tamim Iqbal,CB Mpofu,Liton Das,1,0,1,59,96,24,21,0,6,6,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
37,Tamim Iqbal,W Madhevere,Liton Das,6,0,6,65,90,30,22,0,1,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
38,Tamim Iqbal,W Madhevere,Liton Das,1,0,1,66,89,31,23,0,2,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
39,Liton Das,W Madhevere,Tamim Iqbal,1,0,1,67,88,34,17,0,3,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
40,Tamim Iqbal,W Madhevere,Liton Das,1,0,1,68,87,32,24,0,4,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
41,Liton Das,W Madhevere,Tamim Iqbal,0,1,1,69,86,34,18,0,5,7,wides,"{'by': 'Zimbabwe', 'umpire': 'Sharfuddoula', 'batter': 'Liton Das', 'decision': 'struck down'}",0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
42,Liton Das,W Madhevere,Tamim Iqbal,0,0,0,69,86,34,19,0,6,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
43,Liton Das,W Madhevere,Tamim Iqbal,1,0,1,70,85,35,20,0,7,7,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
44,Liton Das,SC Williams,Tamim Iqbal,1,0,1,71,84,36,21,0,1,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
45,Tamim Iqbal,SC Williams,Liton Das,0,0,0,71,84,32,25,0,2,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
46,Tamim Iqbal,SC Williams,Liton Das,1,0,1,72,83,33,26,0,3,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
47,Liton Das,SC Williams,Tamim Iqbal,0,0,0,72,83,36,22,0,4,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
48,Liton Das,SC Williams,Tamim Iqbal,6,0,6,78,77,42,23,0,5,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
49,Liton Das,SC Williams,Tamim Iqbal,1,0,1,79,76,43,24,0,6,8,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
50,Liton Das,Sikandar Raza,Tamim Iqbal,1,0,1,80,75,44,25,0,1,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
51,Tamim Iqbal,Sikandar Raza,Liton Das,0,0,0,80,75,33,27,0,2,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
52,Tamim Iqbal,Sikandar Raza,Liton Das,1,0,1,81,74,34,28,0,3,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
53,Liton Das,Sikandar Raza,Tamim Iqbal,1,0,1,82,73,45,26,0,4,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
54,Tamim Iqbal,Sikandar Raza,Liton Das,1,0,1,83,72,35,29,0,5,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
55,Liton Das,Sikandar Raza,Tamim Iqbal,0,0,0,83,72,45,27,0,6,9,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
56,Tamim Iqbal,SC Williams,Liton Das,0,0,0,83,72,35,30,0,1,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
57,Tamim Iqbal,SC Williams,Liton Das,4,0,4,87,68,39,31,0,2,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
58,Tamim Iqbal,SC Williams,Liton Das,1,0,1,88,67,40,32,0,3,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
59,Liton Das,SC Williams,Tamim Iqbal,1,0,1,89,66,46,28,0,4,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
60,Tamim Iqbal,SC Williams,Liton Das,1,0,1,90,65,41,33,0,5,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
61,Liton Das,SC Williams,Tamim Iqbal,1,0,1,91,64,47,29,0,6,10,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
62,Liton Das,W Madhevere,Tamim Iqbal,1,0,1,92,63,48,30,0,1,11,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
63,Tamim Iqbal,W Madhevere,Liton Das,0,0,0,92,63,41,34,1,2,11,-,,caught,Tamim Iqbal,SC Williams,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
64,Liton Das,W Madhevere,Soumya Sarkar,1,0,1,93,62,49,31,1,3,11,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
65,Soumya Sarkar,W Madhevere,Liton Das,1,0,1,94,61,1,1,1,4,11,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
66,Liton Das,W Madhevere,Soumya Sarkar,1,0,1,95,60,50,32,1,5,11,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
67,Soumya Sarkar,W Madhevere,Liton Das,0,0,0,95,60,1,2,1,6,11,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
68,Liton Das,SC Williams,Soumya Sarkar,0,0,0,95,60,50,33,1,1,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
69,Liton Das,SC Williams,Soumya Sarkar,1,0,1,96,59,51,34,1,2,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
70,Soumya Sarkar,SC Williams,Liton Das,0,0,0,96,59,1,3,1,3,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
71,Soumya Sarkar,SC Williams,Liton Das,1,0,1,97,58,2,4,1,4,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
72,Liton Das,SC Williams,Soumya Sarkar,0,0,0,97,58,51,35,1,5,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
73,Liton Das,SC Williams,Soumya Sarkar,1,0,1,98,57,52,36,1,6,12,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
74,Liton Das,Sikandar Raza,Soumya Sarkar,2,0,2,100,55,54,37,1,1,13,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
75,Liton Das,Sikandar Raza,Soumya Sarkar,1,0,1,101,54,55,38,1,2,13,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
76,Soumya Sarkar,Sikandar Raza,Liton Das,0,0,0,101,54,2,5,1,3,13,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
77,Soumya Sarkar,Sikandar Raza,Liton Das,1,0,1,102,53,3,6,1,4,13,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
78,Liton Das,Sikandar Raza,Soumya Sarkar,4,0,4,106,49,59,39,1,5,13,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
79,Liton Das,Sikandar Raza,Soumya Sarkar,0,0,0,106,49,59,40,2,6,13,-,"{'by': 'Bangladesh', 'umpire': 'Sharfuddoula', 'batter': 'Liton Das', 'decision': 'struck down'}",lbw,Liton Das,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
80,Soumya Sarkar,SC Williams,Mushfiqur Rahim,6,0,6,112,43,9,7,2,1,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
81,Soumya Sarkar,SC Williams,Mushfiqur Rahim,1,0,1,113,42,10,8,2,2,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
82,Mushfiqur Rahim,SC Williams,Soumya Sarkar,1,0,1,114,41,1,1,2,3,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
83,Soumya Sarkar,SC Williams,Mushfiqur Rahim,1,0,1,115,40,11,9,2,4,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
84,Mushfiqur Rahim,SC Williams,Soumya Sarkar,1,0,1,116,39,2,2,2,5,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
85,Soumya Sarkar,SC Williams,Mushfiqur Rahim,1,0,1,117,38,12,10,2,6,14,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
86,Soumya Sarkar,Sikandar Raza,Mushfiqur Rahim,4,0,4,121,34,16,11,2,1,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
87,Soumya Sarkar,Sikandar Raza,Mushfiqur Rahim,1,0,1,122,33,17,12,2,2,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
88,Mushfiqur Rahim,Sikandar Raza,Soumya Sarkar,1,0,1,123,32,3,3,2,3,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
89,Soumya Sarkar,Sikandar Raza,Mushfiqur Rahim,0,0,0,123,32,17,13,2,4,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
90,Soumya Sarkar,Sikandar Raza,Mushfiqur Rahim,1,0,1,124,31,18,14,2,5,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
91,Mushfiqur Rahim,Sikandar Raza,Soumya Sarkar,1,0,1,125,30,4,4,2,6,15,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
92,Mushfiqur Rahim,CB Mpofu,Soumya Sarkar,6,0,6,131,24,10,5,2,1,16,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
93,Mushfiqur Rahim,CB Mpofu,Soumya Sarkar,1,0,1,132,23,11,6,2,2,16,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
94,Soumya Sarkar,CB Mpofu,Mushfiqur Rahim,4,0,4,136,19,22,15,2,3,16,-,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
95,Soumya Sarkar,CB Mpofu,Mushfiqur Rahim,0,1,1,137,18,22,16,2,4,16,wides,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
96,Soumya Sarkar,CB Mpofu,Mushfiqur Rahim,0,1,1,138,17,22,17,2,5,16,wides,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
97,Soumya Sarkar,CB Mpofu,Mushfiqur Rahim,0,2,2,140,15,22,18,2,6,16,legbyesnoballs,,0,,,field,Zimbabwe,1,"Shere Bangla National Stadium, Mirpur",2020,03,Bangladesh_Zimbabwe_2020-03-09,Bangladesh,Bangladesh,Zimbabwe,200
