,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
96,SNJ O'Keefe,KMDN Kulasekara,MG Johnson,1,0,1,106,1,1,4,16,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
97,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,1,0,1,107,1,4,5,16,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
98,SNJ O'Keefe,KMDN Kulasekara,MG Johnson,0,0,0,107,1,2,6,16,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
99,SNJ O'Keefe,KMDN Kulasekara,MG Johnson,1,0,1,108,2,3,7,16,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
100,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,0,0,0,108,1,5,8,16,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
101,SNJ O'Keefe,MDK Perera,MG Johnson,0,0,0,108,2,4,1,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
102,SNJ O'Keefe,MDK Perera,MG Johnson,0,0,0,108,2,5,2,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
103,SNJ O'Keefe,MDK Perera,MG Johnson,0,0,0,108,2,6,3,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
104,SNJ O'Keefe,MDK Perera,MG Johnson,6,0,6,114,8,7,4,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
105,SNJ O'Keefe,MDK Perera,MG Johnson,4,0,4,118,12,8,5,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
106,SNJ O'Keefe,MDK Perera,MG Johnson,4,0,4,122,16,9,6,17,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
107,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,2,0,2,124,3,6,1,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
108,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,0,0,0,124,3,7,2,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
109,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,2,0,2,126,5,8,3,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
110,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,6,0,6,132,11,9,4,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
111,MG Johnson,KMDN Kulasekara,SNJ O'Keefe,1,0,1,133,12,10,5,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
112,SNJ O'Keefe,KMDN Kulasekara,MG Johnson,4,0,4,137,20,10,6,18,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
113,MG Johnson,RAS Lakmal,SNJ O'Keefe,4,0,4,141,16,11,1,19,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
114,MG Johnson,RAS Lakmal,SNJ O'Keefe,0,0,0,141,16,12,2,19,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
115,MG Johnson,RAS Lakmal,SNJ O'Keefe,1,0,1,142,17,13,3,19,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
116,SNJ O'Keefe,RAS Lakmal,MG Johnson,2,0,2,144,22,11,4,19,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
117,SNJ O'Keefe,RAS Lakmal,MG Johnson,0,0,0,144,22,12,5,19,,-,bowled,SNJ O'Keefe,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
118,JW Hastings,RAS Lakmal,MG Johnson,1,0,1,145,1,1,6,19,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
119,JW Hastings,KTGD Prasad,MG Johnson,2,0,2,147,3,2,1,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
120,JW Hastings,KTGD Prasad,MG Johnson,5,0,5,152,8,3,2,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
121,MG Johnson,KTGD Prasad,JW Hastings,2,0,2,154,19,14,3,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
122,MG Johnson,KTGD Prasad,JW Hastings,2,0,2,156,21,15,4,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
123,MG Johnson,KTGD Prasad,JW Hastings,1,0,1,157,22,16,5,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
124,JW Hastings,KTGD Prasad,MG Johnson,6,0,6,163,14,4,6,20,,-,0,,,field,Australia,2,Pallekele International Cricket Stadium,2011-08-06,Australia,Sri Lanka
