,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
11,S Dhawan,NM Coulter-Nile,RG Sharma,4,0,4,12,5,8,6,2,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
12,RG Sharma,MA Starc,S Dhawan,1,0,1,13,8,5,1,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
13,S Dhawan,MA Starc,RG Sharma,0,1,1,14,5,9,2,3,{'wides': 1},wides,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
14,S Dhawan,MA Starc,RG Sharma,2,0,2,16,7,10,3,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
15,S Dhawan,MA Starc,RG Sharma,0,0,0,16,7,11,4,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
16,S Dhawan,MA Starc,RG Sharma,0,0,0,16,7,12,5,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
17,S Dhawan,MA Starc,RG Sharma,0,0,0,16,7,13,6,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
18,S Dhawan,MA Starc,RG Sharma,4,0,4,20,11,14,7,3,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
19,RG Sharma,NM Coulter-Nile,S Dhawan,0,1,1,21,8,6,1,4,{'wides': 1},wides,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
20,RG Sharma,NM Coulter-Nile,S Dhawan,6,0,6,27,14,7,2,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
21,RG Sharma,NM Coulter-Nile,S Dhawan,1,0,1,28,15,8,3,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
22,S Dhawan,NM Coulter-Nile,RG Sharma,0,0,0,28,11,15,4,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
23,S Dhawan,NM Coulter-Nile,RG Sharma,2,0,2,30,13,16,5,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
24,S Dhawan,NM Coulter-Nile,RG Sharma,6,0,6,36,19,17,6,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
25,S Dhawan,NM Coulter-Nile,RG Sharma,4,0,4,40,23,18,7,4,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
26,RG Sharma,MP Stoinis,S Dhawan,0,0,0,40,15,9,1,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
27,RG Sharma,MP Stoinis,S Dhawan,6,0,6,46,21,10,2,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
28,RG Sharma,MP Stoinis,S Dhawan,1,0,1,47,22,11,3,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
29,S Dhawan,MP Stoinis,RG Sharma,0,1,1,48,23,19,4,5,{'wides': 1},wides,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
30,S Dhawan,MP Stoinis,RG Sharma,6,0,6,54,29,20,5,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
31,S Dhawan,MP Stoinis,RG Sharma,4,0,4,58,33,21,6,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
32,S Dhawan,MP Stoinis,RG Sharma,4,0,4,62,37,22,7,5,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
33,RG Sharma,MA Starc,S Dhawan,1,0,1,63,23,12,1,6,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
34,S Dhawan,MA Starc,RG Sharma,4,0,4,67,41,23,2,6,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
35,S Dhawan,MA Starc,RG Sharma,0,0,0,67,41,24,3,6,,-,"{'by': 'Australia', 'batter': 'S Dhawan', 'decision': 'upheld'}",lbw,S Dhawan,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
36,V Kohli,MA Starc,RG Sharma,0,0,0,67,0,1,4,6,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
37,V Kohli,MA Starc,RG Sharma,0,0,0,67,0,2,5,6,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
38,V Kohli,MA Starc,RG Sharma,0,0,0,67,0,3,6,6,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
39,RG Sharma,A Zampa,V Kohli,0,0,0,67,23,13,1,7,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
40,RG Sharma,A Zampa,V Kohli,0,0,0,67,23,14,2,7,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
41,RG Sharma,A Zampa,V Kohli,0,0,0,67,23,15,3,7,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
42,RG Sharma,A Zampa,V Kohli,0,0,0,67,23,16,4,7,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
43,RG Sharma,A Zampa,V Kohli,0,0,0,67,23,17,5,7,,-,,bowled,RG Sharma,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
44,KL Rahul,A Zampa,V Kohli,0,0,0,67,0,1,6,7,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
45,V Kohli,NM Coulter-Nile,KL Rahul,2,0,2,69,2,4,1,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
46,V Kohli,NM Coulter-Nile,KL Rahul,1,0,1,70,3,5,2,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
47,KL Rahul,NM Coulter-Nile,V Kohli,0,0,0,70,0,2,3,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
48,KL Rahul,NM Coulter-Nile,V Kohli,6,0,6,76,6,3,4,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
49,KL Rahul,NM Coulter-Nile,V Kohli,1,0,1,77,7,4,5,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
50,V Kohli,NM Coulter-Nile,KL Rahul,1,0,1,78,4,6,6,8,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
51,V Kohli,GJ Maxwell,KL Rahul,0,0,0,78,4,7,1,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
52,V Kohli,GJ Maxwell,KL Rahul,1,0,1,79,5,8,2,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
53,KL Rahul,GJ Maxwell,V Kohli,0,0,0,79,7,5,3,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
54,KL Rahul,GJ Maxwell,V Kohli,1,0,1,80,8,6,4,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
55,V Kohli,GJ Maxwell,KL Rahul,0,0,0,80,5,9,5,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
56,V Kohli,GJ Maxwell,KL Rahul,1,0,1,81,6,10,6,9,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
57,V Kohli,A Zampa,KL Rahul,2,0,2,83,8,11,1,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
58,V Kohli,A Zampa,KL Rahul,1,0,1,84,9,12,2,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
59,KL Rahul,A Zampa,V Kohli,0,2,2,86,8,7,3,10,{'wides': 2},wides,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
60,V Kohli,A Zampa,KL Rahul,1,0,1,87,10,13,4,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
61,KL Rahul,A Zampa,V Kohli,0,0,0,87,8,8,5,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
62,KL Rahul,A Zampa,V Kohli,1,0,1,88,9,9,6,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
63,V Kohli,A Zampa,KL Rahul,4,0,4,92,14,14,7,10,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
64,KL Rahul,GJ Maxwell,V Kohli,1,0,1,93,10,10,1,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
65,V Kohli,GJ Maxwell,KL Rahul,1,0,1,94,15,15,2,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
66,KL Rahul,GJ Maxwell,V Kohli,0,0,0,94,10,11,3,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
67,KL Rahul,GJ Maxwell,V Kohli,0,0,0,94,10,12,4,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
68,KL Rahul,GJ Maxwell,V Kohli,0,0,0,94,10,13,5,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
69,KL Rahul,GJ Maxwell,V Kohli,1,0,1,95,11,14,6,11,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
70,KL Rahul,A Zampa,V Kohli,0,0,0,95,11,15,1,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
71,KL Rahul,A Zampa,V Kohli,0,0,0,95,11,16,2,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
72,KL Rahul,A Zampa,V Kohli,1,0,1,96,12,17,3,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
73,V Kohli,A Zampa,KL Rahul,2,0,2,98,17,16,4,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
74,V Kohli,A Zampa,KL Rahul,3,0,3,101,20,17,5,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
75,KL Rahul,A Zampa,V Kohli,1,0,1,102,13,18,6,12,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
76,KL Rahul,GJ Maxwell,V Kohli,0,0,0,102,13,19,1,13,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
77,KL Rahul,GJ Maxwell,V Kohli,1,0,1,103,14,20,2,13,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
78,V Kohli,GJ Maxwell,KL Rahul,2,0,2,105,22,18,3,13,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
79,V Kohli,GJ Maxwell,KL Rahul,2,0,2,107,24,19,4,13,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
80,V Kohli,GJ Maxwell,KL Rahul,1,0,1,108,25,20,5,13,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
81,KL Rahul,GJ Maxwell,V Kohli,0,0,0,108,14,21,6,13,,-,,caught,KL Rahul,NM Coulter-Nile,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
82,RR Pant,AJ Tye,V Kohli,0,0,0,108,0,1,1,14,,-,,caught,RR Pant,AT Carey,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
83,KD Karthik,AJ Tye,V Kohli,0,0,0,108,0,1,2,14,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
84,KD Karthik,AJ Tye,V Kohli,0,0,0,108,0,2,3,14,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
85,KD Karthik,AJ Tye,V Kohli,0,0,0,108,0,3,4,14,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
86,KD Karthik,AJ Tye,V Kohli,0,0,0,108,0,4,5,14,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
87,KD Karthik,AJ Tye,V Kohli,1,0,1,109,1,5,6,14,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
88,KD Karthik,A Zampa,V Kohli,1,0,1,110,2,6,1,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
89,V Kohli,A Zampa,KD Karthik,1,0,1,111,26,21,2,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
90,KD Karthik,A Zampa,V Kohli,1,0,1,112,3,7,3,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
91,V Kohli,A Zampa,KD Karthik,0,0,0,112,26,22,4,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
92,V Kohli,A Zampa,KD Karthik,1,0,1,113,27,23,5,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
93,KD Karthik,A Zampa,V Kohli,0,0,0,113,3,8,6,15,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
94,V Kohli,AJ Tye,KD Karthik,0,1,1,114,27,24,1,16,{'wides': 1},wides,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
95,V Kohli,AJ Tye,KD Karthik,0,0,0,114,27,25,2,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
96,V Kohli,AJ Tye,KD Karthik,4,0,4,118,31,26,3,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
97,V Kohli,AJ Tye,KD Karthik,6,0,6,124,37,27,4,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
98,V Kohli,AJ Tye,KD Karthik,0,0,0,124,37,28,5,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
99,V Kohli,AJ Tye,KD Karthik,1,0,1,125,38,29,6,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
100,KD Karthik,AJ Tye,V Kohli,0,0,0,125,3,9,7,16,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
101,V Kohli,GJ Maxwell,KD Karthik,1,0,1,126,39,30,1,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
102,KD Karthik,GJ Maxwell,V Kohli,1,0,1,127,4,10,2,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
103,V Kohli,GJ Maxwell,KD Karthik,6,0,6,133,45,31,3,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
104,V Kohli,GJ Maxwell,KD Karthik,1,0,1,134,46,32,4,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
105,KD Karthik,GJ Maxwell,V Kohli,2,0,2,136,6,11,5,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
106,KD Karthik,GJ Maxwell,V Kohli,2,0,2,138,8,12,6,17,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
107,V Kohli,AJ Tye,KD Karthik,2,0,2,140,48,33,1,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
108,V Kohli,AJ Tye,KD Karthik,1,0,1,141,49,34,2,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
109,KD Karthik,AJ Tye,V Kohli,1,0,1,142,9,13,3,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
110,V Kohli,AJ Tye,KD Karthik,1,0,1,143,50,35,4,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
111,KD Karthik,AJ Tye,V Kohli,6,0,6,149,15,14,5,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
112,KD Karthik,AJ Tye,V Kohli,0,0,0,149,15,15,6,18,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
113,V Kohli,MA Starc,KD Karthik,2,0,2,151,52,36,1,19,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
114,V Kohli,MA Starc,KD Karthik,0,1,1,152,52,37,2,19,{'legbyes': 1},legbyes,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
115,KD Karthik,MA Starc,V Kohli,4,0,4,156,19,16,3,19,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
116,KD Karthik,MA Starc,V Kohli,1,0,1,157,20,17,4,19,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
117,V Kohli,MA Starc,KD Karthik,1,0,1,158,53,38,5,19,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
118,KD Karthik,MA Starc,V Kohli,2,0,2,160,22,18,6,19,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
119,V Kohli,AJ Tye,KD Karthik,0,0,0,160,53,39,1,20,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
120,V Kohli,AJ Tye,KD Karthik,0,0,0,160,53,40,2,20,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
121,V Kohli,AJ Tye,KD Karthik,4,0,4,164,57,41,3,20,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
122,V Kohli,AJ Tye,KD Karthik,4,0,4,168,61,42,4,20,,-,,0,,,bat,Australia,2,Sydney Cricket Ground,2018-11-25,India,Australia
