,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
85,HH Pandya,MJ Swepson,V Kohli,1,0,1,123,3,2,6,14,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
86,HH Pandya,AJ Tye,V Kohli,1,0,1,124,4,3,1,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
87,V Kohli,AJ Tye,HH Pandya,4,0,4,128,24,16,2,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
88,V Kohli,AJ Tye,HH Pandya,0,0,0,128,24,17,3,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
89,V Kohli,AJ Tye,HH Pandya,6,0,6,134,30,18,4,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
90,V Kohli,AJ Tye,HH Pandya,0,1,1,135,30,19,5,15,,wides,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
91,V Kohli,AJ Tye,HH Pandya,4,0,4,139,34,20,6,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
92,V Kohli,AJ Tye,HH Pandya,2,0,2,141,36,21,7,15,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
93,HH Pandya,A Zampa,V Kohli,1,0,1,142,5,4,1,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
94,V Kohli,A Zampa,HH Pandya,1,0,1,143,37,22,2,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
95,HH Pandya,A Zampa,V Kohli,2,0,2,145,7,5,3,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
96,HH Pandya,A Zampa,V Kohli,1,0,1,146,8,6,4,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
97,V Kohli,A Zampa,HH Pandya,2,0,2,148,39,23,5,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
98,V Kohli,A Zampa,HH Pandya,1,0,1,149,40,24,6,16,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
99,V Kohli,DR Sams,HH Pandya,0,0,0,149,40,25,1,17,,-,caught,V Kohli,MS Wade,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
100,SS Iyer,DR Sams,HH Pandya,1,0,1,150,1,1,2,17,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
101,HH Pandya,DR Sams,SS Iyer,2,0,2,152,10,7,3,17,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
102,HH Pandya,DR Sams,SS Iyer,0,0,0,152,10,8,4,17,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
103,HH Pandya,DR Sams,SS Iyer,2,0,2,154,12,9,5,17,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
104,HH Pandya,DR Sams,SS Iyer,4,0,4,158,16,10,6,17,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
105,SS Iyer,A Zampa,HH Pandya,1,0,1,159,2,2,1,18,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
106,HH Pandya,A Zampa,SS Iyer,0,0,0,159,16,11,2,18,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
107,HH Pandya,A Zampa,SS Iyer,1,0,1,160,17,12,3,18,"{'by': 'Australia', 'umpire': 'SJ Nogajski', 'batter': 'HH Pandya', 'decision': 'struck down'}",-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
108,SS Iyer,A Zampa,HH Pandya,6,0,6,166,8,3,4,18,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
109,SS Iyer,A Zampa,HH Pandya,0,0,0,166,8,4,5,18,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
110,SS Iyer,A Zampa,HH Pandya,4,0,4,170,12,5,6,18,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
111,HH Pandya,AJ Tye,SS Iyer,2,0,2,172,19,13,1,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
112,HH Pandya,AJ Tye,SS Iyer,0,0,0,172,19,14,2,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
113,HH Pandya,AJ Tye,SS Iyer,0,0,0,172,19,15,3,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
114,HH Pandya,AJ Tye,SS Iyer,4,0,4,176,23,16,4,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
115,HH Pandya,AJ Tye,SS Iyer,4,0,4,180,27,17,5,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
116,HH Pandya,AJ Tye,SS Iyer,1,0,1,181,28,18,6,19,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
117,HH Pandya,DR Sams,SS Iyer,2,0,2,183,30,19,1,20,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
118,HH Pandya,DR Sams,SS Iyer,6,0,6,189,36,20,2,20,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
119,HH Pandya,DR Sams,SS Iyer,0,0,0,189,36,21,3,20,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
120,HH Pandya,DR Sams,SS Iyer,6,0,6,195,42,22,4,20,,-,0,,,field,India,2,Sydney Cricket Ground,2020-12-06,India,Australia
