,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
105,AJ Finch,BM Wheeler,DJM Short,6,1,7,209,8,4,1,noballs,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
106,AJ Finch,BM Wheeler,DJM Short,4,0,4,213,12,5,2,-,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
107,AJ Finch,BM Wheeler,DJM Short,1,1,2,215,13,6,3,noballs,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
108,DJM Short,TA Boult,AJ Finch,1,0,1,216,76,48,4,-,17,0,,,"{'role': [{'in': 'TA Boult', 'out': 'BM Wheeler', 'reason': 'excluded - high full pitched balls', 'role': 'bowler'}]}",bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
109,AJ Finch,TA Boult,DJM Short,1,0,1,217,14,7,5,-,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
110,DJM Short,TA Boult,AJ Finch,0,0,0,217,76,49,6,-,17,caught,DJM Short,TL Seifert,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
111,AJ Finch,TA Boult,MP Stoinis,4,0,4,221,18,8,7,-,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
112,AJ Finch,TA Boult,MP Stoinis,6,0,6,227,24,9,8,-,17,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
113,MP Stoinis,TG Southee,AJ Finch,0,0,0,227,0,1,1,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
114,MP Stoinis,TG Southee,AJ Finch,1,0,1,228,1,2,2,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
115,AJ Finch,TG Southee,MP Stoinis,1,0,1,229,25,10,3,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
116,MP Stoinis,TG Southee,AJ Finch,1,0,1,230,2,3,4,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
117,AJ Finch,TG Southee,MP Stoinis,4,0,4,234,29,11,5,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
118,AJ Finch,TG Southee,MP Stoinis,0,0,0,234,29,12,6,-,18,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
119,MP Stoinis,C de Grandhomme,AJ Finch,1,0,1,235,3,4,1,-,19,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
120,AJ Finch,C de Grandhomme,MP Stoinis,0,1,1,236,29,13,2,wides,19,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
121,AJ Finch,C de Grandhomme,MP Stoinis,1,0,1,237,30,14,3,-,19,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
122,MP Stoinis,C de Grandhomme,AJ Finch,1,0,1,238,4,5,4,-,19,run out,MP Stoinis,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
123,AT Carey,C de Grandhomme,AJ Finch,1,0,1,239,1,1,5,-,19,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
124,AJ Finch,C de Grandhomme,AT Carey,6,0,6,245,36,15,6,-,19,0,,,,bat,New Zealand,2,Eden Park,2018-02-16,Australia,Australia,New Zealand
