,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
42,RG Sharma,Gulbadin Naib,KL Rahul,1,0,1,59,25,36,26,0,6,7,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
43,RG Sharma,Rashid Khan,KL Rahul,1,0,1,60,24,37,27,0,1,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
44,KL Rahul,Rashid Khan,RG Sharma,1,0,1,61,23,23,18,0,2,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
45,RG Sharma,Rashid Khan,KL Rahul,1,0,1,62,22,38,28,0,3,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
46,KL Rahul,Rashid Khan,RG Sharma,2,0,2,64,20,25,19,0,4,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
47,KL Rahul,Rashid Khan,RG Sharma,0,0,0,64,20,25,20,0,5,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
48,KL Rahul,Rashid Khan,RG Sharma,1,0,1,65,19,26,21,0,6,8,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
49,KL Rahul,Sharafuddin Ashraf,RG Sharma,1,0,1,66,18,27,22,0,1,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
50,RG Sharma,Sharafuddin Ashraf,KL Rahul,1,0,1,67,17,39,29,0,2,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
51,KL Rahul,Sharafuddin Ashraf,RG Sharma,4,0,4,71,13,31,23,0,3,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
52,KL Rahul,Sharafuddin Ashraf,RG Sharma,1,0,1,72,12,32,24,0,4,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
53,RG Sharma,Sharafuddin Ashraf,KL Rahul,1,0,1,73,11,40,30,0,5,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
54,KL Rahul,Sharafuddin Ashraf,RG Sharma,1,0,1,74,10,33,25,0,6,9,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
55,KL Rahul,Rashid Khan,RG Sharma,4,0,4,78,6,37,26,0,1,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
56,KL Rahul,Rashid Khan,RG Sharma,1,0,1,79,5,38,27,0,2,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
57,RG Sharma,Rashid Khan,KL Rahul,1,0,1,80,4,41,31,0,3,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
58,KL Rahul,Rashid Khan,RG Sharma,1,0,1,81,3,39,28,0,4,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
59,RG Sharma,Rashid Khan,KL Rahul,3,0,3,84,0,44,32,0,5,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
60,KL Rahul,Rashid Khan,RG Sharma,1,0,1,85,-1,40,29,0,6,10,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
61,KL Rahul,Gulbadin Naib,RG Sharma,1,0,1,86,-2,41,30,0,1,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
62,RG Sharma,Gulbadin Naib,KL Rahul,0,0,0,86,-2,44,33,0,2,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
63,RG Sharma,Gulbadin Naib,KL Rahul,4,0,4,90,-6,48,34,0,3,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
64,RG Sharma,Gulbadin Naib,KL Rahul,1,0,1,91,-7,49,35,0,4,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
65,KL Rahul,Gulbadin Naib,RG Sharma,0,0,0,91,-7,41,31,0,5,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
66,KL Rahul,Gulbadin Naib,RG Sharma,0,0,0,91,-7,41,32,0,6,11,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
67,RG Sharma,Naveen-ul-Haq,KL Rahul,0,0,0,91,-7,49,36,0,1,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
68,RG Sharma,Naveen-ul-Haq,KL Rahul,4,0,4,95,-11,53,37,0,2,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
69,RG Sharma,Naveen-ul-Haq,KL Rahul,1,0,1,96,-12,54,38,0,3,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
70,KL Rahul,Naveen-ul-Haq,RG Sharma,6,0,6,102,-18,47,33,0,4,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
71,KL Rahul,Naveen-ul-Haq,RG Sharma,1,0,1,103,-19,48,34,0,5,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
72,RG Sharma,Naveen-ul-Haq,KL Rahul,4,0,4,107,-23,58,39,0,6,12,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
73,KL Rahul,Gulbadin Naib,RG Sharma,4,0,4,111,-27,52,35,0,1,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
74,KL Rahul,Gulbadin Naib,RG Sharma,1,0,1,112,-28,53,36,0,2,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
75,RG Sharma,Gulbadin Naib,KL Rahul,1,0,1,113,-29,59,40,0,3,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
76,KL Rahul,Gulbadin Naib,RG Sharma,1,0,1,114,-30,54,37,0,4,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
77,RG Sharma,Gulbadin Naib,KL Rahul,1,0,1,115,-31,60,41,0,5,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
78,KL Rahul,Gulbadin Naib,RG Sharma,4,0,4,119,-35,58,38,0,6,13,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
79,RG Sharma,Rashid Khan,KL Rahul,1,0,1,120,-36,61,42,0,1,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
80,KL Rahul,Rashid Khan,RG Sharma,1,0,1,121,-37,59,39,0,2,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
81,RG Sharma,Rashid Khan,KL Rahul,1,0,1,122,-38,62,43,0,3,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
82,KL Rahul,Rashid Khan,RG Sharma,1,0,1,123,-39,60,40,0,4,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
83,RG Sharma,Rashid Khan,KL Rahul,6,0,6,129,-45,68,44,0,5,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
84,RG Sharma,Rashid Khan,KL Rahul,6,0,6,135,-51,74,45,0,6,14,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
85,KL Rahul,Karim Janat,RG Sharma,4,0,4,139,-55,64,41,0,1,15,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
86,KL Rahul,Karim Janat,RG Sharma,1,0,1,140,-56,65,42,0,2,15,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
87,RG Sharma,Karim Janat,KL Rahul,0,0,0,140,-56,74,46,0,3,15,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
88,RG Sharma,Karim Janat,KL Rahul,0,0,0,140,-56,74,47,1,4,15,-,,caught,RG Sharma,Mohammad Nabi,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
89,RR Pant,Karim Janat,KL Rahul,1,0,1,141,-57,1,1,1,5,15,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
90,KL Rahul,Karim Janat,RR Pant,1,0,1,142,-58,66,43,1,6,15,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
91,KL Rahul,Rashid Khan,RR Pant,0,0,0,142,-58,66,44,1,1,16,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
92,KL Rahul,Rashid Khan,RR Pant,1,0,1,143,-59,67,45,1,2,16,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
93,RR Pant,Rashid Khan,KL Rahul,0,0,0,143,-59,1,2,1,3,16,-,"{'by': 'Afghanistan', 'umpire': 'PR Reiffel', 'batter': 'RR Pant', 'decision': 'struck down'}",0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
94,RR Pant,Rashid Khan,KL Rahul,0,0,0,143,-59,1,3,1,4,16,-,"{'by': 'India', 'umpire': 'PR Reiffel', 'batter': 'RR Pant', 'decision': 'upheld'}",0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
95,RR Pant,Rashid Khan,KL Rahul,1,0,1,144,-60,2,4,1,5,16,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
96,KL Rahul,Rashid Khan,RR Pant,1,0,1,145,-61,68,46,1,6,16,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
97,KL Rahul,Gulbadin Naib,RR Pant,1,0,1,146,-62,69,47,1,1,17,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
98,RR Pant,Gulbadin Naib,KL Rahul,1,0,1,147,-63,3,5,1,2,17,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
99,KL Rahul,Gulbadin Naib,RR Pant,0,0,0,147,-63,69,48,2,3,17,-,,bowled,KL Rahul,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
100,HH Pandya,Gulbadin Naib,RR Pant,1,0,1,148,-64,1,1,2,4,17,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
101,RR Pant,Gulbadin Naib,HH Pandya,6,0,6,154,-70,9,6,2,5,17,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
102,RR Pant,Gulbadin Naib,HH Pandya,6,0,6,160,-76,15,7,2,6,17,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
103,HH Pandya,Hamid Hassan,RR Pant,4,0,4,164,-80,5,2,2,1,18,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
104,HH Pandya,Hamid Hassan,RR Pant,1,0,1,165,-81,6,3,2,2,18,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
105,RR Pant,Hamid Hassan,HH Pandya,1,0,1,166,-82,16,8,2,3,18,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
106,HH Pandya,Hamid Hassan,RR Pant,4,0,4,170,-86,10,4,2,4,18,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
107,HH Pandya,Hamid Hassan,RR Pant,4,0,4,174,-90,14,5,2,5,18,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
108,HH Pandya,Hamid Hassan,RR Pant,0,1,1,175,-91,14,6,2,6,18,legbyes,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
109,HH Pandya,Naveen-ul-Haq,RR Pant,2,0,2,177,-93,16,7,2,1,19,-,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
110,HH Pandya,Naveen-ul-Haq,RR Pant,0,1,1,178,-94,16,8,2,2,19,wides,,0,,,field,Afghanistan,1,"Zayed Cricket Stadium, Abu Dhabi",2021,11,India_Afghanistan_2021-11-03,India,India,Afghanistan,210
