,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
29,GD Phillips,Washington Sundar,MS Chapman,1,0,1,29,,1,1,2,6,4,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
30,MS Chapman,Washington Sundar,GD Phillips,0,0,0,29,,1,5,2,7,4,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
31,GD Phillips,YS Chahal,MS Chapman,0,1,1,30,,1,2,2,1,5,0,,,,wides,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
32,GD Phillips,YS Chahal,MS Chapman,0,0,0,30,,1,3,2,2,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
33,GD Phillips,YS Chahal,MS Chapman,0,0,0,30,,1,4,2,3,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
34,GD Phillips,YS Chahal,MS Chapman,0,0,0,30,,1,5,2,4,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
35,GD Phillips,YS Chahal,MS Chapman,2,0,2,32,,3,6,2,5,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
36,GD Phillips,YS Chahal,MS Chapman,1,0,1,33,,4,7,2,6,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
37,MS Chapman,YS Chahal,GD Phillips,0,0,0,33,,1,6,2,7,5,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
38,GD Phillips,DJ Hooda,MS Chapman,0,0,0,33,,4,8,2,1,6,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
39,GD Phillips,DJ Hooda,MS Chapman,0,0,0,33,,4,9,2,2,6,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
40,GD Phillips,DJ Hooda,MS Chapman,1,0,1,34,,5,10,2,3,6,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
41,MS Chapman,DJ Hooda,GD Phillips,1,0,1,35,,2,7,2,4,6,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
