,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
17,ML Hayden,D Gough,A Symonds,0,0,0,23,156,6,4,2,6,2,-,caught,ML Hayden,KP Pietersen,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
18,A Symonds,D Gough,MJ Clarke,0,0,0,23,156,0,1,2,7,2,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
19,MJ Clarke,J Lewis,A Symonds,0,0,0,23,156,0,1,3,1,3,-,caught,MJ Clarke,GO Jones,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
20,MEK Hussey,J Lewis,A Symonds,0,0,0,23,156,0,1,3,2,3,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
21,MEK Hussey,J Lewis,A Symonds,1,0,1,24,155,1,2,3,3,3,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
22,A Symonds,J Lewis,MEK Hussey,0,0,0,24,155,0,2,4,4,3,-,caught,A Symonds,KP Pietersen,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
23,RT Ponting,J Lewis,MEK Hussey,0,0,0,24,155,0,1,4,5,3,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
24,RT Ponting,J Lewis,MEK Hussey,0,0,0,24,155,0,2,4,6,3,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
25,MEK Hussey,D Gough,RT Ponting,0,0,0,24,155,1,3,4,1,4,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
26,MEK Hussey,D Gough,RT Ponting,0,0,0,24,155,1,4,4,2,4,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
27,MEK Hussey,D Gough,RT Ponting,0,0,0,24,155,1,5,4,3,4,-,0,,,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
28,MEK Hussey,D Gough,RT Ponting,0,0,0,24,155,1,6,5,4,4,-,caught,MEK Hussey,A Flintoff,bat,England,2,The Rose Bowl,2005,06,England_Australia_2005-06-13,England,Australia,England,False,79
