,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
17,DM de Silva,JL Denly,LD Chandimal,0,0,0,16,0,1,6,-,0,,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
18,LD Chandimal,TK Curran,DM de Silva,0,1,1,17,7,8,1,legbyes,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
19,DM de Silva,TK Curran,LD Chandimal,1,0,1,18,1,2,2,-,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
20,LD Chandimal,TK Curran,DM de Silva,4,0,4,22,11,9,3,-,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
21,LD Chandimal,TK Curran,DM de Silva,0,0,0,22,11,10,4,-,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
22,LD Chandimal,TK Curran,DM de Silva,4,0,4,26,15,11,5,-,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
23,LD Chandimal,TK Curran,DM de Silva,4,0,4,30,19,12,6,-,0,,,4,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
24,DM de Silva,JL Denly,LD Chandimal,1,0,1,31,2,3,1,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
25,LD Chandimal,JL Denly,DM de Silva,4,0,4,35,23,13,2,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
26,LD Chandimal,JL Denly,DM de Silva,1,0,1,36,24,14,3,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
27,DM de Silva,JL Denly,LD Chandimal,1,0,1,37,3,4,4,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
28,LD Chandimal,JL Denly,DM de Silva,0,0,0,37,24,15,5,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
29,LD Chandimal,JL Denly,DM de Silva,0,0,0,37,24,16,6,-,0,,,5,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
30,DM de Silva,CJ Jordan,LD Chandimal,0,0,0,37,3,5,1,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
31,DM de Silva,CJ Jordan,LD Chandimal,0,0,0,37,3,6,2,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
32,DM de Silva,CJ Jordan,LD Chandimal,4,0,4,41,7,7,3,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
33,DM de Silva,CJ Jordan,LD Chandimal,4,0,4,45,11,8,4,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
34,DM de Silva,CJ Jordan,LD Chandimal,1,0,1,46,12,9,5,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
35,LD Chandimal,CJ Jordan,DM de Silva,1,0,1,47,25,17,6,-,0,,,6,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
36,LD Chandimal,AU Rashid,DM de Silva,1,0,1,48,26,18,1,-,0,,,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
37,DM de Silva,AU Rashid,LD Chandimal,0,0,0,48,12,10,2,-,0,,,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
38,DM de Silva,AU Rashid,LD Chandimal,1,0,1,49,13,11,3,-,0,,,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
39,LD Chandimal,AU Rashid,DM de Silva,0,0,0,49,26,19,4,-,0,,,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
40,LD Chandimal,AU Rashid,DM de Silva,0,0,0,49,26,20,5,-,caught,LD Chandimal,AD Hales,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
41,PHKD Mendis,AU Rashid,DM de Silva,1,0,1,50,1,1,6,-,0,,,7,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
42,PHKD Mendis,LE Plunkett,DM de Silva,0,0,0,50,1,2,1,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
43,PHKD Mendis,LE Plunkett,DM de Silva,0,0,0,50,1,3,2,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
44,PHKD Mendis,LE Plunkett,DM de Silva,4,0,4,54,5,4,3,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
45,PHKD Mendis,LE Plunkett,DM de Silva,0,0,0,54,5,5,4,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
46,PHKD Mendis,LE Plunkett,DM de Silva,4,0,4,58,9,6,5,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
47,PHKD Mendis,LE Plunkett,DM de Silva,1,0,1,59,10,7,6,-,0,,,8,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
48,PHKD Mendis,AU Rashid,DM de Silva,1,0,1,60,11,8,1,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
49,DM de Silva,AU Rashid,PHKD Mendis,0,0,0,60,13,12,2,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
50,DM de Silva,AU Rashid,PHKD Mendis,2,0,2,62,15,13,3,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
51,DM de Silva,AU Rashid,PHKD Mendis,0,0,0,62,15,14,4,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
52,DM de Silva,AU Rashid,PHKD Mendis,1,0,1,63,16,15,5,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
53,PHKD Mendis,AU Rashid,DM de Silva,1,0,1,64,12,9,6,-,0,,,9,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
54,PHKD Mendis,MM Ali,DM de Silva,6,0,6,70,18,10,1,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
55,PHKD Mendis,MM Ali,DM de Silva,1,0,1,71,19,11,2,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
56,DM de Silva,MM Ali,PHKD Mendis,0,0,0,71,16,16,3,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
57,DM de Silva,MM Ali,PHKD Mendis,1,0,1,72,17,17,4,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
58,PHKD Mendis,MM Ali,DM de Silva,4,0,4,76,23,12,5,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
59,PHKD Mendis,MM Ali,DM de Silva,1,0,1,77,24,13,6,-,0,,,10,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
60,PHKD Mendis,AU Rashid,DM de Silva,0,0,0,77,24,14,1,-,caught,PHKD Mendis,AD Hales,11,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
61,DM de Silva,AU Rashid,NLTC Perera,0,0,0,77,17,18,2,-,0,,,11,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
62,DM de Silva,AU Rashid,NLTC Perera,0,0,0,77,17,19,3,-,lbw,DM de Silva,,11,"{'by': 'England', 'batter': 'DM de Silva', 'decision': 'upheld'}",field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
63,MD Shanaka,AU Rashid,NLTC Perera,0,0,0,77,0,1,4,-,0,,,11,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
64,MD Shanaka,AU Rashid,NLTC Perera,1,0,1,78,1,2,5,-,0,,,11,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
65,NLTC Perera,AU Rashid,MD Shanaka,1,0,1,79,1,1,6,-,0,,,11,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
66,NLTC Perera,MM Ali,MD Shanaka,1,0,1,80,2,2,1,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
67,MD Shanaka,MM Ali,NLTC Perera,1,0,1,81,2,3,2,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
68,NLTC Perera,MM Ali,MD Shanaka,1,0,1,82,3,3,3,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
69,MD Shanaka,MM Ali,NLTC Perera,1,0,1,83,3,4,4,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
70,NLTC Perera,MM Ali,MD Shanaka,1,0,1,84,4,4,5,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
71,MD Shanaka,MM Ali,NLTC Perera,6,0,6,90,9,5,6,-,0,,,12,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
72,NLTC Perera,AU Rashid,MD Shanaka,1,0,1,91,5,5,1,-,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
73,MD Shanaka,AU Rashid,NLTC Perera,0,0,0,91,9,6,2,-,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
74,MD Shanaka,AU Rashid,NLTC Perera,0,0,0,91,9,7,3,-,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
75,MD Shanaka,AU Rashid,NLTC Perera,0,0,0,91,9,8,4,-,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
76,MD Shanaka,AU Rashid,NLTC Perera,0,1,1,92,9,9,5,legbyes,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
77,NLTC Perera,AU Rashid,MD Shanaka,0,0,0,92,5,6,6,-,0,,,13,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
78,MD Shanaka,CJ Jordan,NLTC Perera,0,0,0,92,9,10,1,-,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
79,MD Shanaka,CJ Jordan,NLTC Perera,0,0,0,92,9,11,2,-,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
80,MD Shanaka,CJ Jordan,NLTC Perera,1,0,1,93,10,12,3,-,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
81,NLTC Perera,CJ Jordan,MD Shanaka,0,0,0,93,5,7,4,-,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
82,NLTC Perera,CJ Jordan,MD Shanaka,0,2,2,95,5,8,5,legbyes,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
83,NLTC Perera,CJ Jordan,MD Shanaka,1,0,1,96,6,9,6,-,0,,,14,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
84,NLTC Perera,LE Plunkett,MD Shanaka,0,0,0,96,6,10,1,-,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
85,NLTC Perera,LE Plunkett,MD Shanaka,0,1,1,97,6,11,2,wides,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
86,NLTC Perera,LE Plunkett,MD Shanaka,6,0,6,103,12,12,3,-,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
87,NLTC Perera,LE Plunkett,MD Shanaka,6,0,6,109,18,13,4,-,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
88,NLTC Perera,LE Plunkett,MD Shanaka,1,0,1,110,19,14,5,-,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
89,MD Shanaka,LE Plunkett,NLTC Perera,0,0,0,110,10,13,6,-,bowled,MD Shanaka,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
90,I Udana,LE Plunkett,NLTC Perera,1,0,1,111,1,1,7,-,0,,,15,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
91,I Udana,CJ Jordan,NLTC Perera,1,0,1,112,2,2,1,-,0,,,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
92,NLTC Perera,CJ Jordan,I Udana,6,0,6,118,25,15,2,-,0,,,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
93,NLTC Perera,CJ Jordan,I Udana,1,0,1,119,26,16,3,-,0,,,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
94,I Udana,CJ Jordan,NLTC Perera,0,0,0,119,2,3,4,-,caught,I Udana,BA Stokes,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
95,MA Aponso,CJ Jordan,NLTC Perera,0,0,0,119,0,1,5,-,0,,,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
96,MA Aponso,CJ Jordan,NLTC Perera,0,0,0,119,0,2,6,-,bowled,MA Aponso,,16,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
97,NLTC Perera,TK Curran,SL Malinga,1,0,1,120,27,17,1,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
98,SL Malinga,TK Curran,NLTC Perera,1,0,1,121,1,1,2,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
99,NLTC Perera,TK Curran,SL Malinga,1,0,1,122,28,18,3,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
100,SL Malinga,TK Curran,NLTC Perera,1,0,1,123,2,2,4,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
101,NLTC Perera,TK Curran,SL Malinga,1,0,1,124,29,19,5,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
102,SL Malinga,TK Curran,NLTC Perera,1,0,1,125,3,3,6,-,0,,,17,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
103,SL Malinga,CJ Jordan,NLTC Perera,1,0,1,126,4,4,1,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
104,NLTC Perera,CJ Jordan,SL Malinga,2,0,2,128,31,20,2,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
105,NLTC Perera,CJ Jordan,SL Malinga,0,0,0,128,31,21,3,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
106,NLTC Perera,CJ Jordan,SL Malinga,2,0,2,130,33,22,4,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
107,NLTC Perera,CJ Jordan,SL Malinga,0,0,0,130,33,23,5,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
108,NLTC Perera,CJ Jordan,SL Malinga,4,0,4,134,37,24,6,-,0,,,18,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
109,SL Malinga,TK Curran,NLTC Perera,1,0,1,135,5,5,1,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
110,NLTC Perera,TK Curran,SL Malinga,0,0,0,135,37,25,2,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
111,NLTC Perera,TK Curran,SL Malinga,2,0,2,137,39,26,3,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
112,NLTC Perera,TK Curran,SL Malinga,6,0,6,143,45,27,4,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
113,NLTC Perera,TK Curran,SL Malinga,0,0,0,143,45,28,5,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
114,NLTC Perera,TK Curran,SL Malinga,6,0,6,149,51,29,6,-,0,,,19,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
115,SL Malinga,JL Denly,NLTC Perera,0,1,1,150,5,6,1,legbyes,0,,,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
116,NLTC Perera,JL Denly,SL Malinga,0,0,0,150,51,30,2,-,0,,,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
117,NLTC Perera,JL Denly,SL Malinga,6,0,6,156,57,31,3,-,0,,,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
118,NLTC Perera,JL Denly,SL Malinga,0,0,0,156,57,32,4,-,caught,NLTC Perera,JJ Roy,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
119,PADLR Sandakan,JL Denly,SL Malinga,1,0,1,157,1,1,5,-,0,,,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
120,SL Malinga,JL Denly,PADLR Sandakan,0,0,0,157,5,7,6,-,bowled,SL Malinga,,20,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
