,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
30,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,44,62,30,20,0,5,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
31,DA Warner,Mohammad Hasnain,AJ Finch,1,0,1,45,61,13,12,0,6,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
32,DA Warner,Mohammad Amir,AJ Finch,1,0,1,46,60,14,13,0,1,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
33,AJ Finch,Mohammad Amir,DA Warner,0,0,0,46,60,30,21,0,2,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
34,AJ Finch,Mohammad Amir,DA Warner,1,0,1,47,59,31,22,0,3,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
35,DA Warner,Mohammad Amir,AJ Finch,4,0,4,51,55,18,14,0,4,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
36,DA Warner,Mohammad Amir,AJ Finch,0,1,1,52,54,18,15,0,5,5,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
37,DA Warner,Mohammad Amir,AJ Finch,4,0,4,56,50,22,16,0,6,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
38,DA Warner,Mohammad Amir,AJ Finch,0,0,0,56,50,22,17,0,7,5,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
39,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,57,49,32,23,0,1,6,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
40,DA Warner,Mohammad Hasnain,AJ Finch,0,0,0,57,49,22,18,0,2,6,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
41,DA Warner,Mohammad Hasnain,AJ Finch,0,1,1,58,48,22,19,0,3,6,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
42,DA Warner,Mohammad Hasnain,AJ Finch,2,0,2,60,46,24,20,0,4,6,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
43,DA Warner,Mohammad Hasnain,AJ Finch,2,0,2,62,44,26,21,0,5,6,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
44,DA Warner,Mohammad Hasnain,AJ Finch,0,1,1,63,43,26,22,0,6,6,legbyes,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
45,AJ Finch,Mohammad Hasnain,DA Warner,0,0,0,63,43,32,24,0,7,6,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
46,DA Warner,Imad Wasim,AJ Finch,1,0,1,64,42,27,23,0,1,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
47,AJ Finch,Imad Wasim,DA Warner,1,0,1,65,41,33,25,0,2,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
48,DA Warner,Imad Wasim,AJ Finch,2,0,2,67,39,29,24,0,3,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
49,DA Warner,Imad Wasim,AJ Finch,6,0,6,73,33,35,25,0,4,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
50,DA Warner,Imad Wasim,AJ Finch,2,0,2,75,31,37,26,0,5,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
51,DA Warner,Imad Wasim,AJ Finch,0,0,0,75,31,37,27,0,6,7,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
52,AJ Finch,Mohammad Hasnain,DA Warner,0,2,2,77,29,33,26,0,1,8,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
53,DA Warner,Mohammad Hasnain,AJ Finch,1,0,1,78,28,38,28,0,2,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
54,AJ Finch,Mohammad Hasnain,DA Warner,6,0,6,84,22,39,27,0,3,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
55,AJ Finch,Mohammad Hasnain,DA Warner,0,0,0,84,22,39,28,0,4,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
56,AJ Finch,Mohammad Hasnain,DA Warner,0,0,0,84,22,39,29,0,5,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
57,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,85,21,40,30,0,6,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
58,DA Warner,Mohammad Hasnain,AJ Finch,0,0,0,85,21,38,29,0,7,8,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
59,AJ Finch,Muhammad Musa,DA Warner,1,0,1,86,20,41,31,0,1,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
60,DA Warner,Muhammad Musa,AJ Finch,0,0,0,86,20,38,30,0,2,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
61,DA Warner,Muhammad Musa,AJ Finch,2,0,2,88,18,40,31,0,3,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
62,DA Warner,Muhammad Musa,AJ Finch,4,0,4,92,14,44,32,0,4,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
63,DA Warner,Muhammad Musa,AJ Finch,1,0,1,93,13,45,33,0,5,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
64,AJ Finch,Muhammad Musa,DA Warner,1,0,1,94,12,42,32,0,6,9,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
65,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,95,11,43,33,0,1,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
66,DA Warner,Mohammad Hasnain,AJ Finch,0,0,0,95,11,45,34,0,2,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
67,DA Warner,Mohammad Hasnain,AJ Finch,0,1,1,96,10,45,35,0,3,10,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
68,DA Warner,Mohammad Hasnain,AJ Finch,1,0,1,97,9,46,36,0,4,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
69,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,98,8,44,34,0,5,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
70,DA Warner,Mohammad Hasnain,AJ Finch,1,0,1,99,7,47,37,0,6,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
71,AJ Finch,Mohammad Hasnain,DA Warner,1,0,1,100,6,45,35,0,7,10,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
72,AJ Finch,Muhammad Musa,DA Warner,0,1,1,101,5,45,36,0,1,11,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
73,AJ Finch,Muhammad Musa,DA Warner,2,0,2,103,3,47,37,0,2,11,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
74,AJ Finch,Muhammad Musa,DA Warner,0,0,0,103,3,47,38,0,3,11,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
75,AJ Finch,Muhammad Musa,DA Warner,1,0,1,104,2,48,39,0,4,11,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
76,DA Warner,Muhammad Musa,AJ Finch,1,0,1,105,1,48,38,0,5,11,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
77,AJ Finch,Muhammad Musa,DA Warner,4,0,4,109,-3,52,40,0,6,11,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
