,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
28,Liton Das,M Theekshana,Soumya Sarkar,1,0,1,44,121,19,12,0,-,4.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
29,Soumya Sarkar,M Theekshana,Liton Das,1,0,1,45,120,24,18,0,-,5.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
30,Liton Das,M Theekshana,Soumya Sarkar,1,0,1,46,119,20,13,0,-,6.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
31,Liton Das,D Madushanka,Soumya Sarkar,6,0,6,52,113,26,14,0,-,1.0,5,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
32,Liton Das,D Madushanka,Soumya Sarkar,4,0,4,56,109,30,15,0,-,2.0,5,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
33,Liton Das,D Madushanka,Soumya Sarkar,1,0,1,57,108,31,16,0,-,3.0,5,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
34,Soumya Sarkar,D Madushanka,Liton Das,0,1,1,58,107,24,19,0,wides,3.0,5,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
35,Soumya Sarkar,D Madushanka,Liton Das,0,0,0,58,107,24,20,0,-,4.0,5,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
36,Soumya Sarkar,D Madushanka,Liton Das,1,0,1,59,106,25,21,0,-,5.0,5,"{'by': 'Sri Lanka', 'umpire': 'Gazi Sohel', 'batter': 'Soumya Sarkar', 'decision': 'struck down', 'type': 'wicket'}",0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
37,Liton Das,D Madushanka,Soumya Sarkar,0,4,4,63,102,31,17,0,legbyes,6.0,5,"{'by': 'Sri Lanka', 'umpire': 'Gazi Sohel', 'batter': 'Soumya Sarkar', 'decision': 'struck down', 'type': 'wicket'}",0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
