,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
81,Babar Azam,RA Jadeja,Mohammad Rizwan,4,0,4,106,56,42,2,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
82,Babar Azam,RA Jadeja,Mohammad Rizwan,1,0,1,107,57,43,3,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
83,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,108,48,41,4,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
84,Babar Azam,RA Jadeja,Mohammad Rizwan,0,0,0,108,57,44,5,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
85,Babar Azam,RA Jadeja,Mohammad Rizwan,4,0,4,112,61,45,6,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
86,Mohammad Rizwan,JJ Bumrah,Babar Azam,0,0,0,112,48,42,1,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
87,Mohammad Rizwan,JJ Bumrah,Babar Azam,4,0,4,116,52,43,2,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
88,Mohammad Rizwan,JJ Bumrah,Babar Azam,2,0,2,118,54,44,3,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
89,Mohammad Rizwan,JJ Bumrah,Babar Azam,1,0,1,119,55,45,4,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
90,Babar Azam,JJ Bumrah,Mohammad Rizwan,1,0,1,120,62,46,5,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
91,Mohammad Rizwan,JJ Bumrah,Babar Azam,1,0,1,121,56,46,6,15,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
92,Mohammad Rizwan,Mohammed Shami,Babar Azam,4,0,4,125,60,47,1,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
93,Mohammad Rizwan,Mohammed Shami,Babar Azam,0,0,0,125,60,48,2,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
94,Mohammad Rizwan,Mohammed Shami,Babar Azam,1,0,1,126,61,49,3,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
95,Babar Azam,Mohammed Shami,Mohammad Rizwan,1,0,1,127,63,47,4,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
96,Mohammad Rizwan,Mohammed Shami,Babar Azam,1,0,1,128,62,50,5,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
97,Babar Azam,Mohammed Shami,Mohammad Rizwan,0,0,0,128,63,48,6,16,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
98,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,129,63,51,1,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
99,Babar Azam,B Kumar,Mohammad Rizwan,1,0,1,130,64,49,2,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
100,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,130,63,52,3,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
101,Mohammad Rizwan,B Kumar,Babar Azam,0,1,1,131,63,53,4,17,{'wides': 1},wides,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
102,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,132,64,54,5,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
103,Babar Azam,B Kumar,Mohammad Rizwan,0,1,1,133,64,50,6,17,{'wides': 1},wides,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
104,Babar Azam,B Kumar,Mohammad Rizwan,2,0,2,135,66,51,7,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
105,Babar Azam,B Kumar,Mohammad Rizwan,0,0,0,135,66,52,8,17,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
106,Mohammad Rizwan,Mohammed Shami,Babar Azam,6,0,6,141,70,55,1,18,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
107,Mohammad Rizwan,Mohammed Shami,Babar Azam,4,0,4,145,74,56,2,18,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
108,Mohammad Rizwan,Mohammed Shami,Babar Azam,4,0,4,149,78,57,3,18,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
109,Mohammad Rizwan,Mohammed Shami,Babar Azam,1,0,1,150,79,58,4,18,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
110,Babar Azam,Mohammed Shami,Mohammad Rizwan,2,0,2,152,68,53,5,18,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
