,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
19,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,0,0,0,34,2,5,5,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
20,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,0,0,0,34,2,6,6,-,3,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
21,PR Stirling,Fareed Ahmad,KJ O'Brien,,0,0,0,34,29,16,1,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
22,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,38,33,17,2,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
23,PR Stirling,Fareed Ahmad,KJ O'Brien,,0,0,0,38,33,18,3,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
24,PR Stirling,Fareed Ahmad,KJ O'Brien,,4,0,4,42,37,19,4,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
25,PR Stirling,Fareed Ahmad,KJ O'Brien,,1,0,1,43,38,20,5,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
26,KJ O'Brien,Fareed Ahmad,PR Stirling,,4,0,4,47,6,7,6,-,4,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
27,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,1,0,1,48,39,21,1,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
28,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,1,0,1,49,7,8,2,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
29,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,4,0,4,53,43,22,3,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
30,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,0,0,0,53,43,23,4,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
31,PR Stirling,Mujeeb Ur Rahman,KJ O'Brien,,1,0,1,54,44,24,5,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
32,KJ O'Brien,Mujeeb Ur Rahman,PR Stirling,,1,0,1,55,8,9,6,-,5,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
33,KJ O'Brien,Mohammad Nabi,PR Stirling,,2,0,2,57,10,10,1,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
34,KJ O'Brien,Mohammad Nabi,PR Stirling,,4,0,4,61,14,11,2,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
35,KJ O'Brien,Mohammad Nabi,PR Stirling,,1,0,1,62,15,12,3,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
36,PR Stirling,Mohammad Nabi,KJ O'Brien,,0,0,0,62,44,25,4,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
37,PR Stirling,Mohammad Nabi,KJ O'Brien,,1,0,1,63,45,26,5,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
38,KJ O'Brien,Mohammad Nabi,PR Stirling,,6,0,6,69,21,13,6,-,6,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
39,PR Stirling,Karim Janat,KJ O'Brien,,1,0,1,70,46,27,1,-,7,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
40,KJ O'Brien,Karim Janat,PR Stirling,,1,0,1,71,22,14,2,-,7,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
41,PR Stirling,Karim Janat,KJ O'Brien,,1,0,1,72,47,28,3,-,7,0,,,bat,Afghanistan,2,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019-02-23,Ireland,Afghanistan
