,batter,bowler,non_striker,extras,replacements,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
46,MR Marsh,PWH de Silva,AJ Finch,,,1,0,1,44,9,14,3,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
47,AJ Finch,PWH de Silva,MR Marsh,,,1,0,1,45,13,24,4,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
48,MR Marsh,PWH de Silva,AJ Finch,,,2,0,2,47,11,15,5,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
49,MR Marsh,PWH de Silva,AJ Finch,,,6,0,6,53,17,16,6,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
50,AJ Finch,DM de Silva,MR Marsh,,,6,0,6,59,19,25,1,-,9,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
51,AJ Finch,DM de Silva,MR Marsh,,,1,0,1,60,20,26,2,-,9,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
52,MR Marsh,DM de Silva,AJ Finch,,,0,0,0,60,17,17,3,-,9,caught,MR Marsh,PBB Rajapaksa,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
53,GJ Maxwell,DM de Silva,AJ Finch,,,1,0,1,61,1,1,4,-,9,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
54,AJ Finch,DM de Silva,GJ Maxwell,,,1,0,1,62,21,27,5,-,9,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
55,GJ Maxwell,DM de Silva,AJ Finch,,,4,0,4,66,5,2,6,-,9,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
56,AJ Finch,PWH de Silva,GJ Maxwell,,,1,0,1,67,22,28,1,-,10,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
