,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
13,HE van der Dussen,MA Starc,F du Plessis,0,1,1,14,3,5,2,0,,,3,{'wides': 1},wides,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
14,HE van der Dussen,MA Starc,F du Plessis,4,0,4,18,7,6,3,0,,,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
15,HE van der Dussen,MA Starc,F du Plessis,4,0,4,22,11,7,4,0,,,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
16,HE van der Dussen,MA Starc,F du Plessis,1,0,1,23,12,8,5,0,,,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
17,F du Plessis,MA Starc,HE van der Dussen,0,0,0,23,5,7,6,caught,F du Plessis,A Zampa,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
18,H Klaasen,MA Starc,HE van der Dussen,0,1,1,24,0,1,7,0,,,3,{'wides': 1},wides,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
19,H Klaasen,MA Starc,HE van der Dussen,0,0,0,24,0,2,8,0,,,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
20,HE van der Dussen,KW Richardson,H Klaasen,1,0,1,25,13,9,1,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
21,H Klaasen,KW Richardson,HE van der Dussen,0,0,0,25,0,3,2,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
22,H Klaasen,KW Richardson,HE van der Dussen,0,0,0,25,0,4,3,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
23,H Klaasen,KW Richardson,HE van der Dussen,6,0,6,31,6,5,4,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
24,H Klaasen,KW Richardson,HE van der Dussen,1,0,1,32,7,6,5,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
25,HE van der Dussen,KW Richardson,H Klaasen,0,0,0,32,13,10,6,0,,,4,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
26,H Klaasen,PJ Cummins,HE van der Dussen,4,0,4,36,11,7,1,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
27,H Klaasen,PJ Cummins,HE van der Dussen,1,0,1,37,12,8,2,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
28,HE van der Dussen,PJ Cummins,H Klaasen,1,0,1,38,14,11,3,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
29,H Klaasen,PJ Cummins,HE van der Dussen,1,0,1,39,13,9,4,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
30,HE van der Dussen,PJ Cummins,H Klaasen,1,0,1,40,15,12,5,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
31,H Klaasen,PJ Cummins,HE van der Dussen,1,0,1,41,14,10,6,0,,,5,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
32,H Klaasen,KW Richardson,HE van der Dussen,1,0,1,42,15,11,1,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
33,HE van der Dussen,KW Richardson,H Klaasen,0,0,0,42,15,13,2,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
34,HE van der Dussen,KW Richardson,H Klaasen,4,0,4,46,19,14,3,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
35,HE van der Dussen,KW Richardson,H Klaasen,1,0,1,47,20,15,4,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
36,H Klaasen,KW Richardson,HE van der Dussen,2,0,2,49,17,12,5,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
37,H Klaasen,KW Richardson,HE van der Dussen,1,0,1,50,18,13,6,0,,,6,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
38,H Klaasen,AC Agar,HE van der Dussen,0,0,0,50,18,14,1,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
39,H Klaasen,AC Agar,HE van der Dussen,1,0,1,51,19,15,2,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
40,HE van der Dussen,AC Agar,H Klaasen,1,0,1,52,21,16,3,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
41,H Klaasen,AC Agar,HE van der Dussen,1,0,1,53,20,16,4,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
42,HE van der Dussen,AC Agar,H Klaasen,1,0,1,54,22,17,5,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
43,H Klaasen,AC Agar,HE van der Dussen,1,0,1,55,21,17,6,0,,,7,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
44,H Klaasen,A Zampa,HE van der Dussen,1,0,1,56,22,18,1,0,,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
45,HE van der Dussen,A Zampa,H Klaasen,1,0,1,57,23,18,2,0,,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
46,H Klaasen,A Zampa,HE van der Dussen,0,0,0,57,22,19,3,bowled,H Klaasen,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
47,DA Miller,A Zampa,HE van der Dussen,0,0,0,57,0,1,4,0,,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
48,DA Miller,A Zampa,HE van der Dussen,0,0,0,57,0,2,5,0,,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
49,DA Miller,A Zampa,HE van der Dussen,0,0,0,57,0,3,6,0,,,8,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
50,HE van der Dussen,AC Agar,DA Miller,1,0,1,58,24,19,1,0,,,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
51,DA Miller,AC Agar,HE van der Dussen,1,0,1,59,1,4,2,0,,,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
52,HE van der Dussen,AC Agar,DA Miller,0,0,0,59,24,20,3,caught,HE van der Dussen,A Zampa,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
53,DA Miller,AC Agar,PJ van Biljon,1,0,1,60,2,5,4,0,,,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
54,PJ van Biljon,AC Agar,DA Miller,1,0,1,61,1,1,5,0,,,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
55,DA Miller,AC Agar,PJ van Biljon,1,0,1,62,3,6,6,0,,,9,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
56,DA Miller,A Zampa,PJ van Biljon,0,0,0,62,3,7,1,0,,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
57,DA Miller,A Zampa,PJ van Biljon,2,0,2,64,5,8,2,0,,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
58,DA Miller,A Zampa,PJ van Biljon,1,0,1,65,6,9,3,0,,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
59,PJ van Biljon,A Zampa,DA Miller,0,0,0,65,1,2,4,0,,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
60,PJ van Biljon,A Zampa,DA Miller,0,0,0,65,1,3,5,0,,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
61,PJ van Biljon,A Zampa,DA Miller,0,0,0,65,1,4,6,bowled,PJ van Biljon,,10,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
62,DA Miller,AC Agar,D Pretorius,1,0,1,66,7,10,1,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
63,D Pretorius,AC Agar,DA Miller,1,0,1,67,1,1,2,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
64,DA Miller,AC Agar,D Pretorius,1,0,1,68,8,11,3,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
65,D Pretorius,AC Agar,DA Miller,0,0,0,68,1,2,4,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
66,D Pretorius,AC Agar,DA Miller,1,0,1,69,2,3,5,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
67,DA Miller,AC Agar,D Pretorius,1,0,1,70,9,12,6,0,,,11,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
68,DA Miller,A Zampa,D Pretorius,1,0,1,71,10,13,1,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
69,D Pretorius,A Zampa,DA Miller,0,0,0,71,2,4,2,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
70,D Pretorius,A Zampa,DA Miller,1,0,1,72,3,5,3,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
71,DA Miller,A Zampa,D Pretorius,1,0,1,73,11,14,4,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
72,D Pretorius,A Zampa,DA Miller,1,0,1,74,4,6,5,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
73,DA Miller,A Zampa,D Pretorius,1,0,1,75,12,15,6,0,,,12,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
74,DA Miller,PJ Cummins,D Pretorius,2,0,2,77,14,16,1,0,,,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
75,DA Miller,PJ Cummins,D Pretorius,1,0,1,78,15,17,2,0,,,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
76,D Pretorius,PJ Cummins,DA Miller,6,0,6,84,10,7,3,0,,,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
77,D Pretorius,PJ Cummins,DA Miller,0,1,1,85,10,8,4,0,,,13,{'wides': 1},wides,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
78,D Pretorius,PJ Cummins,DA Miller,0,1,1,86,10,9,5,0,,,13,{'wides': 1},wides,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
79,D Pretorius,PJ Cummins,DA Miller,1,0,1,87,11,10,6,0,,,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
80,DA Miller,PJ Cummins,D Pretorius,0,0,0,87,15,18,7,caught,DA Miller,AJ Finch,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
81,K Rabada,PJ Cummins,D Pretorius,0,0,0,87,0,1,8,0,,,13,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
82,D Pretorius,MR Marsh,K Rabada,0,0,0,87,11,11,1,lbw,D Pretorius,,14,,-,"{'by': 'South Africa', 'umpire': 'AT Holdstock', 'batter': 'D Pretorius', 'decision': 'struck down'}",field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
83,A Nortje,MR Marsh,K Rabada,0,0,0,87,0,1,2,0,,,14,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
84,A Nortje,MR Marsh,K Rabada,1,0,1,88,1,2,3,0,,,14,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
85,K Rabada,MR Marsh,A Nortje,1,0,1,89,1,2,4,0,,,14,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
86,A Nortje,MR Marsh,K Rabada,0,0,0,89,1,3,5,0,,,14,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
87,A Nortje,MR Marsh,K Rabada,1,0,1,90,2,4,6,0,,,14,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
88,A Nortje,AC Agar,K Rabada,0,0,0,90,2,5,1,0,,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
89,A Nortje,AC Agar,K Rabada,0,0,0,90,2,6,2,lbw,A Nortje,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
90,L Ngidi,AC Agar,K Rabada,0,0,0,90,0,1,3,bowled,L Ngidi,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
91,T Shamsi,AC Agar,K Rabada,0,0,0,90,0,1,4,0,,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
92,T Shamsi,AC Agar,K Rabada,0,0,0,90,0,2,5,0,,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
93,T Shamsi,AC Agar,K Rabada,1,0,1,91,1,3,6,0,,,15,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
94,T Shamsi,MA Starc,K Rabada,1,0,1,92,2,4,1,0,,,16,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
95,K Rabada,MA Starc,T Shamsi,4,0,4,96,5,3,2,0,,,16,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
96,K Rabada,MA Starc,T Shamsi,0,0,0,96,5,4,3,lbw,K Rabada,,16,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
