,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
22,HE van der Dussen,A Dananjaya,RR Hendricks,1,0,1,20,8,7,5,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
23,RR Hendricks,A Dananjaya,HE van der Dussen,0,0,0,20,9,12,6,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
24,HE van der Dussen,I Udana,RR Hendricks,1,0,1,21,9,8,1,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
25,RR Hendricks,I Udana,HE van der Dussen,1,0,1,22,10,13,2,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
26,HE van der Dussen,I Udana,RR Hendricks,4,0,4,26,13,9,3,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
27,HE van der Dussen,I Udana,RR Hendricks,0,0,0,26,13,10,4,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
28,HE van der Dussen,I Udana,RR Hendricks,1,0,1,27,14,11,5,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
29,RR Hendricks,I Udana,HE van der Dussen,1,0,1,28,11,14,6,5,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
30,RR Hendricks,A Dananjaya,HE van der Dussen,0,0,0,28,11,15,1,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
31,RR Hendricks,A Dananjaya,HE van der Dussen,4,0,4,32,15,16,2,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
32,RR Hendricks,A Dananjaya,HE van der Dussen,4,0,4,36,19,17,3,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
33,RR Hendricks,A Dananjaya,HE van der Dussen,1,0,1,37,20,18,4,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
34,HE van der Dussen,A Dananjaya,RR Hendricks,1,0,1,38,15,12,5,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
35,RR Hendricks,A Dananjaya,HE van der Dussen,1,0,1,39,21,19,6,6,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
36,RR Hendricks,JDF Vandersay,HE van der Dussen,0,0,0,39,21,20,1,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
37,RR Hendricks,JDF Vandersay,HE van der Dussen,3,0,3,42,24,21,2,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
38,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,43,16,13,3,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
39,RR Hendricks,JDF Vandersay,HE van der Dussen,0,0,0,43,24,22,4,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
40,RR Hendricks,JDF Vandersay,HE van der Dussen,1,0,1,44,25,23,5,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
41,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,45,17,14,6,7,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
42,HE van der Dussen,NLTC Perera,RR Hendricks,1,0,1,46,18,15,1,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
43,RR Hendricks,NLTC Perera,HE van der Dussen,1,0,1,47,26,24,2,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
44,HE van der Dussen,NLTC Perera,RR Hendricks,1,0,1,48,19,16,3,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
45,RR Hendricks,NLTC Perera,HE van der Dussen,1,0,1,49,27,25,4,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
46,HE van der Dussen,NLTC Perera,RR Hendricks,6,0,6,55,25,17,5,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
47,HE van der Dussen,NLTC Perera,RR Hendricks,1,0,1,56,26,18,6,8,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
48,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,57,27,19,1,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
49,RR Hendricks,JDF Vandersay,HE van der Dussen,1,0,1,58,28,26,2,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
50,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,59,28,20,3,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
51,RR Hendricks,JDF Vandersay,HE van der Dussen,2,0,2,61,30,27,4,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
52,RR Hendricks,JDF Vandersay,HE van der Dussen,2,0,2,63,32,28,5,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
53,RR Hendricks,JDF Vandersay,HE van der Dussen,0,0,0,63,32,29,6,9,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
54,HE van der Dussen,NLTC Perera,RR Hendricks,6,0,6,69,34,21,1,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
55,HE van der Dussen,NLTC Perera,RR Hendricks,1,0,1,70,35,22,2,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
56,RR Hendricks,NLTC Perera,HE van der Dussen,1,0,1,71,33,30,3,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
57,HE van der Dussen,NLTC Perera,RR Hendricks,6,0,6,77,41,23,4,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
58,HE van der Dussen,NLTC Perera,RR Hendricks,1,0,1,78,42,24,5,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
59,RR Hendricks,NLTC Perera,HE van der Dussen,4,0,4,82,37,31,6,10,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
60,HE van der Dussen,A Dananjaya,RR Hendricks,1,0,1,83,43,25,1,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
61,RR Hendricks,A Dananjaya,HE van der Dussen,0,0,0,83,37,32,2,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
62,RR Hendricks,A Dananjaya,HE van der Dussen,4,0,4,87,41,33,3,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
63,RR Hendricks,A Dananjaya,HE van der Dussen,4,0,4,91,45,34,4,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
64,RR Hendricks,A Dananjaya,HE van der Dussen,1,0,1,92,46,35,5,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
65,HE van der Dussen,A Dananjaya,RR Hendricks,2,0,2,94,45,26,6,11,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
66,RR Hendricks,JDF Vandersay,HE van der Dussen,1,0,1,95,47,36,1,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
67,HE van der Dussen,JDF Vandersay,RR Hendricks,0,0,0,95,45,27,2,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
68,HE van der Dussen,JDF Vandersay,RR Hendricks,0,0,0,95,45,28,3,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
69,HE van der Dussen,JDF Vandersay,RR Hendricks,0,0,0,95,45,29,4,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
70,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,96,46,30,5,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
71,RR Hendricks,JDF Vandersay,HE van der Dussen,2,0,2,98,49,37,6,12,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
72,HE van der Dussen,PHKD Mendis,RR Hendricks,1,0,1,99,47,31,1,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
73,RR Hendricks,PHKD Mendis,HE van der Dussen,4,0,4,103,53,38,2,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
74,RR Hendricks,PHKD Mendis,HE van der Dussen,4,0,4,107,57,39,3,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
75,RR Hendricks,PHKD Mendis,HE van der Dussen,1,0,1,108,58,40,4,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
76,HE van der Dussen,PHKD Mendis,RR Hendricks,1,0,1,109,48,32,5,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
77,RR Hendricks,PHKD Mendis,HE van der Dussen,1,0,1,110,59,41,6,13,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
78,RR Hendricks,JDF Vandersay,HE van der Dussen,1,0,1,111,60,42,1,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
79,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,112,49,33,2,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
80,RR Hendricks,JDF Vandersay,HE van der Dussen,0,0,0,112,60,43,3,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
81,RR Hendricks,JDF Vandersay,HE van der Dussen,4,0,4,116,64,44,4,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
82,RR Hendricks,JDF Vandersay,HE van der Dussen,1,0,1,117,65,45,5,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
83,HE van der Dussen,JDF Vandersay,RR Hendricks,1,0,1,118,50,34,6,14,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
84,HE van der Dussen,SL Malinga,RR Hendricks,4,0,4,122,54,35,1,15,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
85,HE van der Dussen,SL Malinga,RR Hendricks,0,1,1,123,54,36,2,15,0,,,{'wides': 1},wides,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
86,HE van der Dussen,SL Malinga,RR Hendricks,0,1,1,124,54,37,3,15,0,,,{'noballs': 1},noballs,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
87,HE van der Dussen,SL Malinga,RR Hendricks,1,0,1,125,55,38,4,15,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
88,RR Hendricks,SL Malinga,HE van der Dussen,0,0,0,125,65,46,5,15,caught,RR Hendricks,PHKD Mendis,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
89,HE van der Dussen,SL Malinga,JP Duminy,1,0,1,126,56,39,6,15,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
90,JP Duminy,SL Malinga,HE van der Dussen,1,0,1,127,1,1,7,15,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
91,HE van der Dussen,SL Malinga,JP Duminy,1,0,1,128,57,40,8,15,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
92,HE van der Dussen,I Udana,JP Duminy,1,0,1,129,58,41,1,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
93,JP Duminy,I Udana,HE van der Dussen,1,0,1,130,2,2,2,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
94,HE van der Dussen,I Udana,JP Duminy,1,0,1,131,59,42,3,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
95,JP Duminy,I Udana,HE van der Dussen,1,0,1,132,3,3,4,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
96,HE van der Dussen,I Udana,JP Duminy,4,0,4,136,63,43,5,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
97,HE van der Dussen,I Udana,JP Duminy,0,1,1,137,63,44,6,16,0,,,{'wides': 1},wides,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
98,HE van der Dussen,I Udana,JP Duminy,1,0,1,138,64,45,7,16,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
99,HE van der Dussen,A Dananjaya,JP Duminy,0,0,0,138,64,46,1,17,bowled,HE van der Dussen,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
100,DA Miller,A Dananjaya,JP Duminy,1,0,1,139,1,1,2,17,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
101,JP Duminy,A Dananjaya,DA Miller,1,0,1,140,4,4,3,17,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
102,DA Miller,A Dananjaya,JP Duminy,1,0,1,141,2,2,4,17,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
103,JP Duminy,A Dananjaya,DA Miller,0,0,0,141,4,5,5,17,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
104,JP Duminy,A Dananjaya,DA Miller,1,0,1,142,5,6,6,17,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
105,JP Duminy,I Udana,DA Miller,1,0,1,143,6,7,1,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
106,DA Miller,I Udana,JP Duminy,1,0,1,144,3,3,2,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
107,JP Duminy,I Udana,DA Miller,4,0,4,148,10,8,3,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
108,JP Duminy,I Udana,DA Miller,0,1,1,149,10,9,4,18,0,,,{'wides': 1},wides,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
109,JP Duminy,I Udana,DA Miller,1,0,1,150,11,10,5,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
110,DA Miller,I Udana,JP Duminy,1,0,1,151,4,4,6,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
111,JP Duminy,I Udana,DA Miller,6,0,6,157,17,11,7,18,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
112,DA Miller,SL Malinga,JP Duminy,0,1,1,158,4,5,1,19,0,,,{'legbyes': 1},legbyes,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
113,JP Duminy,SL Malinga,DA Miller,4,0,4,162,21,12,2,19,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
114,JP Duminy,SL Malinga,DA Miller,1,0,1,163,22,13,3,19,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
115,DA Miller,SL Malinga,JP Duminy,0,0,0,163,4,6,4,19,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
116,DA Miller,SL Malinga,JP Duminy,0,1,1,164,4,7,5,19,0,,,{'byes': 1},byes,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
117,JP Duminy,SL Malinga,DA Miller,1,0,1,165,23,14,6,19,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
118,JP Duminy,NLTC Perera,DA Miller,6,0,6,171,29,15,1,20,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
119,JP Duminy,NLTC Perera,DA Miller,2,0,2,173,31,16,2,20,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
120,JP Duminy,NLTC Perera,DA Miller,1,0,1,174,32,17,3,20,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
121,DA Miller,NLTC Perera,JP Duminy,1,0,1,175,5,8,4,20,0,,,,-,"{'by': 'Sri Lanka', 'umpire': 'S George', 'batter': 'DA Miller', 'decision': 'struck down'}",field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
122,JP Duminy,NLTC Perera,DA Miller,1,0,1,176,33,18,5,20,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
123,DA Miller,NLTC Perera,JP Duminy,4,0,4,180,9,9,6,20,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
