,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
45,GJ Maxwell,C Karunaratne,JP Inglis,1,0,1,39,13,8,4,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
46,JP Inglis,C Karunaratne,GJ Maxwell,0,0,0,39,15,14,5,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
47,JP Inglis,C Karunaratne,GJ Maxwell,1,0,1,40,16,15,6,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
48,JP Inglis,M Theekshana,GJ Maxwell,1,0,1,41,17,16,1,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
49,GJ Maxwell,M Theekshana,JP Inglis,1,0,1,42,14,9,2,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
50,JP Inglis,M Theekshana,GJ Maxwell,1,0,1,43,18,17,3,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
51,GJ Maxwell,M Theekshana,JP Inglis,1,0,1,44,15,10,4,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
52,JP Inglis,M Theekshana,GJ Maxwell,1,0,1,45,19,18,5,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
53,GJ Maxwell,M Theekshana,JP Inglis,6,0,6,51,21,11,6,9,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
54,JP Inglis,PVD Chameera,GJ Maxwell,4,0,4,55,23,19,1,10,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
55,JP Inglis,PVD Chameera,GJ Maxwell,0,0,0,55,23,20,2,10,caught and bowled,JP Inglis,,"{'by': 'Sri Lanka', 'umpire': 'SJ Nogajski', 'batter': 'JP Inglis', 'decision': 'upheld'}",-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
56,MP Stoinis,PVD Chameera,GJ Maxwell,1,0,1,56,1,1,3,10,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
57,GJ Maxwell,PVD Chameera,MP Stoinis,0,0,0,56,21,12,4,10,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
58,GJ Maxwell,PVD Chameera,MP Stoinis,0,1,1,57,21,13,5,10,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
59,GJ Maxwell,PVD Chameera,MP Stoinis,0,0,0,57,21,14,6,10,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
60,GJ Maxwell,PVD Chameera,MP Stoinis,1,0,1,58,22,15,7,10,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
61,GJ Maxwell,C Karunaratne,MP Stoinis,1,0,1,59,23,16,1,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
62,MP Stoinis,C Karunaratne,GJ Maxwell,0,0,0,59,1,2,2,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
63,MP Stoinis,C Karunaratne,GJ Maxwell,2,0,2,61,3,3,3,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
64,MP Stoinis,C Karunaratne,GJ Maxwell,6,0,6,67,9,4,4,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
65,MP Stoinis,C Karunaratne,GJ Maxwell,2,0,2,69,11,5,5,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
66,MP Stoinis,C Karunaratne,GJ Maxwell,0,0,0,69,11,6,6,11,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
67,GJ Maxwell,P Jayawickrama,MP Stoinis,1,0,1,70,24,17,1,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
68,MP Stoinis,P Jayawickrama,GJ Maxwell,1,0,1,71,12,7,2,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
69,GJ Maxwell,P Jayawickrama,MP Stoinis,1,0,1,72,25,18,3,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
70,MP Stoinis,P Jayawickrama,GJ Maxwell,4,0,4,76,16,8,4,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
71,MP Stoinis,P Jayawickrama,GJ Maxwell,1,0,1,77,17,9,5,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
72,GJ Maxwell,P Jayawickrama,MP Stoinis,1,0,1,78,26,19,6,12,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
73,GJ Maxwell,CBRLS Kumara,MP Stoinis,1,0,1,79,27,20,1,13,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
74,MP Stoinis,CBRLS Kumara,GJ Maxwell,0,0,0,79,17,10,2,13,caught,MP Stoinis,C Karunaratne,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
75,MS Wade,CBRLS Kumara,GJ Maxwell,0,1,1,80,0,1,3,13,0,,,,legbyes,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
76,GJ Maxwell,CBRLS Kumara,MS Wade,2,0,2,82,29,21,4,13,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
77,GJ Maxwell,CBRLS Kumara,MS Wade,0,0,0,82,29,22,5,13,caught,GJ Maxwell,PVD Chameera,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
78,MS Wade,CBRLS Kumara,DR Sams,2,0,2,84,2,2,6,13,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
79,DR Sams,P Jayawickrama,MS Wade,0,0,0,84,0,1,1,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
80,DR Sams,P Jayawickrama,MS Wade,1,0,1,85,1,2,2,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
81,MS Wade,P Jayawickrama,DR Sams,2,0,2,87,4,3,3,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
82,MS Wade,P Jayawickrama,DR Sams,0,0,0,87,4,4,4,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
83,MS Wade,P Jayawickrama,DR Sams,1,0,1,88,5,5,5,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
84,DR Sams,P Jayawickrama,MS Wade,0,0,0,88,1,3,6,14,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
85,MS Wade,C Karunaratne,DR Sams,1,0,1,89,6,6,1,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
86,DR Sams,C Karunaratne,MS Wade,2,0,2,91,3,4,2,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
87,DR Sams,C Karunaratne,MS Wade,1,0,1,92,4,5,3,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
88,MS Wade,C Karunaratne,DR Sams,1,0,1,93,7,7,4,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
89,DR Sams,C Karunaratne,MS Wade,0,1,1,94,4,6,5,15,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
90,DR Sams,C Karunaratne,MS Wade,1,0,1,95,5,7,6,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
91,MS Wade,C Karunaratne,DR Sams,1,0,1,96,8,8,7,15,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
92,MS Wade,M Theekshana,DR Sams,0,0,0,96,8,9,1,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
93,MS Wade,M Theekshana,DR Sams,4,0,4,100,12,10,2,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
94,MS Wade,M Theekshana,DR Sams,4,0,4,104,16,11,3,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
95,MS Wade,M Theekshana,DR Sams,0,1,1,105,16,12,4,16,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
96,MS Wade,M Theekshana,DR Sams,1,0,1,106,17,13,5,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
97,DR Sams,M Theekshana,MS Wade,1,0,1,107,6,8,6,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
98,MS Wade,M Theekshana,DR Sams,1,0,1,108,18,14,7,16,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
99,MS Wade,CBRLS Kumara,DR Sams,0,0,0,108,18,15,1,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
100,MS Wade,CBRLS Kumara,DR Sams,0,1,1,109,18,16,2,17,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
101,MS Wade,CBRLS Kumara,DR Sams,6,0,6,115,24,17,3,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
102,MS Wade,CBRLS Kumara,DR Sams,1,0,1,116,25,18,4,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
103,DR Sams,CBRLS Kumara,MS Wade,4,0,4,120,10,9,5,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
104,DR Sams,CBRLS Kumara,MS Wade,4,0,4,124,14,10,6,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
105,DR Sams,CBRLS Kumara,MS Wade,1,0,1,125,15,11,7,17,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
106,DR Sams,PVD Chameera,MS Wade,0,1,1,126,15,12,1,18,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
107,DR Sams,PVD Chameera,MS Wade,1,0,1,127,16,13,2,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
108,MS Wade,PVD Chameera,DR Sams,1,0,1,128,26,19,3,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
109,DR Sams,PVD Chameera,MS Wade,1,0,1,129,17,14,4,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
110,MS Wade,PVD Chameera,DR Sams,1,0,1,130,27,20,5,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
111,DR Sams,PVD Chameera,MS Wade,1,0,1,131,18,15,6,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
112,MS Wade,PVD Chameera,DR Sams,6,0,6,137,33,21,7,18,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
113,DR Sams,C Karunaratne,MS Wade,0,1,1,138,18,16,1,19,0,,,,legbyes,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
114,MS Wade,C Karunaratne,DR Sams,2,0,2,140,35,22,2,19,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
115,MS Wade,C Karunaratne,DR Sams,1,0,1,141,36,23,3,19,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
116,DR Sams,C Karunaratne,MS Wade,0,2,2,143,18,17,4,19,0,,,,wides,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
117,MS Wade,C Karunaratne,DR Sams,3,0,3,146,39,24,5,19,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
118,DR Sams,C Karunaratne,MS Wade,0,0,0,146,18,18,6,19,caught,DR Sams,MD Gunathilaka,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
119,MS Wade,C Karunaratne,AC Agar,1,0,1,147,40,25,7,19,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
120,MS Wade,PVD Chameera,AC Agar,0,0,0,147,40,26,1,20,0,,,"{'by': 'Australia', 'umpire': 'SJ Nogajski', 'batter': 'MS Wade', 'decision': 'upheld'}",-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
121,MS Wade,PVD Chameera,AC Agar,0,0,0,147,40,27,2,20,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
122,MS Wade,PVD Chameera,AC Agar,2,0,2,149,42,28,3,20,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
123,MS Wade,PVD Chameera,AC Agar,1,0,1,150,43,29,4,20,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
124,AC Agar,PVD Chameera,MS Wade,4,0,4,154,4,1,5,20,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
125,AC Agar,PVD Chameera,MS Wade,0,0,0,154,4,2,6,20,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
