,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
45,JR Philippe,FA Allen,MR Marsh,4,0,4,51,13,12,6,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
46,MR Marsh,HR Walsh,JR Philippe,2,0,2,53,30,25,1,-,0,,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
47,MR Marsh,HR Walsh,JR Philippe,4,0,4,57,34,26,2,-,0,,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
48,MR Marsh,HR Walsh,JR Philippe,0,0,0,57,34,27,3,-,0,,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
49,MR Marsh,HR Walsh,JR Philippe,1,0,1,58,35,28,4,-,0,,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
50,JR Philippe,HR Walsh,MR Marsh,0,0,0,58,13,13,5,-,bowled,JR Philippe,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
51,MC Henriques,HR Walsh,MR Marsh,1,0,1,59,1,1,6,-,0,,,8,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
52,MC Henriques,FA Allen,MR Marsh,0,4,4,63,1,2,1,byes,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
53,MC Henriques,FA Allen,MR Marsh,1,0,1,64,2,3,2,-,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
54,MR Marsh,FA Allen,MC Henriques,1,0,1,65,36,29,3,-,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
55,MC Henriques,FA Allen,MR Marsh,0,0,0,65,2,4,4,-,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
56,MC Henriques,FA Allen,MR Marsh,0,1,1,66,2,5,5,legbyes,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
57,MR Marsh,FA Allen,MC Henriques,1,0,1,67,37,30,6,-,0,,,9,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
58,MR Marsh,HR Walsh,MC Henriques,1,0,1,68,38,31,1,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
59,MC Henriques,HR Walsh,MR Marsh,6,0,6,74,8,6,2,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
60,MC Henriques,HR Walsh,MR Marsh,1,0,1,75,9,7,3,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
61,MR Marsh,HR Walsh,MC Henriques,0,0,0,75,38,32,4,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
62,MR Marsh,HR Walsh,MC Henriques,0,1,1,76,38,33,5,wides,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
63,MR Marsh,HR Walsh,MC Henriques,1,0,1,77,39,34,6,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
64,MC Henriques,HR Walsh,MR Marsh,1,0,1,78,10,8,7,-,0,,,10,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
65,MC Henriques,FA Allen,MR Marsh,0,0,0,78,10,9,1,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
66,MC Henriques,FA Allen,MR Marsh,2,0,2,80,12,10,2,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
67,MC Henriques,FA Allen,MR Marsh,1,0,1,81,13,11,3,-,0,,,11,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
