,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
48,KS Williamson,Shakib Al Hasan,CJ Anderson,0,0,0,46,17,24,6,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
49,CJ Anderson,Mosaddek Hossain,KS Williamson,0,0,0,46,2,6,1,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
50,CJ Anderson,Mosaddek Hossain,KS Williamson,1,0,1,47,3,7,2,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
51,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,48,18,25,3,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
52,CJ Anderson,Mosaddek Hossain,KS Williamson,1,0,1,49,4,8,4,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
53,KS Williamson,Mosaddek Hossain,CJ Anderson,0,0,0,49,18,26,5,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
54,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,50,19,27,6,9,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
55,KS Williamson,Shakib Al Hasan,CJ Anderson,1,0,1,51,20,28,1,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
56,CJ Anderson,Shakib Al Hasan,KS Williamson,1,0,1,52,5,9,2,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
57,KS Williamson,Shakib Al Hasan,CJ Anderson,1,0,1,53,21,29,3,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
58,CJ Anderson,Shakib Al Hasan,KS Williamson,1,0,1,54,6,10,4,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
59,KS Williamson,Shakib Al Hasan,CJ Anderson,0,0,0,54,21,30,5,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
60,KS Williamson,Shakib Al Hasan,CJ Anderson,1,0,1,55,22,31,6,10,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
61,KS Williamson,Mosaddek Hossain,CJ Anderson,0,0,0,55,22,32,1,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
62,KS Williamson,Mosaddek Hossain,CJ Anderson,4,0,4,59,26,33,2,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
63,KS Williamson,Mosaddek Hossain,CJ Anderson,2,0,2,61,28,34,3,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
64,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,62,29,35,4,11,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
