,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
43,D Ramdin,Shakib Al Hasan,ADS Fletcher,0,0,0,54,117,3,8,3,3,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
44,D Ramdin,Shakib Al Hasan,ADS Fletcher,1,0,1,55,116,4,9,3,4,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
45,ADS Fletcher,Shakib Al Hasan,D Ramdin,1,0,1,56,115,19,16,3,5,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
46,D Ramdin,Shakib Al Hasan,ADS Fletcher,1,0,1,57,114,5,10,3,6,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
47,D Ramdin,Rubel Hossain,ADS Fletcher,0,1,1,58,113,5,11,3,1,8,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
48,D Ramdin,Rubel Hossain,ADS Fletcher,0,0,0,58,113,5,12,4,2,8,"{'by': 'Bangladesh', 'batter': 'D Ramdin', 'decision': 'upheld'}",-,lbw,D Ramdin,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
49,R Powell,Rubel Hossain,ADS Fletcher,0,0,0,58,113,0,1,4,3,8,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
50,R Powell,Rubel Hossain,ADS Fletcher,1,0,1,59,112,1,2,4,4,8,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
51,ADS Fletcher,Rubel Hossain,R Powell,1,0,1,60,111,20,17,4,5,8,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
52,R Powell,Rubel Hossain,ADS Fletcher,0,0,0,60,111,1,3,4,6,8,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
53,R Powell,Rubel Hossain,ADS Fletcher,0,0,0,60,111,1,4,4,7,8,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
54,ADS Fletcher,Abu Hider,R Powell,0,1,1,61,110,20,18,4,1,9,,legbyes,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
55,R Powell,Abu Hider,ADS Fletcher,0,0,0,61,110,1,5,4,2,9,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
56,R Powell,Abu Hider,ADS Fletcher,1,0,1,62,109,2,6,4,3,9,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
57,ADS Fletcher,Abu Hider,R Powell,1,0,1,63,108,21,19,4,4,9,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
58,R Powell,Abu Hider,ADS Fletcher,1,0,1,64,107,3,7,4,5,9,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
59,ADS Fletcher,Abu Hider,R Powell,1,0,1,65,106,22,20,4,6,9,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
60,ADS Fletcher,Nazmul Islam,R Powell,1,0,1,66,105,23,21,4,1,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
61,R Powell,Nazmul Islam,ADS Fletcher,1,0,1,67,104,4,8,4,2,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
62,ADS Fletcher,Nazmul Islam,R Powell,2,0,2,69,102,25,22,4,3,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
63,ADS Fletcher,Nazmul Islam,R Powell,0,1,1,70,101,25,23,4,4,10,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
64,ADS Fletcher,Nazmul Islam,R Powell,6,0,6,76,95,31,24,4,5,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
65,ADS Fletcher,Nazmul Islam,R Powell,0,0,0,76,95,31,25,4,6,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
66,ADS Fletcher,Nazmul Islam,R Powell,0,0,0,76,95,31,26,4,7,10,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
67,R Powell,Abu Hider,ADS Fletcher,0,0,0,76,95,4,9,4,1,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
68,R Powell,Abu Hider,ADS Fletcher,4,0,4,80,91,8,10,4,2,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
69,R Powell,Abu Hider,ADS Fletcher,1,0,1,81,90,9,11,4,3,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
70,ADS Fletcher,Abu Hider,R Powell,0,0,0,81,90,31,27,4,4,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
71,ADS Fletcher,Abu Hider,R Powell,0,0,0,81,90,31,28,4,5,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
72,ADS Fletcher,Abu Hider,R Powell,1,0,1,82,89,32,29,4,6,11,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
73,ADS Fletcher,Shakib Al Hasan,R Powell,0,0,0,82,89,32,30,4,1,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
74,ADS Fletcher,Shakib Al Hasan,R Powell,0,0,0,82,89,32,31,4,2,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
75,ADS Fletcher,Shakib Al Hasan,R Powell,0,1,1,83,88,32,32,4,3,12,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
76,ADS Fletcher,Shakib Al Hasan,R Powell,1,0,1,84,87,33,33,4,4,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
77,R Powell,Shakib Al Hasan,ADS Fletcher,1,0,1,85,86,10,12,4,5,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
78,ADS Fletcher,Shakib Al Hasan,R Powell,1,0,1,86,85,34,34,4,6,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
79,R Powell,Shakib Al Hasan,ADS Fletcher,2,0,2,88,83,12,13,4,7,12,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
80,ADS Fletcher,Rubel Hossain,R Powell,1,0,1,89,82,35,35,4,1,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
81,R Powell,Rubel Hossain,ADS Fletcher,1,0,1,90,81,13,14,4,2,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
82,ADS Fletcher,Rubel Hossain,R Powell,0,0,0,90,81,35,36,4,3,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
83,ADS Fletcher,Rubel Hossain,R Powell,1,0,1,91,80,36,37,4,4,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
84,R Powell,Rubel Hossain,ADS Fletcher,4,0,4,95,76,17,15,4,5,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
85,R Powell,Rubel Hossain,ADS Fletcher,1,0,1,96,75,18,16,4,6,13,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
86,R Powell,Abu Hider,ADS Fletcher,1,0,1,97,74,19,17,4,1,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
87,ADS Fletcher,Abu Hider,R Powell,1,0,1,98,73,37,38,4,2,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
88,R Powell,Abu Hider,ADS Fletcher,0,0,0,98,73,19,18,4,3,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
89,R Powell,Abu Hider,ADS Fletcher,6,0,6,104,67,25,19,4,4,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
90,R Powell,Abu Hider,ADS Fletcher,6,0,6,110,61,31,20,4,5,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
91,R Powell,Abu Hider,ADS Fletcher,0,0,0,110,61,31,21,4,6,14,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
92,ADS Fletcher,Nazmul Islam,R Powell,6,0,6,116,55,43,39,4,1,15,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
93,ADS Fletcher,Nazmul Islam,R Powell,0,0,0,116,55,43,40,5,2,15,,-,caught,ADS Fletcher,Shakib Al Hasan,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
94,R Powell,Nazmul Islam,CR Brathwaite,1,0,1,117,54,32,22,5,3,15,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
95,CR Brathwaite,Nazmul Islam,R Powell,0,0,0,117,54,0,1,5,4,15,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
96,CR Brathwaite,Nazmul Islam,R Powell,4,0,4,121,50,4,2,5,5,15,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
97,CR Brathwaite,Nazmul Islam,R Powell,0,0,0,121,50,4,3,5,6,15,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
98,R Powell,Mustafizur Rahman,CR Brathwaite,1,0,1,122,49,33,23,5,1,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
99,CR Brathwaite,Mustafizur Rahman,R Powell,1,0,1,123,48,5,4,5,2,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
100,R Powell,Mustafizur Rahman,CR Brathwaite,0,0,0,123,48,33,24,5,3,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
101,R Powell,Mustafizur Rahman,CR Brathwaite,1,0,1,124,47,34,25,5,4,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
102,CR Brathwaite,Mustafizur Rahman,R Powell,0,0,0,124,47,5,5,5,5,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
103,CR Brathwaite,Mustafizur Rahman,R Powell,6,0,6,130,41,11,6,5,6,16,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
104,R Powell,Shakib Al Hasan,CR Brathwaite,1,0,1,131,40,35,26,5,1,17,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
